event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS001,F,02:28:00,,F,4,D643,"6-4,6-1,1-6,6-3",N. Djokovic,R. Nadal,,,SRB,ESP,6-4,6-1,1-6,6-3,,02:28:00,A,N. Djokovic,R. Nadal,SRB,ESP,,,287,/en/stats/leaderboard?page=serve,1,7,73,69,95,72,50,69,54,14,26,50,3,6,17,261,/en/stats/leaderboard?page=serve,1,5,78,64,82,67,43,64,44,8,18,17,1,6,16,67,64,95,38,31,82,54,95,177,62,51,82,33,31,95,46,82,177,,,,,,,,,D643,N409
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS002,SF,02:59:00,,F,4,N409,"5-7,6-2,6-2,6-4",R. Nadal,A. Murray,,,ESP,GBR,5-7,6-2,6-2,6-4,,02:59:00,A,R. Nadal,A. Murray,ESP,GBR,,,306,/en/stats/leaderboard?page=serve,1,6,68,70,103,81,57,70,58,19,33,75,3,4,19,263,/en/stats/leaderboard?page=serve,5,15,58,66,113,73,48,66,49,23,47,38,3,8,19,74,76,103,37,42,113,55,118,216,63,71,113,26,27,103,45,98,216,,,,,,,,,N409,MC10
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS003,SF,03:07:00,,F,4,D643,"7-6(7),6-2,6-7(9),6-3",N. Djokovic,J. Tsonga,,,SRB,FRA,7-6(7),6-2,6-7(9),6-3,,03:07:00,A,N. Djokovic,J. Tsonga,SRB,FRA,,,300,/en/stats/leaderboard?page=serve,1,5,66,79,120,77,61,79,68,28,41,40,2,5,21,260,/en/stats/leaderboard?page=serve,5,12,68,90,133,68,61,90,47,20,43,50,6,12,20,74,89,120,39,52,133,56,141,253,61,81,133,26,31,120,44,112,253,7.0,4.0,9.0,11.0,,,,,D643,T786
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS004,QF,02:53:00,,F,4,N409,"6-3,6-3,5-7,6-4",R. Nadal,M. Fish,,,ESP,USA,6-3,6-3,5-7,6-4,,02:53:00,A,R. Nadal,M. Fish,ESP,USA,,,293,/en/stats/leaderboard?page=serve,1,5,68,71,105,77,55,71,59,20,34,57,4,7,20,250,/en/stats/leaderboard?page=serve,0,12,53,65,123,75,49,65,40,23,58,50,6,12,20,71,75,105,41,51,123,55,126,228,59,72,123,29,30,105,45,102,228,,,,,,,,,N409,F339
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS005,QF,02:01:00,,F,3,MC10,"6-3,6-4,6-4",A. Murray,F. Lopez,,,GBR,ESP,6-3,6-4,6-4,,,02:01:00,A,A. Murray,F. Lopez,GBR,ESP,,,316,/en/stats/leaderboard?page=serve,3,13,56,47,84,85,40,47,65,24,37,100,2,2,15,251,/en/stats/leaderboard?page=serve,5,7,64,63,98,76,48,63,31,11,35,70,7,10,14,76,64,84,40,39,98,57,103,182,60,59,98,24,20,84,43,79,182,,,,,,,,,MC10,L397
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS006,QF,03:08:00,,F,5,T786,"3-6,6-7(3),6-4,6-4,6-4",J. Tsonga,R. Federer,,,FRA,SUI,3-6,6-7(3),6-4,6-4,6-4,03:08:00,A,J. Tsonga,R. Federer,FRA,SUI,,,320,/en/stats/leaderboard?page=serve,4,18,70,102,145,73,74,102,67,29,43,0,0,1,25,328,/en/stats/leaderboard?page=serve,1,17,75,103,137,78,80,103,71,24,34,67,6,9,26,71,103,145,24,33,137,48,136,282,76,104,137,29,42,145,52,146,282,,,,,3.0,7.0,,,T786,F324
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS007,QF,02:41:00,,F,4,D643,"6-2,3-6,6-3,7-5",N. Djokovic,B. Tomic,,,SRB,AUS,6-2,3-6,6-3,7-5,,02:41:00,A,N. Djokovic,B. Tomic,SRB,AUS,,,280,/en/stats/leaderboard?page=serve,4,14,63,69,109,78,54,69,45,18,40,40,2,5,19,249,/en/stats/leaderboard?page=serve,2,7,65,94,144,63,59,94,48,24,50,60,9,15,19,66,72,109,42,61,144,53,133,253,58,83,144,34,37,109,47,120,253,,,,,,,,,D643,TA46
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS008,R16,03:52:00,,F,4,N409,"7-6(8),3-6,7-6(7),6-4",R. Nadal,J. del Potro,,,ESP,ARG,7-6(8),3-6,7-6(7),6-4,,03:52:00,A,R. Nadal,J. del Potro,ESP,ARG,,,313,/en/stats/leaderboard?page=serve,1,13,73,94,129,79,74,94,54,19,35,67,2,3,21,298,/en/stats/leaderboard?page=serve,4,11,70,100,142,76,76,100,50,21,42,80,4,5,22,72,93,129,32,45,142,51,138,271,68,97,142,28,36,129,49,133,271,8.0,6.0,7.0,4.0,,,,,N409,D683
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS009,R16,02:22:00,,F,3,F339,"7-6(7),6-4,6-4",M. Fish,T. Berdych,,,USA,CZE,7-6(7),6-4,6-4,,,02:22:00,A,M. Fish,T. Berdych,USA,CZE,,,325,/en/stats/leaderboard?page=serve,2,23,62,58,93,91,53,58,51,18,35,100,2,2,16,277,/en/stats/leaderboard?page=serve,3,7,56,62,110,74,46,62,56,27,48,71,5,7,16,76,71,93,34,37,110,53,108,203,66,73,110,24,22,93,47,95,203,7.0,5.0,,,,,,,F339,BA47
540,2011,Wimbledon,GS,2011-06-20T00:00:00,2011-07-03T00:00:00,Grass,128,6631000,£,MS010,R16,02:04:00,,F,3,MC10,"7-6(7),6-3,6-2",A. Murray,R. Gasquet,,,GBR,FRA,7-6(7),6-3,6-2,,,02:04:00,A,A. Murray,R. Gasquet,GBR,FRA,,,311,/en/stats/leaderboard?page=serve,2,14,60,56,93,80,45,56,59,22,37,100,2,2,15,271,/en/stats/leaderboard?page=serve,2,2,74,62,84,69,43,62,50,11,22,40,2,5,14,72,67,93,36,30,84,55,97,177,64,54,84,28,26,93,45,80,177,7.0,3.0,,,,,,,MC10,G628
