event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_loser,player_id_winner,player_id_loser
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS011,R16,01:40:00,,F,2,G628,"7-5,6-4",R. Gasquet,M. Cilic,,,FRA,CRO,7-5,6-4,,,,01:40:00,A,R. Gasquet,M. Cilic,FRA,CRO,,,251,/en/stats/leaderboard?page=serve,3,3,57,37,65,68,25,37,54,15,28,40,2,5,11,206,/en/stats/leaderboard?page=serve,4,0,50,31,62,61,19,31,45,14,31,44,4,9,11,62,40,65,47,29,62,54,69,127,53,33,62,38,25,65,46,58,127,,,01:40:00,01:40:00,,,,,G628,C977
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS012,R16,01:07:00,,F,2,D875,"6-2,6-4",G. Dimitrov,F. Mayer,,,BUL,GER,6-2,6-4,,,,01:07:00,A,G. Dimitrov,F. Mayer,BUL,GER,,,293,/en/stats/leaderboard?page=serve,2,4,64,30,47,80,24,30,59,10,17,67,2,3,9,216,/en/stats/leaderboard?page=serve,3,1,65,36,55,56,20,36,42,8,19,43,3,7,9,72,34,47,49,27,55,60,61,102,51,28,55,28,13,47,40,41,102,,,01:07:00,01:07:00,,,,,D875,MB02
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS013,R16,01:21:00,,F,2,N409,"6-2,6-4",R. Nadal,P. Kohlschreiber,,,ESP,GER,6-2,6-4,,,,01:21:00,A,R. Nadal,P. Kohlschreiber,ESP,GER,,,314,/en/stats/leaderboard?page=serve,1,1,58,26,45,88,23,26,68,13,19,0,0,0,9,234,/en/stats/leaderboard?page=serve,1,1,55,34,62,56,19,34,57,16,28,57,4,7,9,80,36,45,44,27,62,59,63,107,56,35,62,20,9,45,41,44,107,,,01:21:00,01:21:00,,,,,N409,K435
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS014,R16,00:58:00,,F,2,T786,"6-3,6-0",J. Tsonga,J. Melzer,,,FRA,AUT,6-3,6-0,,,,00:58:00,A,J. Tsonga,J. Melzer,FRA,AUT,,,303,/en/stats/leaderboard?page=serve,1,7,43,18,42,83,15,18,71,17,24,0,0,0,8,191,/en/stats/leaderboard?page=serve,1,0,62,26,42,50,13,26,38,6,16,20,1,5,7,76,32,42,55,23,42,65,55,84,45,19,42,24,10,42,35,29,84,,,00:58:00,00:58:00,,,,,T786,M762
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS015,R16,00:58:00,,F,2,W367,"6-1,6-2",S. Wawrinka,A. Murray,,,SUI,GBR,6-1,6-2,,,,00:58:00,A,S. Wawrinka,A. Murray,SUI,GBR,,,315,/en/stats/leaderboard?page=serve,0,5,65,26,40,81,21,26,64,9,14,100,2,2,7,180,/en/stats/leaderboard?page=serve,2,0,57,27,47,48,13,27,40,8,20,50,5,10,8,75,30,40,55,26,47,64,56,87,45,21,47,25,10,40,36,31,87,,,00:58:00,00:58:00,,,,,W367,MC10
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS016,R32,02:15:00,,F,3,D643,"4-6,6-1,6-4",N. Djokovic,M. Youzhny,,,SRB,RUS,4-6,6-1,6-4,,,02:15:00,A,N. Djokovic,M. Youzhny,SRB,RUS,,,260,/en/stats/leaderboard?page=serve,3,4,55,47,86,70,33,47,56,22,39,50,3,6,14,219,/en/stats/leaderboard?page=serve,6,3,55,48,88,63,30,48,43,17,40,50,5,10,13,64,55,86,47,41,88,55,96,174,53,47,88,36,31,86,45,78,174,,,02:15:00,02:15:00,,,,,D643,Y061
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS017,R32,01:58:00,,F,3,MA21,"6-0,3-6,6-3",J. Monaco,E. Gulbis,,,ARG,LAT,6-0,3-6,6-3,,,01:58:00,A,J. Monaco,E. Gulbis,ARG,LAT,,,271,/en/stats/leaderboard?page=serve,0,1,76,51,67,63,32,51,56,9,16,25,1,4,12,206,/en/stats/leaderboard?page=serve,0,3,57,51,90,73,37,51,23,9,39,57,8,14,12,61,41,67,49,44,90,54,85,157,51,46,90,39,26,67,46,72,157,,,01:58:00,01:58:00,,,,,MA21,G858
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS018,R32,01:55:00,,F,3,N289,"6-3,1-6,7-6(7)",J. Nieminen,M. Raonic,,,FIN,CAN,6-3,1-6,7-6(7),,,01:55:00,A,J. Nieminen,M. Raonic,FIN,CAN,,,276,/en/stats/leaderboard?page=serve,4,2,69,67,97,64,43,67,60,18,30,75,6,8,14,291,/en/stats/leaderboard?page=serve,3,6,64,50,78,86,43,50,46,13,28,0,0,1,14,63,61,97,28,22,78,47,83,175,72,56,78,37,36,97,53,92,175,,,01:55:00,01:55:00,,7,3,,N289,R975
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS019,R32,02:01:00,,F,3,D683,"1-6,6-4,6-3",J. del Potro,A. Dolgopolov,,,ARG,UKR,1-6,6-4,6-3,,,02:01:00,A,J. del Potro,A. Dolgopolov,ARG,UKR,,,217,/en/stats/leaderboard?page=serve,5,3,53,49,93,71,35,49,34,15,44,64,9,14,13,216,/en/stats/leaderboard?page=serve,4,5,36,30,84,77,23,30,41,22,54,38,3,8,13,54,50,93,46,39,84,50,89,177,54,45,84,46,43,93,50,88,177,,,02:01:00,02:01:00,,,,,D683,D801
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS020,R32,01:44:00,,F,2,BA47,"7-5,6-4",T. Berdych,M. Granollers,,,CZE,ESP,7-5,6-4,,,,01:44:00,A,T. Berdych,M. Granollers,CZE,ESP,,,246,/en/stats/leaderboard?page=serve,2,3,56,36,64,81,29,36,36,10,28,0,0,3,11,213,/en/stats/leaderboard?page=serve,4,0,55,39,71,67,26,39,41,13,32,38,3,8,11,61,39,64,45,32,71,53,71,135,55,39,71,39,25,64,47,64,135,,,01:44:00,01:44:00,,,,,BA47,G710
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS021,R32,01:36:00,,F,2,F510,"6-3,7-5",F. Fognini,A. Ramos-Vinolas,,,ITA,ESP,6-3,7-5,,,,01:36:00,A,F. Fognini,A. Ramos-Vinolas,ITA,ESP,,,278,/en/stats/leaderboard?page=serve,2,0,59,37,63,73,27,37,58,15,26,50,1,2,11,235,/en/stats/leaderboard?page=serve,2,0,48,29,61,72,21,29,47,15,32,25,1,4,10,67,42,63,41,25,61,54,67,124,59,36,61,33,21,63,46,57,124,,,01:36:00,01:36:00,,,,,F510,R772
410,2013,ATP Masters 1000 Monte-Carlo,1000,2013-04-14T00:00:00,2013-04-21T00:00:00,Clay,56,2646495,€,MS022,R32,01:15:00,,F,2,C977,"6-2,6-3",M. Cilic,K. Anderson,,,CRO,RSA,6-2,6-3,,,,01:15:00,A,M. Cilic,K. Anderson,CRO,RSA,,,286,/en/stats/leaderboard?page=serve,1,4,46,22,48,91,20,22,58,15,26,0,0,1,9,210,/en/stats/leaderboard?page=serve,2,2,70,42,60,62,26,42,28,5,18,43,3,7,8,73,35,48,48,29,60,59,64,108,52,31,60,27,13,48,41,44,108,,,01:15:00,01:15:00,,,,,C977,A678
