event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS001,F,01:10:00,,F,2,S402,"6-3,6-4",P. Sampras,T. Muster,,,USA,AUT,6-3,6-4,,,,01:10:00,309,/en/stats/leaderboard?page=serve,False,11,63,33,52,82,27,33,63,12,19,0,0,1,10,223,/en/stats/leaderboard?page=serve,2,1,52,28,54,64,18,28,42,11,26,40,2,5,9,75,39,52,46,25,54,60,64,106,54,29,54,25,13,52,40,42,106,A,,,,,,,,,P. Sampras,T. Muster,S402,M099,USA,AUT,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS002,SF,01:04:00,,F,2,S402,"6-3,6-4",P. Sampras,A. Costa,,,USA,ESP,6-3,6-4,,,,01:04:00,304,/en/stats/leaderboard?page=serve,,6,72,36,50,89,32,36,50,7,14,0,0,1,10,235,/en/stats/leaderboard?page=serve,2,7,69,42,61,74,31,42,21,4,19,63,5,8,9,78,39,50,43,26,61,59,65,111,57,35,61,22,11,50,41,46,111,A,3,,,,,,,,P. Sampras,A. Costa,S402,C378,USA,ESP,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS003,SF,02:16:00,,F,3,M099,"6-3,4-6,7-6(7)",T. Muster,M. Chang,,,AUT,USA,6-3,4-6,7-6(7),,,02:16:00,266,/en/stats/leaderboard?page=serve,,6,53,48,90,73,35,48,57,24,42,50,3,6,15,245,/en/stats/leaderboard?page=serve,4,8,39,41,104,78,32,41,49,31,63,50,4,8,16,66,59,90,39,41,104,52,100,194,61,63,104,34,31,90,48,94,194,A,3,7,2,,,,,,T. Muster,M. Chang,M099,C274,AUT,USA,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS004,QF,00:53:00,,F,2,S402,"6-2,6-2",P. Sampras,Y. Kafelnikov,,,USA,RUS,6-2,6-2,,,,00:53:00,282,/en/stats/leaderboard?page=serve,,9,56,28,50,79,22,28,64,14,22,,0,,8,215,/en/stats/leaderboard?page=serve,1,0,58,23,40,61,14,23,47,8,17,0,0,4,8,72,36,50,45,18,40,60,54,90,55,22,40,28,14,50,40,36,90,A,1,,,,,,,,P. Sampras,Y. Kafelnikov,S402,K267,USA,RUS,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS005,QF,01:56:00,,F,3,C378,"4-6,6-3,5-2",A. Costa,S. Bruguera,,,ESP,ESP,4-6,6-3,5-2,,,01:56:00,283,/en/stats/leaderboard?page=serve,,9,75,60,80,67,40,60,55,11,20,70,7,10,14,230,/en/stats/leaderboard?page=serve,3,7,53,49,92,65,32,49,47,20,43,69,11,16,13,64,51,80,43,40,92,53,91,172,57,52,92,36,29,80,47,81,172,A,1,,,,,,,,A. Costa,S. Bruguera,C378,B350,ESP,ESP,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS006,QF,02:43:00,,F,3,M099,"6-7(1),7-6(7),7-6(7)",T. Muster,J. Siemerink,,,AUT,NED,6-7(1),7-6(7),7-6(7),,,02:43:00,271,/en/stats/leaderboard?page=serve,,5,57,81,141,70,57,81,53,32,60,80,8,10,18,262,/en/stats/leaderboard?page=serve,13,10,54,77,142,65,50,77,58,38,65,80,8,10,18,63,89,141,38,54,142,51,143,283,62,88,142,37,52,141,49,140,283,A,2,7,5,1,7,7,3,,T. Muster,J. Siemerink,M099,S381,AUT,NED,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS007,QF,00:57:00,,F,2,C274,"6-1,6-2",M. Chang,G. Kuerten,,,USA,BRA,6-1,6-2,,,,00:57:00,289,/en/stats/leaderboard?page=serve,,4,44,19,43,89,17,19,67,16,24,,0,,8,188,/en/stats/leaderboard?page=serve,2,1,53,20,38,55,11,20,39,7,18,33,2,6,7,77,33,43,53,20,38,65,53,81,47,18,38,23,10,43,35,28,81,A,2,,,,,,,,M. Chang,G. Kuerten,C274,K293,USA,BRA,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS008,R16,01:29:00,,F,2,S402,"7-6(7),6-4",P. Sampras,P. Rafter,,,USA,AUS,7-6(7),6-4,,,,01:29:00,281,/en/stats/leaderboard?page=serve,,6,58,45,78,71,32,45,58,19,33,80,4,5,11,266,/en/stats/leaderboard?page=serve,4,1,48,29,60,79,23,29,61,19,31,0,0,2,11,65,51,78,30,18,60,50,69,138,70,42,60,35,27,78,50,69,138,A,2,,,7,4,,,,P. Sampras,P. Rafter,S402,R255,USA,AUS,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS009,R16,01:05:00,,F,2,K267,"7-5,6-2",Y. Kafelnikov,M. Rios,,,RUS,CHI,7-5,6-2,,,,01:05:00,297,/en/stats/leaderboard?page=serve,,8,75,39,52,79,31,39,46,6,13,50,1,2,10,216,/en/stats/leaderboard?page=serve,5,4,54,35,65,66,23,35,37,11,30,33,2,6,10,71,37,52,48,31,65,58,68,117,52,34,65,29,15,52,42,49,117,A,1,,,,,,,,Y. Kafelnikov,M. Rios,K267,R286,RUS,CHI,,
422,1997,ATP Masters 1000 Cincinnati,1000,1997-08-04T00:00:00,1997-08-10T00:00:00,Hard,56,2050000,$,MS010,R16,01:28:00,,F,2,C378,"6-1,7-6(7)",A. Costa,A. Corretja,,,ESP,ESP,6-1,7-6(7),,,,01:28:00,287,/en/stats/leaderboard?page=serve,,3,58,34,59,88,30,34,52,13,25,50,1,2,10,234,/en/stats/leaderboard?page=serve,5,4,61,48,79,73,35,48,35,11,31,63,5,8,9,73,43,59,42,33,79,55,76,138,58,46,79,27,16,59,45,62,138,A,4,,,,,7,3,,A. Costa,A. Corretja,C378,C344,ESP,ESP,,
