event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS001,F,04:51:00,,F,5,N409,"7-5,6-3,5-7,4-6,6-4",R. Nadal,D. Medvedev,,,ESP,RUS,7-5,6-3,5-7,4-6,6-4,04:51:00,268,/en/stats/leaderboard?page=serve,5,5,58,93,159,77,72,93,52,34,66,67,10,15,27,269,/en/stats/leaderboard?page=serve,4,14,64,117,182,65,76,117,54,35,65,71,15,21,26,67,106,159,39,71,182,52,177,341,61,111,182,33,53,159,48,164,341,A,,,,,,,,,,,R. Nadal,D. Medvedev,N409,MM58,ESP,RUS,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS002,SF,02:38:00,,F,3,MM58,"7-6(7),6-4,6-3",D. Medvedev,G. Dimitrov,,,RUS,BUL,7-6(7),6-4,6-3,,,02:38:00,253,/en/stats/leaderboard?page=serve,8,10,47,55,117,75,41,55,48,30,62,67,6,9,16,237,/en/stats/leaderboard?page=serve,2,2,61,59,97,63,37,59,47,18,38,44,4,9,15,61,71,117,43,42,97,53,113,214,57,55,97,39,46,117,47,101,214,A,7,5,,,,,,,,,D. Medvedev,G. Dimitrov,MM58,D875,RUS,BUL,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS003,SF,02:35:00,,F,3,N409,"7-6(8),6-4,6-1",R. Nadal,M. Berrettini,,,ESP,ITA,7-6(8),6-4,6-1,,,02:35:00,319,/en/stats/leaderboard?page=serve,4,4,55,41,75,90,37,41,74,25,34,0,0,0,14,257,/en/stats/leaderboard?page=serve,2,9,67,79,118,66,52,79,44,17,39,75,12,16,15,83,62,75,42,49,118,58,111,193,58,69,118,17,13,75,42,82,193,A,8,6,,,,,,,,,R. Nadal,M. Berrettini,N409,BK40,ESP,ITA,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS004,QF,02:34:00,,F,4,MM58,"7-6(8),6-3,3-6,6-1",D. Medvedev,S. Wawrinka,,,RUS,SUI,7-6(8),6-3,3-6,6-1,,02:34:00,279,/en/stats/leaderboard?page=serve,12,11,60,77,129,73,56,77,58,30,52,75,6,8,19,264,/en/stats/leaderboard?page=serve,4,10,65,72,111,78,56,72,38,15,39,50,4,8,18,67,86,129,36,40,111,53,126,240,64,71,111,33,43,129,48,114,240,A,8,6,,,,,,,,,D. Medvedev,S. Wawrinka,MM58,W367,RUS,SUI,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS005,QF,03:12:00,,F,5,D875,"3-6,6-4,3-6,6-4,6-2",G. Dimitrov,R. Federer,,,BUL,SUI,3-6,6-4,3-6,6-4,6-2,03:12:00,278,/en/stats/leaderboard?page=serve,7,6,69,91,131,75,68,91,53,21,40,71,10,14,23,268,/en/stats/leaderboard?page=serve,1,6,61,88,144,74,65,88,50,28,56,67,10,15,23,68,89,131,35,51,144,51,140,275,65,93,144,32,42,131,49,135,275,A,,,,,,,,,,,G. Dimitrov,R. Federer,D875,F324,BUL,SUI,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS006,QF,03:57:00,,F,5,BK40,"3-6,6-3,6-2,3-6,7-6(7)",M. Berrettini,G. Monfils,,,ITA,FRA,3-6,6-3,6-2,3-6,7-6(7),03:57:00,265,/en/stats/leaderboard?page=serve,6,15,54,88,162,69,61,88,55,41,74,67,10,15,23,244,/en/stats/leaderboard?page=serve,17,10,60,98,162,71,70,98,45,29,64,65,11,17,24,63,102,162,39,63,162,51,165,324,61,99,162,37,60,162,49,159,324,A,,,7,5,,,,,,,M. Berrettini,G. Monfils,BK40,MC65,ITA,FRA,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS007,QF,02:47:00,,F,3,N409,"6-4,7-5,6-2",R. Nadal,D. Schwartzman,,,ESP,ARG,6-4,7-5,6-2,,,02:47:00,260,/en/stats/leaderboard?page=serve,1,5,63,57,91,70,40,57,50,17,34,60,6,10,15,210,/en/stats/leaderboard?page=serve,3,4,60,56,93,57,32,56,46,17,37,43,6,14,15,63,57,91,47,44,93,55,101,184,53,49,93,37,34,91,45,83,184,A,,,,,,,,,,,R. Nadal,D. Schwartzman,N409,SM37,ESP,ARG,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS008,R16,01:46:00,,F,3,W367,"6-4,7-5,2-1",S. Wawrinka,N. Djokovic,,,SUI,SRB,6-4,7-5,2-1,,,01:46:00,291,/en/stats/leaderboard?page=serve,3,9,54,38,70,84,32,38,56,18,32,80,4,5,12,237,/en/stats/leaderboard?page=serve,5,2,60,44,73,70,31,44,41,12,29,43,3,7,13,71,50,70,41,30,73,56,80,143,59,43,73,29,20,70,44,63,143,A,,,,,,,,,,,S. Wawrinka,N. Djokovic,W367,D643,SUI,SRB,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS009,R16,02:32:00,,F,4,MM58,"3-6,6-3,6-2,7-6(7)",D. Medvedev,D. Koepfer,,,RUS,GER,3-6,6-3,6-2,7-6(7),,02:32:00,275,/en/stats/leaderboard?page=serve,5,15,56,65,117,75,49,65,56,29,52,71,10,14,19,240,/en/stats/leaderboard?page=serve,5,2,59,68,116,66,45,68,50,24,48,40,4,10,19,67,78,117,41,47,116,54,125,233,59,69,116,33,39,117,46,108,233,A,,,,,7,2,,,,,D. Medvedev,D. Koepfer,MM58,KE73,RUS,GER,,
560,2019,US Open,GS,2019-08-26T00:00:00,2019-09-08T00:00:00,Hard,128,28619350,$,MS010,R16,01:19:00,,F,3,F324,"6-2,6-2,6-0",R. Federer,D. Goffin,,,SUI,BEL,6-2,6-2,6-0,,,01:19:00,279,/en/stats/leaderboard?page=serve,3,10,68,42,62,83,35,42,40,8,20,71,5,7,11,131,/en/stats/leaderboard?page=serve,4,0,50,30,60,40,12,30,27,8,30,10,1,10,11,69,43,62,67,40,60,68,83,122,33,20,60,31,19,62,32,39,122,A,,,,,,,,,,,R. Federer,D. Goffin,F324,GB88,SUI,BEL,,
