event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS001,F,01:56:00,,F,3,B428,"6-2,6-4,6-4",A. Berasategui,A. Corretja,,,ESP,ESP,6-2,6-4,6-4,,,01:56:00,272,/en/stats/leaderboard?page=serve,3,2,59,51,87,73,37,51,56,20,36,50,2,4,14,221,/en/stats/leaderboard?page=serve,2,3,65,48,74,56,27,48,42,11,26,40,4,10,14,66,57,87,49,36,74,58,93,161,51,38,74,34,30,87,42,68,161,A,,,,,,,,,A. Berasategui,A. Corretja,B428,C344,ESP,ESP,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS002,SF,01:44:00,,F,3,B428,"4-6,6-1,6-3",A. Berasategui,E. Benfele Alvarez,,,ESP,ESP,4-6,6-1,6-3,,,01:44:00,288,/en/stats/leaderboard?page=serve,1,6,76,60,79,70,42,60,53,10,19,67,4,6,13,226,/en/stats/leaderboard?page=serve,3,5,66,57,87,67,38,57,30,9,30,58,7,12,13,66,52,79,46,40,87,55,92,166,54,47,87,34,27,79,45,74,166,A,,,,,,,,,A. Berasategui,E. Benfele Alvarez,B428,A190,ESP,ESP,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS003,SF,01:21:00,,F,2,C344,"7-6(7),6-1",A. Corretja,J. Viloca-Puig,,,ESP,ESP,7-6(7),6-1,,,,01:21:00,285,/en/stats/leaderboard?page=serve,3,2,61,37,61,81,30,37,54,13,24,50,1,2,10,237,/en/stats/leaderboard?page=serve,3,1,69,40,58,65,26,40,39,7,18,57,4,7,9,70,43,61,43,25,58,57,68,119,57,33,58,30,18,61,43,51,119,A,7,4,,,,,,,A. Corretja,J. Viloca-Puig,C344,V161,ESP,ESP,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS004,QF,01:22:00,,F,2,A190,"6-1,7-5",E. Benfele Alvarez,T. Muster,,,ESP,AUT,6-1,7-5,,,,01:22:00,279,/en/stats/leaderboard?page=serve,3,9,57,41,72,68,28,41,58,18,31,67,2,3,10,217,/en/stats/leaderboard?page=serve,1,3,51,28,55,57,16,28,52,14,27,20,1,5,9,64,46,72,45,25,55,56,71,127,55,30,55,36,26,72,44,56,127,A,,,,,,,,,E. Benfele Alvarez,T. Muster,A190,M099,ESP,AUT,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS005,QF,01:15:00,,F,3,B428,"6-3,1-6,6-2",A. Berasategui,F. Squillari,,,ESP,ARG,6-3,1-6,6-2,,,01:15:00,210,/en/stats/leaderboard?page=serve,4,0,72,49,68,55,27,49,37,7,19,40,4,10,12,187,/en/stats/leaderboard?page=serve,6,3,63,49,78,55,27,49,31,9,29,42,5,12,12,50,34,68,54,42,78,52,76,146,46,36,78,50,34,68,48,70,146,A,,,,,,,,,A. Berasategui,F. Squillari,B428,S568,ESP,ARG,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS006,QF,01:04:00,,F,2,C344,"6-4,6-1",A. Corretja,F. Dewulf,,,ESP,BEL,6-4,6-1,,,,01:04:00,293,/en/stats/leaderboard?page=serve,1,2,77,46,60,63,29,46,64,9,14,80,4,5,9,203,/en/stats/leaderboard?page=serve,6,2,49,22,45,73,16,22,35,8,23,43,3,7,8,63,38,60,47,21,45,56,59,105,53,24,45,37,22,60,44,46,105,A,,,,,,,,,A. Corretja,F. Dewulf,C344,D228,ESP,BEL,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS007,QF,01:25:00,,F,2,V161,"7-5,6-4",J. Viloca-Puig,N. Kiefer,,,ESP,GER,7-5,6-4,,,,01:25:00,283,/en/stats/leaderboard?page=serve,1,8,69,45,65,71,32,45,55,11,20,78,7,9,11,223,/en/stats/leaderboard?page=serve,2,1,54,37,69,54,20,37,53,17,32,50,4,8,11,66,43,65,46,32,69,56,75,134,54,37,69,34,22,65,44,59,134,A,,,,,,,,,J. Viloca-Puig,N. Kiefer,V161,K316,ESP,GER,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS008,R16,01:10:00,,F,2,M099,"6-1,6-2",T. Muster,M. Zabaleta,,,AUT,ARG,6-1,6-2,,,,01:10:00,221,/en/stats/leaderboard?page=serve,2,3,57,33,58,82,27,33,44,11,25,,0,,8,206,/en/stats/leaderboard?page=serve,2,4,74,42,57,48,20,42,40,6,15,64,7,11,7,66,38,58,54,31,57,60,69,115,46,26,57,34,20,58,40,46,115,A,,,,,,,,,T. Muster,M. Zabaleta,M099,Z073,AUT,ARG,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS009,R16,02:16:00,,F,3,A190,"2-6,7-6(7),6-1",E. Benfele Alvarez,A. Medvedev,,,ESP,UKR,2-6,7-6(7),6-1,,,02:16:00,256,/en/stats/leaderboard?page=serve,3,6,55,57,103,68,39,57,52,24,46,57,4,7,14,250,/en/stats/leaderboard?page=serve,1,3,56,50,90,66,33,50,50,20,40,67,6,9,13,61,63,103,41,37,90,52,100,193,59,53,90,39,40,103,48,93,193,A,,,7,4,,,,,E. Benfele Alvarez,A. Medvedev,A190,M475,ESP,UKR,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS010,R16,01:39:00,,F,2,S568,"6-3,7-6(8)",F. Squillari,S. Schalken,,,ARG,NED,6-3,7-6(8),,,,01:39:00,238,/en/stats/leaderboard?page=serve,3,1,60,65,109,65,42,65,43,19,44,79,11,14,11,208,/en/stats/leaderboard?page=serve,10,2,54,40,74,73,29,40,29,10,34,60,6,10,10,56,61,109,47,35,74,52,96,183,53,39,74,44,48,109,48,87,183,A,,,8,6,,,,,F. Squillari,S. Schalken,S568,S572,ARG,NED,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS011,R16,01:38:00,,F,3,B428,"3-6,6-3,6-4",A. Berasategui,S. Dosedel,,,ESP,CZE,3-6,6-3,6-4,,,01:38:00,254,/en/stats/leaderboard?page=serve,6,6,68,65,95,65,42,65,50,15,30,60,6,10,14,248,/en/stats/leaderboard?page=serve,,2,73,70,96,59,41,70,50,13,26,58,7,12,14,60,57,95,44,42,96,52,99,191,56,54,96,40,38,95,48,92,191,A,,,,,False,,,,A. Berasategui,S. Dosedel,B428,D198,ESP,CZE,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS012,R16,01:06:00,,F,2,C344,"6-3,6-2",A. Corretja,B. Ulihrach,,,ESP,CZE,6-3,6-2,,,,01:06:00,294,/en/stats/leaderboard?page=serve,,0,69,38,55,66,25,38,71,12,17,67,2,3,9,194,/en/stats/leaderboard?page=serve,5,0,48,27,56,56,15,27,45,13,29,33,2,6,8,67,37,55,50,28,56,59,65,111,50,28,56,33,18,55,41,46,111,A,,,,,,False,,,A. Corretja,B. Ulihrach,C344,U032,ESP,CZE,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS013,R16,00:56:00,,F,2,D228,"6-3,6-2",F. Dewulf,F. Mantilla,,,BEL,ESP,6-3,6-2,,,,00:56:00,257,/en/stats/leaderboard?page=serve,4,1,63,33,52,64,21,33,58,11,19,50,2,4,8,183,/en/stats/leaderboard?page=serve,,0,65,33,51,52,17,33,33,6,18,33,3,9,9,62,32,52,55,28,51,58,60,103,45,23,51,38,20,52,42,43,103,A,,,,,False,,,,F. Dewulf,F. Mantilla,D228,M535,BEL,ESP,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS014,R16,00:53:00,,F,2,K316,"6-3,6-0",N. Kiefer,N. Marques,,,GER,POR,6-3,6-0,,,,00:53:00,188,/en/stats/leaderboard?page=serve,1,4,45,22,49,73,16,22,67,18,27,0,0,,8,177,/en/stats/leaderboard?page=serve,2,0,51,19,37,58,11,19,28,5,18,20,1,5,7,69,34,49,57,21,37,64,55,86,43,16,37,31,15,49,36,31,86,A,,,,,,,,,N. Kiefer,N. Marques,K316,M197,GER,POR,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS015,R16,01:17:00,,F,2,V161,"6-1,7-6(7)",J. Viloca-Puig,M. Rios,,,ESP,CHI,6-1,7-6(7),,,,01:17:00,232,/en/stats/leaderboard?page=serve,2,1,62,38,61,76,29,38,35,8,23,33,2,6,10,170,/en/stats/leaderboard?page=serve,6,4,47,32,68,59,19,32,33,12,36,50,6,12,9,61,37,61,54,37,68,57,74,129,46,31,68,39,24,61,43,55,129,A,,,7,4,,,,,J. Viloca-Puig,M. Rios,V161,R286,ESP,CHI,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS016,R32,01:10:00,,F,2,M099,"6-3,6-3",T. Muster,E. Sanchez,,,AUT,ESP,6-3,6-3,,,,01:10:00,252,/en/stats/leaderboard?page=serve,,4,49,28,57,82,23,28,62,18,29,,0,,9,241,/en/stats/leaderboard?page=serve,1,3,67,35,52,71,25,35,35,6,17,0,0,3,9,72,41,57,40,21,52,57,62,109,60,31,52,28,16,57,43,47,109,A,,,,,,False,,,T. Muster,E. Sanchez,M099,S014,AUT,ESP,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS017,R32,01:53:00,,F,3,Z073,"3-6,6-2,7-6(8)",M. Zabaleta,J. Burillo,,,ARG,ESP,3-6,6-2,7-6(8),,,01:53:00,265,/en/stats/leaderboard?page=serve,7,6,50,46,92,83,38,46,48,22,46,85,11,13,14,240,/en/stats/leaderboard?page=serve,8,5,44,46,104,74,34,46,45,26,58,67,6,9,15,65,60,92,42,44,104,53,104,196,58,60,104,35,32,92,47,92,196,A,,,,,,,8,6,M. Zabaleta,J. Burillo,Z073,B429,ARG,ESP,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS018,R32,01:33:00,,F,2,M475,"6-4,7-6(10)",A. Medvedev,A. Volkov,,,UKR,RUS,6-4,7-6(10),,,,01:33:00,231,/en/stats/leaderboard?page=serve,14,8,43,34,80,79,27,34,43,20,46,50,3,6,11,211,/en/stats/leaderboard?page=serve,4,2,41,34,83,62,21,34,47,23,49,67,8,12,11,59,47,80,47,39,83,53,86,163,53,44,83,41,33,80,47,77,163,A,,,10,8,,,,,A. Medvedev,A. Volkov,M475,V037,UKR,RUS,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS019,R32,01:13:00,,F,2,A190,"6-3,6-3",E. Benfele Alvarez,F. Clavet,,,ESP,ESP,6-3,6-3,,,,01:13:00,262,/en/stats/leaderboard?page=serve,3,3,48,29,61,79,23,29,47,15,32,75,3,4,9,214,/en/stats/leaderboard?page=serve,4,1,63,35,56,66,23,35,33,7,21,60,6,10,9,62,38,61,46,26,56,55,64,117,54,30,56,38,23,61,45,53,117,A,,,,,,,,,E. Benfele Alvarez,F. Clavet,A190,C252,ESP,ESP,,
319,1996,Kitzbuhel,GP,1996-07-22T00:00:00,1996-07-28T00:00:00,Clay,48,400000,$,MS020,R32,01:05:00,,F,2,S568,"6-3,6-4",F. Squillari,C. Moya,,,ARG,ESP,6-3,6-4,,,,01:05:00,265,/en/stats/leaderboard?page=serve,4,3,58,34,59,76,26,34,52,13,25,67,4,6,10,239,/en/stats/leaderboard?page=serve,1,0,69,36,52,47,17,36,69,11,16,0,0,4,9,66,39,59,46,24,52,57,63,111,54,28,52,34,20,59,43,48,111,A,,,,,,,,,F. Squillari,C. Moya,S568,M605,ARG,ESP,,
