event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS001,F,01:20:00,,F,2,A092,"6-4,6-4",A. Agassi,T. Henman,,,USA,GBR,6-4,6-4,,,,01:20:00,301,/en/stats/leaderboard?page=serve,2,2,72,39,54,72,28,39,67,10,15,0,0,1,10,230,/en/stats/leaderboard?page=serve,7,8,44,31,70,77,24,31,38,15,39,63,5,8,10,70,38,54,44,31,70,56,69,124,56,39,70,30,16,54,44,55,124,A,,,,,,,,,A. Agassi,T. Henman,A092,H336,USA,GBR,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS002,SF,01:14:00,,F,2,A092,"6-0,7-6(7)",A. Agassi,J. Gimelstob,,,USA,USA,6-0,7-6(7),,,,01:14:00,287,/en/stats/leaderboard?page=serve,1,2,73,40,55,83,33,40,53,8,15,,0,,9,224,/en/stats/leaderboard?page=serve,5,6,58,35,60,63,22,35,36,9,25,50,3,6,9,75,41,55,48,29,60,61,70,115,52,31,60,25,14,55,39,45,115,A,7,2,,,,,,,A. Agassi,J. Gimelstob,A092,G354,USA,USA,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS003,SF,01:19:00,,F,2,H336,"7-5,6-3",T. Henman,G. Raoux,,,GBR,FRA,7-5,6-3,,,,01:19:00,296,/en/stats/leaderboard?page=serve,3,8,47,26,55,92,24,26,62,18,29,0,0,1,11,239,/en/stats/leaderboard?page=serve,3,3,53,31,59,77,24,31,39,11,28,50,3,6,10,76,42,55,41,24,59,58,66,114,59,35,59,24,13,55,42,48,114,A,,,,,,,,,T. Henman,G. Raoux,H336,R186,GBR,FRA,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS004,QF,01:19:00,,F,2,G354,"6-4,6-3",J. Gimelstob,P. Rafter,,,USA,AUS,6-4,6-3,,,,01:19:00,269,/en/stats/leaderboard?page=serve,1,3,64,42,66,69,29,42,54,13,24,71,5,7,10,224,/en/stats/leaderboard?page=serve,4,2,63,33,52,61,20,33,47,9,19,33,2,6,9,64,42,66,44,23,52,55,65,118,56,29,52,36,24,66,45,53,118,A,,,,,,,,,J. Gimelstob,P. Rafter,G354,R255,USA,AUS,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS005,QF,01:20:00,,F,2,A092,"7-6(7),6-2",A. Agassi,S. Stolle,,,USA,AUS,7-6(7),6-2,,,,01:20:00,307,/en/stats/leaderboard?page=serve,1,2,75,46,61,74,34,46,67,10,15,86,6,7,10,246,/en/stats/leaderboard?page=serve,1,7,59,41,70,63,26,41,48,14,29,57,4,7,10,72,44,61,43,30,70,56,74,131,57,40,70,28,17,61,44,57,131,A,,,7,2,,,,,A. Agassi,S. Stolle,A092,S443,USA,AUS,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS006,QF,02:44:00,,F,3,R186,"6-7(7),6-4,7-5",G. Raoux,M. Joyce,,,FRA,USA,6-7(7),6-4,7-5,,,02:44:00,247,/en/stats/leaderboard?page=serve,3,4,56,66,118,58,38,66,62,32,52,38,3,8,17,225,/en/stats/leaderboard?page=serve,4,8,53,69,131,68,47,69,42,26,62,61,11,18,17,59,70,118,44,58,131,51,128,249,56,73,131,41,48,118,49,121,249,A,,,7,9,,,,,G. Raoux,M. Joyce,R186,J100,FRA,USA,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS007,QF,02:12:00,,F,3,H336,"5-7,6-1,6-4",T. Henman,B. Black,,,GBR,ZIM,5-7,6-1,6-4,,,02:12:00,276,/en/stats/leaderboard?page=serve,8,19,48,47,97,81,38,47,50,25,50,85,11,13,15,245,/en/stats/leaderboard?page=serve,4,4,67,77,115,60,46,77,47,18,38,79,15,19,14,65,63,97,44,51,115,54,114,212,56,64,115,35,34,97,46,98,212,A,,,,,,,,,T. Henman,B. Black,H336,B397,GBR,ZIM,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS008,R16,01:41:00,,F,3,R255,"6-3,5-7,6-1",P. Rafter,M. Damm,,,AUS,CZE,6-3,5-7,6-1,,,01:41:00,317,/en/stats/leaderboard?page=serve,3,13,68,50,74,76,38,50,71,17,24,50,1,2,14,243,/en/stats/leaderboard?page=serve,5,4,63,52,83,65,34,52,45,14,31,50,4,8,14,74,55,74,42,35,83,57,90,157,58,48,83,26,19,74,43,67,157,A,,,,,,,,,P. Rafter,M. Damm,R255,D214,AUS,CZE,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS009,R16,00:44:00,,F,2,G354,"6-3,3-0",J. Gimelstob,V. Spadea,,,USA,USA,6-3,3-0,,,,00:44:00,280,/en/stats/leaderboard?page=serve,2,2,67,20,30,70,14,20,60,6,10,0,0,1,6,201,/en/stats/leaderboard?page=serve,2,0,69,29,42,38,11,29,54,7,13,33,2,6,7,67,20,30,57,24,42,61,44,72,43,18,42,33,10,30,39,28,72,A,,,,,,,,,J. Gimelstob,V. Spadea,G354,S544,USA,USA,,
423,1998,Los Angeles,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Hard,32,315000,$,MS010,R16,01:26:00,,F,2,S443,"6-3,7-6(8)",S. Stolle,A. Ilie,,,AUS,AUS,6-3,7-6(8),,,,01:26:00,310,/en/stats/leaderboard?page=serve,,6,68,42,62,81,34,42,65,13,20,50,1,2,11,259,/en/stats/leaderboard?page=serve,2,5,48,34,71,79,27,34,49,18,37,67,4,6,10,76,47,62,37,26,71,55,73,133,63,45,71,24,15,62,45,60,133,A,8,6,,,False,,,,S. Stolle,A. Ilie,S443,I052,AUS,AUS,,
