event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS011,R16,01:00:00,,F,2,M475,"6-3,6-2",A. Medvedev,J. Kroslak,,,UKR,SVK,6-3,6-2,,,,01:00:00,195,/en/stats/leaderboard?page=serve,,4,54,32,59,72,23,32,67,18,27,0,0,,9,248,/en/stats/leaderboard?page=serve,3,0,69,34,49,53,18,34,67,10,15,63,5,8,8,69,41,59,43,21,49,57,62,108,57,28,49,31,18,59,43,46,108,A,,,2,,,,,,A. Medvedev,J. Kroslak,M475,K296,UKR,SVK,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS012,R16,01:38:00,,F,3,D214,"5-7,6-3,3-0",M. Damm,Y. El Aynaoui,,,CZE,MAR,5-7,6-3,3-0,,,01:38:00,298,/en/stats/leaderboard?page=serve,,9,56,38,68,87,33,38,57,17,30,80,4,5,13,253,/en/stats/leaderboard?page=serve,3,1,57,40,70,70,28,40,53,16,30,57,4,7,12,74,50,68,37,26,70,55,76,138,63,44,70,26,18,68,45,62,138,A,,,3,,,,,,M. Damm,Y. El Aynaoui,D214,E121,CZE,MAR,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS013,R16,01:39:00,,F,3,J100,"3-6,6-4,6-3",M. Joyce,R. Reneberg,,,USA,USA,3-6,6-4,6-3,,,01:39:00,263,/en/stats/leaderboard?page=serve,,9,58,45,77,76,34,45,47,15,32,40,2,5,14,243,/en/stats/leaderboard?page=serve,5,10,47,41,88,73,30,41,47,22,47,50,4,8,14,64,49,77,41,36,88,52,85,165,59,52,88,36,28,77,48,80,165,A,,,5,,,,,,M. Joyce,R. Reneberg,J100,R016,USA,USA,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS014,R16,01:27:00,,F,3,V166,"5-7,6-0,6-2",A. Voinea,N. Welgreen,,,ROU,ISR,5-7,6-0,6-2,,,01:27:00,271,/en/stats/leaderboard?page=serve,,2,65,50,77,64,32,50,67,18,27,63,5,8,13,210,/en/stats/leaderboard?page=serve,1,0,71,55,78,51,28,55,43,10,23,36,4,11,13,65,50,77,51,40,78,58,90,155,49,38,78,35,27,77,42,65,155,A,,,3,,,,,,A. Voinea,N. Welgreen,V166,W208,ROU,ISR,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS015,R16,01:04:00,,F,2,J129,"6-3,6-3",T. Johansson,F. Wibier,,,SWE,NED,6-3,6-3,,,,01:04:00,210,/en/stats/leaderboard?page=serve,,8,58,28,48,82,23,28,65,13,20,0,0,,9,223,/en/stats/leaderboard?page=serve,5,1,57,32,56,66,21,32,38,9,24,40,2,5,9,75,36,48,46,26,56,60,62,104,54,30,56,25,12,48,40,42,104,A,,,3,,,,,,T. Johansson,F. Wibier,J129,W171,SWE,NED,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS016,R32,01:08:00,,F,2,C274,"6-1,6-3",M. Chang,D. Prinosil,,,USA,GER,6-1,6-3,,,,01:08:00,266,/en/stats/leaderboard?page=serve,,5,43,23,53,83,19,23,63,19,30,,0,,8,198,/en/stats/leaderboard?page=serve,5,3,45,24,53,71,17,24,34,10,29,20,1,5,8,72,38,53,49,26,53,60,64,106,51,27,53,28,15,53,40,42,106,A,,,3,,,,,,M. Chang,D. Prinosil,C274,P273,USA,GER,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS017,R32,02:15:00,,F,3,B350,"3-6,6-3,7-6(7)",S. Bruguera,A. Cherkasov,,,ESP,RUS,3-6,6-3,7-6(7),,,02:15:00,240,/en/stats/leaderboard?page=serve,,11,54,58,107,76,44,58,41,20,49,50,5,10,15,240,/en/stats/leaderboard?page=serve,5,1,63,57,91,65,37,57,50,17,34,29,2,7,15,60,64,107,41,37,91,51,101,198,59,54,91,40,43,107,49,97,198,A,,,8,,,,7,5,S. Bruguera,A. Cherkasov,B350,C260,ESP,RUS,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS018,R32,01:49:00,,F,3,K237,"2-6,6-3,6-4",K. Kucera,G. Canas,,,SVK,ARG,2-6,6-3,6-4,,,01:49:00,224,/en/stats/leaderboard?page=serve,,1,38,35,91,74,26,35,50,28,56,50,4,8,14,232,/en/stats/leaderboard?page=serve,4,1,48,40,84,63,25,40,55,24,44,50,4,8,13,59,54,91,42,35,84,51,89,175,58,49,84,41,37,91,49,86,175,A,,,10,,,,,,K. Kucera,G. Canas,K237,C433,SVK,ARG,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS019,R32,01:46:00,,F,3,A226,"6-3,2-6,6-4",H. Arazi,M. Larsson,,,MAR,SWE,6-3,2-6,6-4,,,01:46:00,256,/en/stats/leaderboard?page=serve,,3,47,46,97,76,35,46,49,25,51,83,10,12,14,268,/en/stats/leaderboard?page=serve,2,6,56,48,85,73,35,48,51,19,37,60,3,5,13,62,60,97,36,31,85,50,91,182,64,54,85,38,37,97,50,91,182,A,,,4,,,,,,H. Arazi,M. Larsson,A226,L206,MAR,SWE,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS020,R32,01:10:00,,F,2,S403,"6-4,6-4",J. Stark,J. Siemerink,,,USA,NED,6-4,6-4,,,,01:10:00,292,/en/stats/leaderboard?page=serve,False,5,66,37,56,84,31,37,47,9,19,0,0,1,10,242,/en/stats/leaderboard?page=serve,3,1,55,30,55,67,20,30,52,13,25,0,0,3,10,71,40,56,40,22,55,56,62,111,60,33,55,29,16,56,44,49,111,A,,,,,,,,,J. Stark,J. Siemerink,S403,S381,USA,NED,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS021,R32,01:47:00,,F,2,S544,"7-6(10),6-4",V. Spadea,A. Chesnokov,,,USA,RUS,7-6(10),6-4,,,,01:47:00,244,/en/stats/leaderboard?page=serve,False,2,49,40,81,75,30,40,46,19,41,63,5,8,11,217,/en/stats/leaderboard?page=serve,7,4,52,48,92,69,33,48,36,16,44,60,6,10,11,60,49,81,47,43,92,53,92,173,53,49,92,40,32,81,47,81,173,A,10,8,,,,,,,V. Spadea,A. Chesnokov,S544,C031,USA,RUS,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS022,R32,01:57:00,,F,3,K296,"7-6(10),3-6,6-3",J. Kroslak,N. Pereira,,,SVK,VEN,7-6(10),3-6,6-3,,,01:57:00,294,/en/stats/leaderboard?page=serve,,7,59,57,96,77,44,57,62,24,39,80,4,5,15,281,/en/stats/leaderboard?page=serve,1,4,58,63,108,78,49,63,49,22,45,88,7,8,15,71,68,96,34,37,108,51,105,204,66,71,108,29,28,96,49,99,204,A,10,8,4,,,,,,J. Kroslak,N. Pereira,K296,P218,SVK,VEN,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS023,R32,01:31:00,,F,3,M475,"4-6,6-2,6-2",A. Medvedev,A. Volkov,,,UKR,RUS,4-6,6-2,6-2,,,01:31:00,288,/en/stats/leaderboard?page=serve,,13,56,39,70,85,33,39,52,16,31,0,0,2,13,212,/en/stats/leaderboard?page=serve,9,4,43,40,93,70,28,40,43,23,53,62,8,13,13,70,49,70,45,42,93,56,91,163,55,51,93,30,21,70,44,72,163,A,,,2,,,,,,A. Medvedev,A. Volkov,M475,V037,UKR,RUS,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS024,R32,01:24:00,,F,2,E121,"6-4,6-3",Y. El Aynaoui,N. Lapentti,,,MAR,ECU,6-4,6-3,,,,01:24:00,286,/en/stats/leaderboard?page=serve,,10,58,44,76,61,27,44,69,22,32,86,6,7,10,221,/en/stats/leaderboard?page=serve,6,1,50,31,62,68,21,31,42,13,31,50,3,6,9,64,49,76,45,28,62,56,77,138,55,34,62,36,27,76,44,61,138,A,,,2,,,,,,Y. El Aynaoui,N. Lapentti,E121,L290,MAR,ECU,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS025,R32,01:25:00,,F,2,D214,"6-2,7-6(7)",M. Damm,M. Mirnyi,,,CZE,BLR,6-2,7-6(7),,,,01:25:00,305,/en/stats/leaderboard?page=serve,,7,63,35,56,80,28,35,67,14,21,0,0,1,10,229,/en/stats/leaderboard?page=serve,10,8,52,40,77,68,27,40,41,15,37,77,10,13,10,75,42,56,45,35,77,58,77,133,55,42,77,25,14,56,42,56,133,A,,,2,,7,4,,,M. Damm,M. Mirnyi,D214,M595,CZE,BLR,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS026,R32,02:08:00,,F,3,J100,"6-3,6-7(5),7-6(7)",M. Joyce,J. Frana,,,USA,ARG,6-3,6-7(5),7-6(7),,,02:08:00,283,/en/stats/leaderboard?page=serve,,8,62,78,126,65,51,78,63,30,48,71,5,7,17,266,/en/stats/leaderboard?page=serve,4,10,59,57,97,77,44,57,43,17,40,0,0,3,16,64,81,126,37,36,97,52,117,223,63,61,97,36,45,126,48,106,223,A,,,3,,5,7,7,3,M. Joyce,J. Frana,J100,F041,USA,ARG,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS027,R32,01:07:00,,F,2,R016,"6-4,6-2",R. Reneberg,S. Matsuoka,,,USA,JPN,6-4,6-2,,,,01:07:00,279,/en/stats/leaderboard?page=serve,False,2,46,24,52,79,19,24,64,18,28,50,1,2,9,228,/en/stats/leaderboard?page=serve,2,8,54,27,50,78,21,27,35,8,23,50,4,8,9,71,37,52,42,21,50,57,58,102,58,29,50,29,15,52,43,44,102,A,,,,,,,,,R. Reneberg,S. Matsuoka,R016,M338,USA,JPN,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS028,R32,01:05:00,,F,2,V166,"6-3,6-4",A. Voinea,H. Dreekmann,,,ROU,GER,6-3,6-4,,,,01:05:00,283,/en/stats/leaderboard?page=serve,,3,60,36,60,86,31,36,46,11,24,86,6,7,10,228,/en/stats/leaderboard?page=serve,5,4,45,26,58,77,20,26,41,13,32,57,4,7,9,70,42,60,43,25,58,57,67,118,57,33,58,30,18,60,43,51,118,A,,,2,,,,,,A. Voinea,H. Dreekmann,V166,D249,ROU,GER,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS029,R32,02:05:00,,F,3,W208,"5-7,6-3,7-5",N. Welgreen,A. Chang,,,ISR,CAN,5-7,6-3,7-5,,,02:05:00,298,/en/stats/leaderboard?page=serve,,3,72,68,94,72,49,68,62,16,26,67,2,3,16,281,/en/stats/leaderboard?page=serve,3,13,64,65,102,68,44,65,57,21,37,50,3,6,17,69,65,94,36,37,102,52,102,196,64,65,102,31,29,94,48,94,196,A,,,4,,,,,,N. Welgreen,A. Chang,W208,C308,ISR,CAN,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS030,R32,01:22:00,,F,2,J129,"6-3,6-4",T. Johansson,S. Pescosolido,,,SWE,ITA,6-3,6-4,,,,01:22:00,256,/en/stats/leaderboard?page=serve,,5,60,37,62,68,25,37,56,14,25,67,6,9,10,185,/en/stats/leaderboard?page=serve,3,2,43,26,60,58,15,26,41,14,34,44,4,9,9,63,39,62,52,31,60,57,70,122,48,29,60,37,23,62,43,52,122,A,,,3,,,,,,T. Johansson,S. Pescosolido,J129,P235,SWE,ITA,,
441,1996,Long Island,GP,1996-08-19T00:00:00,1996-08-25T00:00:00,Hard,32,225000,$,MS031,R32,01:24:00,,F,2,W171,"6-3,7-6(8)",F. Wibier,S. Simian,,,NED,FRA,6-3,7-6(8),,,,01:24:00,298,/en/stats/leaderboard?page=serve,,3,73,55,75,60,33,55,75,15,20,86,6,7,11,252,/en/stats/leaderboard?page=serve,6,1,59,41,69,68,28,41,50,14,28,71,5,7,10,64,48,75,39,27,69,52,75,144,61,42,69,36,27,75,48,69,144,A,,,3,,8,6,,,F. Wibier,S. Simian,W171,S454,NED,FRA,,
