event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,secondservepointswon_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS001,F,02:06:00,,F,3,R286,"4-6,6-4,7-6(7)",M. Rios,R. Fromberg,,,CHI,AUS,4-6,6-4,7-6(7),,,02:06:00,7,3,281,/en/stats/leaderboard?page=serve,4,2,62,55,89,75,41,55,59,20,34,0,0,2,16,278,/en/stats/leaderboard?page=serve,False,10,54,59,109,73,43,59,54,27,50,60,3,5,16,69,61,89,36,39,109,51,100,198,64,70,109,31,28,89,49,98,198,A,,,,,,,,M. Rios,R. Fromberg,R286,F164,CHI,AUS,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS002,SF,00:54:00,,F,2,R286,"6-1,6-3",M. Rios,B. Black,,,CHI,ZIM,6-1,6-3,,,,00:54:00,,,214,/en/stats/leaderboard?page=serve,2,6,50,20,40,90,18,20,70,14,20,0,0,,8,207,/en/stats/leaderboard?page=serve,False,1,60,28,47,54,15,28,42,8,19,43,3,7,8,80,32,40,51,24,47,64,56,87,49,23,47,20,8,40,36,31,87,A,,,,,,,,M. Rios,B. Black,R286,B397,CHI,ZIM,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS003,SF,01:30:00,,F,2,F164,"6-3,7-6(10)",R. Fromberg,F. Mantilla,,,AUS,ESP,6-3,7-6(10),,,,01:30:00,,,285,/en/stats/leaderboard?page=serve,4,12,69,51,74,84,43,51,52,12,23,,0,,11,283,/en/stats/leaderboard?page=serve,,2,63,47,75,68,32,47,61,17,28,75,3,4,10,74,55,74,35,26,75,54,81,149,65,49,75,26,19,74,46,68,149,A,10,8,1,,,,,R. Fromberg,F. Mantilla,F164,M535,AUS,ESP,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS004,QF,01:59:00,,F,3,R286,"5-7,6-4,6-1",M. Rios,K. Carlsen,,,CHI,DEN,5-7,6-4,6-1,,,01:59:00,,,243,/en/stats/leaderboard?page=serve,3,6,59,55,93,60,33,55,50,19,38,50,4,8,14,207,/en/stats/leaderboard?page=serve,,5,52,43,83,65,28,43,38,15,40,36,4,11,15,56,52,93,48,40,83,52,92,176,52,43,83,44,41,93,48,84,176,A,,,6,,,,,M. Rios,K. Carlsen,R286,C328,CHI,DEN,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS005,QF,01:50:00,,F,3,B397,"6-4,2-6,7-5",B. Black,C. Vinck,,,ZIM,GER,6-4,2-6,7-5,,,01:50:00,,,268,/en/stats/leaderboard?page=serve,,6,67,66,99,64,42,66,58,19,33,64,7,11,15,242,/en/stats/leaderboard?page=serve,,4,71,68,96,74,50,68,25,7,28,56,5,9,15,62,61,99,41,39,96,51,100,195,59,57,96,38,38,99,49,95,195,A,,,5,False,,,,B. Black,C. Vinck,B397,V175,ZIM,GER,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS006,QF,01:21:00,,F,2,F164,"6-2,7-6(8)",R. Fromberg,D. Hrbaty,,,AUS,SVK,6-2,7-6(8),,,,01:21:00,,,285,/en/stats/leaderboard?page=serve,6,12,58,42,72,88,37,42,43,13,30,,0,,10,275,/en/stats/leaderboard?page=serve,,3,70,49,70,67,33,49,57,12,21,75,6,8,10,69,50,72,36,25,70,53,75,142,64,45,70,31,22,72,47,67,142,A,8,6,2,,,,,R. Fromberg,D. Hrbaty,F164,H377,AUS,SVK,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS007,QF,01:13:00,,F,2,M535,"6-2,6-3",F. Mantilla,C. Costa,,,ESP,ESP,6-2,6-3,,,,01:13:00,,,288,/en/stats/leaderboard?page=serve,1,1,74,35,47,69,24,35,58,7,12,75,3,4,8,190,/en/stats/leaderboard?page=serve,,3,47,34,72,59,20,34,39,15,38,55,6,11,9,66,31,47,51,37,72,57,68,119,49,35,72,34,16,47,43,51,119,A,,,2,,,,,F. Mantilla,C. Costa,M535,C179,ESP,ESP,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS008,R16,01:09:00,,F,2,R286,"7-5,6-1",M. Rios,M. Nielsen,,,CHI,NZL,7-5,6-1,,,,01:09:00,,,232,/en/stats/leaderboard?page=serve,,9,46,19,41,95,18,19,82,18,22,0,0,,9,221,/en/stats/leaderboard?page=serve,,1,54,34,63,56,19,34,52,15,29,60,6,10,10,88,36,41,46,29,63,63,65,104,54,34,63,12,5,41,38,39,104,A,,,2,False,,,,M. Rios,M. Nielsen,R286,N267,CHI,NZL,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS009,R16,01:02:00,,F,2,C328,"6-1,6-3",K. Carlsen,A. Hunt,,,DEN,NZL,6-1,6-3,,,,01:02:00,,,307,/en/stats/leaderboard?page=serve,2,5,62,26,42,92,24,26,63,10,16,,0,,8,197,/en/stats/leaderboard?page=serve,,3,70,37,53,65,24,37,13,2,16,60,6,10,8,81,34,42,51,27,53,64,61,95,49,26,53,19,8,42,36,34,95,A,,,4,,,,,K. Carlsen,A. Hunt,C328,H297,DEN,NZL,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS010,R16,01:06:00,,F,2,B397,"6-0,6-4",B. Black,M. Washington,,,ZIM,USA,6-0,6-4,,,,01:06:00,,,291,/en/stats/leaderboard?page=serve,1,8,64,30,47,80,24,30,65,11,17,,0,,8,200,/en/stats/leaderboard?page=serve,,0,59,37,63,51,19,37,42,11,26,50,4,8,8,74,35,47,52,33,63,62,68,110,48,30,63,26,12,47,38,42,110,A,,,2,,,,,B. Black,M. Washington,B397,W124,ZIM,USA,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS011,R16,01:32:00,,F,3,V175,"4-6,6-1,6-1",C. Vinck,J. Tarango,,,GER,USA,4-6,6-1,6-1,,,01:32:00,,,283,/en/stats/leaderboard?page=serve,4,8,65,48,74,73,35,48,50,13,26,80,4,5,12,221,/en/stats/leaderboard?page=serve,,6,64,42,66,71,30,42,29,7,24,17,1,6,12,65,48,74,44,29,66,55,77,140,56,37,66,35,26,74,45,63,140,A,,,7,,,,,C. Vinck,J. Tarango,V175,T136,GER,USA,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS012,R16,01:25:00,,F,2,F164,"7-6(7),6-3",R. Fromberg,B. Steven,,,AUS,NZL,7-6(7),6-3,,,,01:25:00,,,277,/en/stats/leaderboard?page=serve,2,8,64,42,66,83,35,42,54,13,24,,0,,10,281,/en/stats/leaderboard?page=serve,,1,62,39,63,67,26,39,71,17,24,33,1,3,11,73,48,66,32,20,63,53,68,129,68,43,63,27,18,66,47,61,129,A,,,1,,7,4,,R. Fromberg,B. Steven,F164,S321,AUS,NZL,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS013,R16,00:59:00,,F,2,H377,"6-3,6-4",D. Hrbaty,M. Damm,,,SVK,CZE,6-3,6-4,,,,00:59:00,,,275,/en/stats/leaderboard?page=serve,2,4,58,33,57,82,27,33,63,15,24,,0,,10,263,/en/stats/leaderboard?page=serve,,9,62,33,53,76,25,33,40,8,20,67,4,6,9,74,42,57,38,20,53,56,62,110,62,33,53,26,15,57,44,48,110,A,,,1,,,,,D. Hrbaty,M. Damm,H377,D214,SVK,CZE,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS014,R16,00:39:00,,F,2,C179,"6-0,6-1",C. Costa,J. Sanchez,,,ESP,ESP,6-0,6-1,,,,00:39:00,,,220,/en/stats/leaderboard?page=serve,,5,49,17,35,88,15,17,78,14,18,0,0,,7,134,/en/stats/leaderboard?page=serve,,1,67,22,33,36,8,22,18,2,11,0,0,5,6,83,29,35,70,23,33,76,52,68,30,10,33,17,6,35,24,16,68,A,,,4,False,,,,C. Costa,J. Sanchez,C179,S015,ESP,ESP,,
301,1998,Auckland,WS,1998-01-12T00:00:00,1998-01-18T00:00:00,Hard,32,315000,$,MS015,R16,01:38:00,,F,2,M535,"6-3,7-6(9)",F. Mantilla,M. Sell,,,ESP,USA,6-3,7-6(9),,,,01:38:00,,,237,/en/stats/leaderboard?page=serve,3,1,66,51,77,59,30,51,54,14,26,43,3,7,10,201,/en/stats/leaderboard?page=serve,,2,58,45,77,53,24,45,44,14,32,33,3,9,11,57,44,77,51,39,77,54,83,154,49,38,77,43,33,77,46,71,154,A,9,7,1,,,,,F. Mantilla,M. Sell,M535,S601,ESP,USA,,
