event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS022,R32,01:20:00,,F,2,C328,"6-4,6-3",K. Carlsen,D. Nestor,,,DEN,CAN,6-4,6-3,,,,01:20:00,254,/en/stats/leaderboard?page=serve,2,3,61,37,61,70,26,37,67,16,24,,0,,9,230,/en/stats/leaderboard?page=serve,,2,36,23,64,78,18,23,49,20,41,40,2,5,10,69,42,61,41,26,64,54,68,125,59,38,64,31,19,61,46,57,125,A,5,,,,,,,,K. Carlsen,D. Nestor,C328,N210,DEN,CAN,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS023,R32,01:17:00,,F,2,E121,"7-6(7),6-3",Y. El Aynaoui,A. Berasategui,,,MAR,ESP,7-6(7),6-3,,,,01:17:00,235,/en/stats/leaderboard?page=serve,5,6,62,42,68,90,38,42,42,11,26,,0,,10,289,/en/stats/leaderboard?page=serve,,0,85,77,91,60,46,77,64,9,14,78,7,9,11,72,49,68,40,36,91,53,85,159,60,55,91,28,19,68,47,74,159,A,1,7,5,,,,,,Y. El Aynaoui,A. Berasategui,E121,B428,MAR,ESP,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS024,R32,01:37:00,,F,2,D198,"6-4,6-2",S. Dosedel,G. Perez-Roldan,,,CZE,ARG,6-4,6-2,,,,01:37:00,273,/en/stats/leaderboard?page=serve,1,1,60,41,68,66,27,41,59,16,27,91,10,11,9,212,/en/stats/leaderboard?page=serve,,1,57,47,83,60,28,47,42,15,36,76,13,17,9,63,43,68,48,40,83,55,83,151,52,43,83,37,25,68,45,68,151,A,3,,,,,,,,S. Dosedel,G. Perez-Roldan,D198,P190,CZE,ARG,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS025,R32,01:40:00,,F,3,P235,"6-4,1-6,6-1",S. Pescosolido,C. Trimmel,,,ITA,AUT,6-4,1-6,6-1,,,01:40:00,245,/en/stats/leaderboard?page=serve,8,7,58,49,84,76,37,49,37,13,35,67,6,9,12,230,/en/stats/leaderboard?page=serve,,2,59,47,80,60,28,47,48,16,33,60,6,10,12,60,50,84,45,36,80,52,86,164,55,44,80,40,34,84,48,78,164,A,5,,,,,,,,S. Pescosolido,C. Trimmel,P235,T231,ITA,AUT,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS026,R32,01:12:00,,F,2,E004,"6-3,6-4",S. Edberg,K. Kucera,,,SWE,SVK,6-3,6-4,,,,01:12:00,256,/en/stats/leaderboard?page=serve,3,1,55,29,53,76,22,29,50,12,24,50,2,4,9,203,/en/stats/leaderboard?page=serve,,1,51,34,67,53,18,34,52,17,33,50,5,10,10,64,34,53,48,32,67,55,66,120,52,35,67,36,19,53,45,54,120,A,4,,,,,,,,S. Edberg,K. Kucera,E004,K237,SWE,SVK,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS027,R32,01:25:00,,F,2,B397,"7-6(7),6-1",B. Black,W. Schranz,,,ZIM,AUT,7-6(7),6-1,,,,01:25:00,263,/en/stats/leaderboard?page=serve,1,2,59,42,71,67,28,42,59,17,29,50,2,4,9,203,/en/stats/leaderboard?page=serve,,5,59,44,75,61,27,44,32,10,31,50,5,10,10,63,45,71,51,38,75,57,83,146,49,37,75,37,26,71,43,63,146,A,4,7,2,,,,,,B. Black,W. Schranz,B397,S649,ZIM,AUT,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS028,R32,01:33:00,,F,3,C252,"3-6,6-3,6-1",F. Clavet,M. Charpentier,,,ESP,ARG,3-6,6-3,6-1,,,01:33:00,277,/en/stats/leaderboard?page=serve,2,2,64,48,75,71,34,48,59,16,27,75,6,8,12,224,/en/stats/leaderboard?page=serve,,0,77,57,74,60,34,57,29,5,17,38,3,8,13,67,50,75,47,35,74,57,85,149,53,39,74,33,25,75,43,64,149,A,3,,,,,,,,F. Clavet,M. Charpentier,C252,C375,ESP,ARG,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS029,R32,01:24:00,,F,2,S015,"6-4,7-5",J. Sanchez,D. Wheaton,,,ESP,USA,6-4,7-5,,,,01:24:00,247,/en/stats/leaderboard?page=serve,2,0,73,49,67,71,35,49,33,6,18,57,4,7,11,209,/en/stats/leaderboard?page=serve,,3,48,29,60,66,19,29,39,12,31,0,0,5,11,61,41,67,48,29,60,55,70,127,52,31,60,39,26,67,45,57,127,A,1,,,,,,,,J. Sanchez,D. Wheaton,S015,W123,ESP,USA,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS030,R32,01:35:00,,F,2,F165,"6-2,7-5",M. Filippini,F. Fetterlein,,,URU,DEN,6-2,7-5,,,,01:35:00,229,/en/stats/leaderboard?page=serve,,2,66,47,71,68,32,47,33,8,24,56,5,9,10,163,/en/stats/leaderboard?page=serve,,0,54,35,65,51,18,35,33,10,30,30,3,10,10,56,40,71,57,37,65,57,77,136,43,28,65,44,31,71,43,59,136,A,5,,,False,,,,,M. Filippini,F. Fetterlein,F165,F206,URU,DEN,,
306,1996,St. Polten,GP,1996-05-20T00:00:00,1996-05-26T00:00:00,Clay,32,400000,$,MS031,R32,01:41:00,,F,2,R286,"6-4,7-6(7)",M. Rios,T. Johansson,,,CHI,SWE,6-4,7-6(7),,,,01:41:00,261,/en/stats/leaderboard?page=serve,3,6,58,46,80,78,36,46,41,14,34,67,4,6,11,231,/en/stats/leaderboard?page=serve,,3,43,39,90,79,31,39,39,20,51,77,10,13,11,63,50,80,43,39,90,52,89,170,57,51,90,38,30,80,48,81,170,A,5,,,,,,7,4,M. Rios,T. Johansson,R286,J129,CHI,SWE,,
