event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS017,R32,01:21:00,,F,2,L360,"7-6(8),6-2",I. Ljubicic,L. Zovko,,,CRO,CRO,7-6(8),6-2,,,,01:21:00,8,6,288,/en/stats/leaderboard?page=serve,3,9,46,27,59,93,25,27,53,17,32,50,1,2,10,245,/en/stats/leaderboard?page=serve,4,4,58,37,64,73,27,37,44,12,27,57,4,7,10,71,42,59,39,25,64,54,67,123,61,39,64,29,17,59,46,56,123,A,,,I. Ljubicic,L. Zovko,L360,Z104,CRO,CRO,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS018,R32,01:54:00,,F,3,B350,"6-3,1-6,7-5",S. Bruguera,J. Vanek,,,ESP,CZE,6-3,1-6,7-5,,,01:54:00,,,215,/en/stats/leaderboard?page=serve,2,1,64,54,85,57,31,54,45,14,31,53,8,15,14,191,/en/stats/leaderboard?page=serve,7,2,42,36,85,53,19,36,51,25,49,30,3,10,14,53,45,85,48,41,85,51,86,170,52,44,85,47,40,85,49,84,170,A,,,S. Bruguera,J. Vanek,B350,V207,ESP,CZE,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS019,R32,00:45:00,,F,2,D214,"6-2,6-1",M. Damm,D. Peschek,,,CZE,GER,6-2,6-1,,,,00:45:00,,,329,/en/stats/leaderboard?page=serve,0,3,71,30,42,80,24,30,75,9,12,100,1,1,8,178,/en/stats/leaderboard?page=serve,7,0,58,23,40,61,14,23,24,4,17,43,3,7,7,79,33,42,55,22,40,67,55,82,45,18,40,21,9,42,33,27,82,A,,,M. Damm,D. Peschek,D214,P616,CZE,GER,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS020,R32,00:55:00,,F,2,P305,"6-1,6-3",A. Portas,P. Kralert,,,ESP,CZE,6-1,6-3,,,,00:55:00,,,268,/en/stats/leaderboard?page=serve,1,1,59,32,54,72,23,32,50,11,22,0,0,1,8,175,/en/stats/leaderboard?page=serve,6,1,64,28,44,54,15,28,25,4,16,29,2,7,8,63,34,54,57,25,44,60,59,98,43,19,44,37,20,54,40,39,98,A,,,A. Portas,P. Kralert,P305,K349,ESP,CZE,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS021,R32,01:33:00,,F,2,U032,"6-4,7-5",B. Ulihrach,M. Hipfl,,,CZE,AUT,6-4,7-5,,,,01:33:00,,,250,/en/stats/leaderboard?page=serve,6,1,65,46,71,70,32,46,48,12,25,70,7,10,11,221,/en/stats/leaderboard?page=serve,2,3,70,55,79,58,32,55,38,9,24,62,8,13,11,62,44,71,48,38,79,55,82,150,52,41,79,38,27,71,45,68,150,A,,,B. Ulihrach,M. Hipfl,U032,H364,CZE,AUT,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS022,R32,02:13:00,,F,3,S649,"3-6,6-2,7-6(9)",W. Schranz,A. Lopez Moron,,,AUT,ESP,3-6,6-2,7-6(9),,,02:13:00,,,239,/en/stats/leaderboard?page=serve,8,2,57,52,92,69,36,52,48,19,40,33,2,6,14,222,/en/stats/leaderboard?page=serve,10,1,56,65,116,68,44,65,41,21,51,58,7,12,15,60,55,92,44,51,116,51,106,208,56,65,116,40,37,92,49,102,208,A,9,7,W. Schranz,A. Lopez Moron,S649,L231,AUT,ESP,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS023,R32,01:40:00,,F,3,M590,"1-6,6-0,6-4",A. Martin,G. Canas,,,ESP,ARG,1-6,6-0,6-4,,,01:40:00,,,261,/en/stats/leaderboard?page=serve,2,1,67,41,61,68,28,41,55,11,20,0,0,3,11,215,/en/stats/leaderboard?page=serve,7,1,54,47,87,66,31,47,43,17,40,62,8,13,12,64,39,61,45,39,87,53,78,148,55,48,87,36,22,61,47,70,148,A,,,A. Martin,G. Canas,M590,C433,ESP,ARG,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS024,R32,02:03:00,,F,3,M543,"4-6,6-2,6-1",M. Martelli,J. Tarango,,,ITA,USA,4-6,6-2,6-1,,,02:03:00,,,256,/en/stats/leaderboard?page=serve,0,7,48,55,115,75,41,55,42,25,60,90,18,20,13,203,/en/stats/leaderboard?page=serve,6,2,44,35,80,54,19,35,51,23,45,55,6,11,12,57,66,115,48,38,80,53,104,195,53,42,80,43,49,115,47,91,195,A,,,M. Martelli,J. Tarango,M543,T136,ITA,USA,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS025,R32,01:24:00,,F,2,C383,"6-3,6-2",R. Carretero,T. Zib,,,ESP,CZE,6-3,6-2,,,,01:24:00,,,281,/en/stats/leaderboard?page=serve,3,10,58,38,66,71,27,38,57,16,28,83,5,6,9,227,/en/stats/leaderboard?page=serve,1,0,77,47,61,51,24,47,50,7,14,64,7,11,8,65,43,66,49,30,61,57,73,127,51,31,61,35,23,66,43,54,127,A,,,R. Carretero,T. Zib,C383,Z074,ESP,CZE,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS026,R32,02:10:00,,F,3,M578,"5-7,6-2,6-4",J. Marin,H. Gumy,,,CRC,ARG,5-7,6-2,6-4,,,02:10:00,,,245,/en/stats/leaderboard?page=serve,1,1,57,45,79,69,31,45,53,18,34,44,4,9,15,213,/en/stats/leaderboard?page=serve,2,1,59,54,92,57,31,54,45,17,38,22,2,9,15,62,49,79,48,44,92,54,93,171,52,48,92,38,30,79,46,78,171,A,,,J. Marin,H. Gumy,M578,G247,CRC,ARG,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS027,R32,00:58:00,,F,2,M605,"6-3,6-1",C. Moya,I. Vajda,,,ESP,CRO,6-3,6-1,,,,00:58:00,,,284,/en/stats/leaderboard?page=serve,1,1,51,29,57,76,22,29,57,16,28,100,1,1,8,190,/en/stats/leaderboard?page=serve,7,0,55,23,42,39,9,23,53,10,19,0,0,4,8,67,38,57,55,23,42,62,61,99,45,19,42,33,19,57,38,38,99,A,,,C. Moya,I. Vajda,M605,V226,ESP,CRO,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS028,R32,01:36:00,,F,2,B518,"7-5,6-4",G. Blanco,M. Tabara,,,ESP,CZE,7-5,6-4,,,,01:36:00,,,253,/en/stats/leaderboard?page=serve,2,8,49,42,86,74,31,42,43,19,44,82,9,11,11,223,/en/stats/leaderboard?page=serve,3,2,51,35,68,71,25,35,39,13,33,56,5,9,11,58,50,86,44,30,68,52,80,154,56,38,68,42,36,86,48,74,154,A,,,G. Blanco,M. Tabara,B518,T243,ESP,CZE,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS029,R32,01:41:00,,F,2,S677,"6-3,6-4",D. Sanchez,S. Sargsian,,,ESP,ARM,6-3,6-4,,,,01:41:00,,,241,/en/stats/leaderboard?page=serve,1,0,70,53,76,58,31,53,48,11,23,73,8,11,9,193,/en/stats/leaderboard?page=serve,3,3,59,41,70,49,20,41,45,13,29,60,9,15,10,55,42,76,53,37,70,54,79,146,47,33,70,45,34,76,46,67,146,A,,,D. Sanchez,S. Sargsian,S677,S545,ESP,ARM,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS030,R32,02:04:00,,F,3,P272,"6-3,3-6,6-3",G. Puentes,F. Mantilla,,,ESP,ESP,6-3,3-6,6-3,,,02:04:00,,,226,/en/stats/leaderboard?page=serve,3,2,64,66,103,52,34,66,54,20,37,57,8,14,14,224,/en/stats/leaderboard?page=serve,1,0,72,67,93,45,30,67,62,16,26,59,10,17,13,52,54,103,51,47,93,52,101,196,49,46,93,48,49,103,48,95,196,A,,,G. Puentes,F. Mantilla,P272,M535,ESP,ESP,,
439,2000,Umag,WS,2000-07-17T00:00:00,2000-07-23T00:00:00,Clay,32,375000,$,MS031,R32,01:02:00,,F,2,R286,"6-3,6-1",M. Rios,J. Kroslak,,,CHI,SVK,6-3,6-1,,,,01:02:00,,,283,/en/stats/leaderboard?page=serve,0,4,47,20,43,80,16,20,65,15,23,50,1,2,8,184,/en/stats/leaderboard?page=serve,7,4,59,50,85,60,30,50,31,11,35,74,14,19,8,72,31,43,52,44,85,59,75,128,48,41,85,28,12,43,41,53,128,A,,,M. Rios,J. Kroslak,R286,K296,CHI,SVK,,
