event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS011,R16,01:07:00,,F,2,S741,"7-6(8),6-1",M. Safin,F. Dewulf,,,RUS,BEL,7-6(8),6-1,,,,01:07:00,8,6,269,/en/stats/leaderboard?page=serve,2,4,37,24,65,79,19,24,61,25,41,2,10,234,/en/stats/leaderboard?page=serve,5,1,57,36,63,78,28,36,37,10,27,50,3,6,9,68,44,65,40,25,63,54,69,128,60,38,63,32,21,65,46,59,128,A,67,3,,,,,,M. Safin,F. Dewulf,S741,D228,RUS,BEL,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS012,R16,01:49:00,,F,3,V141,"6-1,4-6,6-3",D. Vacek,J. Siemerink,,,CZE,NED,6-1,4-6,6-3,,,01:49:00,,,289,/en/stats/leaderboard?page=serve,4,8,56,44,79,80,35,44,57,20,35,0,13,236,/en/stats/leaderboard?page=serve,8,10,48,44,92,73,32,44,44,21,48,73,11,15,13,70,55,79,42,39,92,55,94,171,58,53,92,30,24,79,45,77,171,A,0,1,,,,,,D. Vacek,J. Siemerink,V141,S381,CZE,NED,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS013,R16,01:15:00,,F,2,R237,"6-2,7-6(8)",G. Rusedski,F. Meligeni,,,GBR,BRA,6-2,7-6(8),,,,01:15:00,,,300,/en/stats/leaderboard?page=serve,3,7,61,38,62,87,33,38,58,14,24,0,10,254,/en/stats/leaderboard?page=serve,6,0,55,40,73,80,32,40,45,15,33,71,5,7,10,76,47,62,36,26,73,54,73,135,64,47,73,24,15,62,46,62,135,A,,,8,6,,,,G. Rusedski,F. Meligeni,R237,M443,GBR,BRA,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS014,R16,01:36:00,,F,3,E140,"6-3,3-6,6-3",N. Escude,H. Arazi,,,FRA,MAR,6-3,3-6,6-3,,,01:36:00,,,260,/en/stats/leaderboard?page=serve,5,10,50,44,88,68,30,44,59,26,44,7,14,241,/en/stats/leaderboard?page=serve,3,1,61,49,80,65,32,49,48,15,31,50,4,8,13,64,56,88,41,33,80,53,89,168,59,47,80,36,32,88,47,79,168,A,70,10,,,,,,N. Escude,H. Arazi,E140,A226,FRA,MAR,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS015,R16,01:08:00,,F,2,R255,"6-4,6-3",P. Rafter,M. Damm,,,AUS,CZE,6-4,6-3,,,,01:08:00,,,312,/en/stats/leaderboard?page=serve,,7,63,34,54,82,28,34,70,14,20,0,10,250,/en/stats/leaderboard?page=serve,5,4,49,26,53,69,18,26,56,15,27,33,1,3,9,78,42,54,38,20,53,58,62,107,62,33,53,22,12,54,42,45,107,A,,,,,,,False,P. Rafter,M. Damm,R255,D214,AUS,CZE,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS016,R32,01:17:00,,F,2,K293,"6-3,7-6(7)",G. Kuerten,M. Rios,,,BRA,CHI,6-3,7-6(7),,,,01:17:00,,,269,/en/stats/leaderboard?page=serve,6,3,55,48,88,79,38,48,48,19,40,9,11,265,/en/stats/leaderboard?page=serve,2,3,62,44,71,59,26,44,63,17,27,71,5,7,10,65,57,88,39,28,71,53,85,159,61,43,71,35,31,88,47,74,159,A,90,10,7,4,,,,G. Kuerten,M. Rios,K293,R286,BRA,CHI,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS017,R32,01:05:00,,F,2,C252,"6-2,6-1",F. Clavet,L. Mor,,,ESP,ISR,6-2,6-1,,,,01:05:00,,,286,/en/stats/leaderboard?page=serve,2,3,73,37,51,68,25,37,57,8,14,2,8,162,/en/stats/leaderboard?page=serve,2,0,48,24,50,50,12,24,38,10,26,38,3,8,7,65,33,51,56,28,50,60,61,101,44,22,50,35,18,51,40,40,101,A,67,3,,,,,,F. Clavet,L. Mor,C252,M573,ESP,ISR,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS018,R32,01:21:00,,F,2,U032,"6-4,7-6(7)",B. Ulihrach,S. Dosedel,,,CZE,CZE,6-4,7-6(7),,,,01:21:00,,,275,/en/stats/leaderboard?page=serve,2,1,66,42,64,74,31,42,55,12,22,2,11,239,/en/stats/leaderboard?page=serve,5,7,58,56,97,73,41,56,34,14,41,67,6,9,11,67,43,64,43,42,97,53,85,161,57,55,97,33,21,64,47,76,161,A,50,4,7,5,,,,B. Ulihrach,S. Dosedel,U032,D198,CZE,CZE,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS019,R32,01:10:00,,F,2,M535,"6-4,6-4",F. Mantilla,S. Bruguera,,,ESP,ESP,6-4,6-4,,,,01:10:00,,,222,/en/stats/leaderboard?page=serve,1,5,61,31,51,87,27,31,70,14,20,0,10,278,/en/stats/leaderboard?page=serve,1,9,60,33,55,85,28,33,45,10,22,50,2,4,10,80,41,51,31,17,55,55,58,106,69,38,55,20,10,51,45,48,106,A,0,,,,,,,F. Mantilla,S. Bruguera,M535,B350,ESP,ESP,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS020,R32,01:11:00,,F,2,M605,"7-5,6-3",C. Moya,B. Steven,,,ESP,NZL,7-5,6-3,,,,01:11:00,,,277,/en/stats/leaderboard?page=serve,1,2,48,28,58,75,21,28,63,19,30,2,10,225,/en/stats/leaderboard?page=serve,5,2,54,32,59,63,20,32,48,13,27,43,3,7,11,69,40,58,44,26,59,56,66,117,56,33,59,31,18,58,44,51,117,A,67,3,,,,,,C. Moya,B. Steven,M605,S321,ESP,NZL,,
