event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS014,R16,01:32:00,,F,2,G476,"7-5,6-0",G. Garcia-Lopez,F. Saretta,,,ESP,BRA,7-5,6-0,,,,01:32:00,212,/en/stats/leaderboard?page=serve,2,0,50,23,46,61,14,23,48,11,23,43,3,7,9,124,/en/stats/leaderboard?page=serve,5,0,48,31,65,32,10,31,38,13,34,27,3,11,9,54,25,46,65,42,65,60,67,111,35,23,65,46,21,46,40,44,111,A,,,,,G. Garcia-Lopez,F. Saretta,G476,S876,ESP,BRA,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS015,R16,01:55:00,,F,3,N254,"4-6,6-3,6-1",J. Novak,C. Rochus,,,CZE,BEL,4-6,6-3,6-1,,,01:55:00,267,/en/stats/leaderboard?page=serve,1,7,61,48,79,63,30,48,61,19,31,50,3,6,13,220,/en/stats/leaderboard?page=serve,1,2,64,58,91,47,27,58,55,18,33,57,8,14,13,62,49,79,51,46,91,56,95,170,49,45,91,38,30,79,44,75,170,A,,,,,J. Novak,C. Rochus,N254,R336,CZE,BEL,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS016,R32,01:15:00,,F,2,M605,"6-4,6-4",C. Moya,R. Karanusic,,,ESP,CRO,6-4,6-4,,,,01:15:00,297,/en/stats/leaderboard?page=serve,2,1,56,35,62,83,29,35,59,16,27,100,5,5,10,251,/en/stats/leaderboard?page=serve,5,2,55,38,69,74,28,38,45,14,31,75,6,8,10,73,45,62,39,27,69,55,72,131,61,42,69,27,17,62,45,59,131,A,,,,,C. Moya,R. Karanusic,M605,K371,ESP,CRO,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS017,R32,01:59:00,,F,3,K313,"6-0,3-6,6-3",Z. Krajan,J. Vanek,,,CRO,CZE,6-0,3-6,6-3,,,01:59:00,225,/en/stats/leaderboard?page=serve,3,1,53,47,89,70,33,47,38,16,42,69,9,13,12,184,/en/stats/leaderboard?page=serve,5,5,52,37,71,62,23,37,29,10,34,42,5,12,12,55,49,89,54,38,71,54,87,160,46,33,71,45,40,89,46,73,160,A,,,,,Z. Krajan,J. Vanek,K313,V207,CRO,CZE,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS018,R32,01:27:00,,F,2,A479,"7-6(7),6-4",N. Almagro,T. Behrend,,,ESP,GER,7-6(7),6-4,,,,01:27:00,300,/en/stats/leaderboard?page=serve,1,2,68,42,62,86,36,42,55,11,20,50,1,2,11,264,/en/stats/leaderboard?page=serve,2,3,71,54,76,70,38,54,41,9,22,71,5,7,11,76,47,62,38,29,76,55,76,138,62,47,76,24,15,62,45,62,138,A,,,7.0,4.0,N. Almagro,T. Behrend,A479,B545,ESP,GER,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS019,R32,01:51:00,,F,3,M590,"6-2,4-6,6-2",A. Martin,J. Golmard,,,ESP,FRA,6-2,4-6,6-2,,,01:51:00,274,/en/stats/leaderboard?page=serve,6,3,62,43,69,81,35,43,50,13,26,33,1,3,13,228,/en/stats/leaderboard?page=serve,6,7,57,51,90,65,33,51,44,17,39,44,4,9,13,70,48,69,44,40,90,55,88,159,56,50,90,30,21,69,45,71,159,A,,,,,A. Martin,J. Golmard,M590,G319,ESP,FRA,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS020,R32,01:30:00,,F,2,V254,"7-6(7),6-1",F. Volandri,N. Djokovic,,,ITA,SRB,7-6(7),6-1,,,,01:30:00,213,/en/stats/leaderboard?page=serve,7,0,53,39,74,56,22,39,51,18,35,60,6,10,10,167,/en/stats/leaderboard?page=serve,6,4,62,40,65,50,20,40,24,6,25,25,2,8,9,54,40,74,60,39,65,57,79,139,40,26,65,46,34,74,43,60,139,A,,,7.0,5.0,F. Volandri,N. Djokovic,V254,D643,ITA,SRB,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS021,R32,00:59:00,,F,2,S963,"6-3,6-1",F. Serra,B. Ulihrach,,,FRA,CZE,6-3,6-1,,,,00:59:00,284,/en/stats/leaderboard?page=serve,0,0,77,36,47,75,27,36,45,5,11,50,1,2,8,170,/en/stats/leaderboard?page=serve,6,2,52,30,58,60,18,30,25,7,28,58,7,12,8,68,32,47,57,33,58,62,65,105,43,25,58,32,15,47,38,40,105,A,,,,,F. Serra,B. Ulihrach,S963,U032,FRA,CZE,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS022,R32,00:42:00,,F,2,V309,"6-0,6-2",K. Vliegen,O. Mutis,,,BEL,FRA,6-0,6-2,,,,00:42:00,331,/en/stats/leaderboard?page=serve,2,4,56,18,32,94,17,18,79,11,14,0,0,0,7,166,/en/stats/leaderboard?page=serve,3,1,81,35,43,46,16,35,13,1,8,17,1,6,7,88,28,32,60,26,43,72,54,75,40,17,43,13,4,32,28,21,75,A,,,,,K. Vliegen,O. Mutis,V309,M640,BEL,FRA,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS023,R32,01:03:00,,F,2,R397,"6-2,6-2",O. Rochus,K. Kucera,,,BEL,SVK,6-2,6-2,,,,01:03:00,264,/en/stats/leaderboard?page=serve,2,0,64,32,50,66,21,32,61,11,18,67,4,6,8,149,/en/stats/leaderboard?page=serve,1,0,49,23,47,43,10,23,33,8,24,0,0,6,8,64,32,50,62,29,47,63,61,97,38,18,47,36,18,50,37,36,97,A,,,,,O. Rochus,K. Kucera,R397,K237,BEL,SVK,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS024,R32,01:16:00,,F,2,C433,"6-3,6-2",G. Canas,O. Patience,,,ARG,FRA,6-3,6-2,,,,01:16:00,289,/en/stats/leaderboard?page=serve,1,3,51,20,39,75,15,20,74,14,19,0,0,1,8,182,/en/stats/leaderboard?page=serve,5,2,47,31,66,65,20,31,29,10,35,50,5,10,9,74,29,39,55,36,66,62,65,105,45,30,66,26,10,39,38,40,105,A,,,,,G. Canas,O. Patience,C433,P488,ARG,FRA,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS025,R32,02:10:00,,F,3,V195,"6-7(5),6-4,6-3",F. Vicente,S. Tuksar,,,ESP,CRO,6-7(5),6-4,6-3,,,02:10:00,276,/en/stats/leaderboard?page=serve,1,6,63,61,97,74,45,61,53,19,36,40,2,5,16,247,/en/stats/leaderboard?page=serve,3,4,57,54,95,69,37,54,54,22,41,38,3,8,15,66,64,97,38,36,95,52,100,192,62,59,95,34,33,97,48,92,192,A,,,5.0,7.0,F. Vicente,S. Tuksar,V195,T760,ESP,CRO,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS026,R32,01:30:00,,F,2,C361,"6-4,6-3",A. Calatrava,A. Di Pasquale,,,ESP,FRA,6-4,6-3,,,,01:30:00,259,/en/stats/leaderboard?page=serve,3,3,67,45,67,60,27,45,55,12,22,71,5,7,9,208,/en/stats/leaderboard?page=serve,5,2,63,32,51,56,18,32,42,8,19,44,4,9,10,58,39,67,49,25,51,54,64,118,51,26,51,42,28,67,46,54,118,A,,,,,A. Calatrava,A. Di Pasquale,C361,D357,ESP,FRA,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS027,R32,01:05:00,,F,2,Z074,"6-3,6-4",T. Zib,I. Andreev,,,CZE,RUS,6-3,6-4,,,,01:05:00,300,/en/stats/leaderboard?page=serve,1,2,50,24,48,96,23,24,63,15,24,50,1,2,10,258,/en/stats/leaderboard?page=serve,1,3,62,32,52,63,20,32,65,13,20,67,6,9,9,79,38,48,37,19,52,57,57,100,63,33,52,21,10,48,43,43,100,A,,,,,T. Zib,I. Andreev,Z074,A511,CZE,RUS,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS028,R32,01:03:00,,F,2,S876,"6-3,6-1",F. Saretta,S. Wawrinka,,,BRA,SUI,6-3,6-1,,,,01:03:00,318,/en/stats/leaderboard?page=serve,0,2,70,30,43,77,23,30,69,9,13,0,0,0,8,210,/en/stats/leaderboard?page=serve,3,2,66,27,41,52,14,27,43,6,14,20,1,5,8,74,32,43,51,21,41,63,53,84,49,20,41,26,11,43,37,31,84,A,,,,,F. Saretta,S. Wawrinka,S876,W367,BRA,SUI,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS029,R32,02:20:00,,F,3,G476,"5-7,6-4,6-4",G. Garcia-Lopez,V. Hanescu,,,ESP,ROU,5-7,6-4,6-4,,,02:20:00,266,/en/stats/leaderboard?page=serve,2,1,62,61,98,75,46,61,49,18,37,40,2,5,16,248,/en/stats/leaderboard?page=serve,4,4,55,54,99,74,40,54,44,20,45,56,5,9,16,65,64,98,39,39,99,52,103,197,61,60,99,35,34,98,48,94,197,A,,,,,G. Garcia-Lopez,V. Hanescu,G476,H528,ESP,ROU,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS030,R32,01:32:00,,F,2,R336,"6-3,7-5",C. Rochus,J. Acasuso,,,BEL,ARG,6-3,7-5,,,,01:32:00,285,/en/stats/leaderboard?page=serve,1,2,74,56,76,64,36,56,65,13,20,80,8,10,11,211,/en/stats/leaderboard?page=serve,2,2,44,28,63,50,14,28,57,20,35,56,5,9,10,64,49,76,46,29,63,56,78,139,54,34,63,36,27,76,44,61,139,A,,,,,C. Rochus,J. Acasuso,R336,A389,BEL,ARG,,
439,2004,Umag,WS,2004-07-19T00:00:00,2004-07-25T00:00:00,Clay,32,375000,$,MS031,R32,01:19:00,,F,2,N254,"6-4,6-2",J. Novak,R. Ramirez Hidalgo,,,CZE,ESP,6-4,6-2,,,,01:19:00,320,/en/stats/leaderboard?page=serve,2,11,65,31,48,87,27,31,59,10,17,0,0,0,9,230,/en/stats/leaderboard?page=serve,4,1,63,43,68,56,24,43,48,12,25,57,4,7,9,77,37,48,47,32,68,59,69,116,53,36,68,23,11,48,41,47,116,A,,,,,J. Novak,R. Ramirez Hidalgo,N254,R383,CZE,ESP,,
