event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS011,R16,02:20:00,,F,3,T195,"6-4,4-6,7-6(10)",M. Tebbutt,F. Mantilla,,,AUS,ESP,6-4,4-6,7-6(10),,,02:20:00,,,248,/en/stats/leaderboard?page=serve,9,7,47,52,110,81,42,52,47,27,58,60,6,10,16,292,/en/stats/leaderboard?page=serve,,3,88,95,108,64,61,95,62,8,13,73,11,15,16,63,69,110,36,39,108,50,108,218,64,69,108,37,41,110,50,110,218,A,False,,,,10,8,M. Tebbutt,F. Mantilla,T195,M535,AUS,ESP,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS012,R16,02:05:00,,F,3,S544,"7-5,4-6,4-2",V. Spadea,N. Lapentti,,,USA,ECU,7-5,4-6,4-2,,,02:05:00,,,269,/en/stats/leaderboard?page=serve,1,3,56,54,96,69,37,54,57,24,42,75,6,8,14,269,/en/stats/leaderboard?page=serve,2,2,63,53,84,68,36,53,58,18,31,50,3,6,15,64,61,96,36,30,84,51,91,180,64,54,84,36,35,96,49,89,180,A,,,,,,,V. Spadea,N. Lapentti,S544,L290,USA,ECU,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS013,R16,02:03:00,,F,3,G182,"6-1,6-7(6),6-2",M. Gustafsson,F. Montana,,,SWE,USA,6-1,6-7(6),6-2,,,02:03:00,,,286,/en/stats/leaderboard?page=serve,5,7,64,60,94,72,43,60,56,19,34,88,7,8,13,216,/en/stats/leaderboard?page=serve,3,3,63,64,101,64,41,64,32,12,37,45,5,11,14,66,62,94,48,48,101,56,110,195,52,53,101,34,32,94,44,85,195,A,,,6,8,,,M. Gustafsson,F. Montana,G182,M399,SWE,USA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS014,R16,00:57:00,,F,2,S331,"6-2,6-3",J. Stoltenberg,G. Raoux,,,AUS,FRA,6-2,6-3,,,,00:57:00,,,297,/en/stats/leaderboard?page=serve,1,4,54,22,41,86,19,22,79,15,19,,0,,8,221,/en/stats/leaderboard?page=serve,,2,56,33,59,70,23,33,38,10,26,50,4,8,9,83,34,41,44,26,59,60,60,100,56,33,59,17,7,41,40,40,100,A,False,,,,,,J. Stoltenberg,G. Raoux,S331,R186,AUS,FRA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS015,R16,01:47:00,,F,2,S443,"6-3,7-6(7)",S. Stolle,T. Woodbridge,,,AUS,AUS,6-3,7-6(7),,,,01:47:00,,,281,/en/stats/leaderboard?page=serve,2,3,62,50,81,76,38,50,52,16,31,89,8,9,11,246,/en/stats/leaderboard?page=serve,5,3,51,45,89,62,28,45,55,24,44,80,8,10,10,67,54,81,42,37,89,54,91,170,58,52,89,33,27,81,46,79,170,A,,,7,4,,,S. Stolle,T. Woodbridge,S443,W136,AUS,AUS,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS016,R32,02:07:00,,F,3,W035,"6-0,5-7,6-3",M. Woodforde,J. Tarango,,,AUS,USA,6-0,5-7,6-3,,,02:07:00,,,269,/en/stats/leaderboard?page=serve,1,4,68,67,99,64,43,67,56,18,32,79,11,14,14,214,/en/stats/leaderboard?page=serve,4,3,60,55,91,55,30,55,47,17,36,63,10,16,13,62,61,99,48,44,91,55,105,190,52,47,91,38,38,99,45,85,190,A,,,,,,,M. Woodforde,J. Tarango,W035,T136,AUS,USA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS017,R32,01:10:00,,F,2,F164,"6-4,6-4",R. Fromberg,J. Szymanski,,,AUS,VEN,6-4,6-4,,,,01:10:00,,,273,/en/stats/leaderboard?page=serve,1,5,58,33,57,73,24,33,58,14,24,50,2,4,10,213,/en/stats/leaderboard?page=serve,2,0,64,35,55,71,25,35,20,4,20,20,1,5,10,67,38,57,47,26,55,57,64,112,53,29,55,33,19,57,43,48,112,A,,,,,,,R. Fromberg,J. Szymanski,F164,S585,AUS,VEN,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS018,R32,02:43:00,,F,3,W212,"6-7(7),6-1,7-5",C. Woodruff,J. Oncins,,,USA,BRA,6-7(7),6-1,7-5,,,02:43:00,7,9,232,/en/stats/leaderboard?page=serve,13,2,54,69,128,68,47,69,46,27,59,64,7,11,16,200,/en/stats/leaderboard?page=serve,14,1,54,60,111,73,44,60,33,17,51,59,10,17,15,58,74,128,45,50,111,52,124,239,55,61,111,42,54,128,48,115,239,A,,,,,,,C. Woodruff,J. Oncins,W212,O076,USA,BRA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS019,R32,01:16:00,,F,2,M506,"6-3,6-1",L. Morejon,F. Meligeni,,,ECU,BRA,6-3,6-1,,,,01:16:00,,,244,/en/stats/leaderboard?page=serve,1,3,55,39,71,56,22,39,56,18,32,88,14,16,8,143,/en/stats/leaderboard?page=serve,9,0,40,23,58,61,14,23,26,9,35,25,2,8,8,56,40,71,60,35,58,58,75,129,40,23,58,44,31,71,42,54,129,A,,,,,,,L. Morejon,F. Meligeni,M506,M443,ECU,BRA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS020,R32,01:06:00,,F,2,F041,"6-4,6-4",J. Frana,A. Radulescu,,,ARG,GER,6-4,6-4,,,,01:06:00,,,287,/en/stats/leaderboard?page=serve,1,6,62,40,65,78,31,40,52,13,25,67,2,3,10,242,/en/stats/leaderboard?page=serve,2,5,42,23,55,74,17,23,53,17,32,25,1,4,10,68,44,65,38,21,55,54,65,120,62,34,55,32,21,65,46,55,120,A,,,,,,,J. Frana,A. Radulescu,F041,R284,ARG,GER,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS021,R32,01:16:00,,F,2,R255,"6-2,7-5",P. Rafter,L. Jensen,,,AUS,USA,6-2,7-5,,,,01:16:00,,,281,/en/stats/leaderboard?page=serve,2,6,55,34,62,71,24,34,61,17,28,75,3,4,10,238,/en/stats/leaderboard?page=serve,,1,58,30,52,60,18,30,59,13,22,50,4,8,10,66,41,62,40,21,52,54,62,114,60,31,52,34,21,62,46,52,114,A,False,,,,,,P. Rafter,L. Jensen,R255,J009,AUS,USA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS022,R32,01:51:00,,F,3,T195,"7-5(7),4-6,6-3",M. Tebbutt,S. Draper,,,AUS,AUS,7-5(7),4-6,6-3,,,01:51:00,7,3,280,/en/stats/leaderboard?page=serve,4,11,53,51,96,82,42,51,51,23,45,67,4,6,16,291,/en/stats/leaderboard?page=serve,4,6,59,47,80,74,35,47,70,23,33,50,2,4,15,68,65,96,28,22,80,49,87,176,73,58,80,32,31,96,51,89,176,A,,,,,,,M. Tebbutt,S. Draper,T195,D270,AUS,AUS,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS023,R32,01:17:00,,F,2,M535,"6-1,6-3",F. Mantilla,M. Hadad,,,ESP,COL,6-1,6-3,,,,01:17:00,,,305,/en/stats/leaderboard?page=serve,,0,81,34,42,74,25,34,63,5,8,0,0,1,8,179,/en/stats/leaderboard?page=serve,2,0,46,36,79,58,21,36,40,17,43,67,10,15,8,71,30,42,52,41,79,59,71,121,48,38,79,29,12,42,41,50,121,A,,False,,,,,F. Mantilla,M. Hadad,M535,H256,ESP,COL,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS024,R32,01:02:00,,F,2,S544,"6-3,6-2",V. Spadea,K. Alami,,,USA,MAR,6-3,6-2,,,,01:02:00,,,291,/en/stats/leaderboard?page=serve,,2,69,37,54,73,27,37,59,10,17,80,4,5,9,191,/en/stats/leaderboard?page=serve,4,1,51,25,49,64,16,25,29,7,24,33,2,6,8,69,37,54,53,26,49,61,63,103,47,23,49,31,17,54,39,40,103,A,,False,,,,,V. Spadea,K. Alami,S544,A203,USA,MAR,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS025,R32,03:12:00,,F,3,L290,"5-7,7-6(11),7-6(10)",N. Lapentti,W. McGuire,,,ECU,USA,5-7,7-6(11),7-6(10),,,03:12:00,,,264,/en/stats/leaderboard?page=serve,5,12,59,85,144,72,61,85,49,29,59,71,10,14,18,269,/en/stats/leaderboard?page=serve,9,11,60,84,140,76,64,84,48,27,56,75,9,12,18,63,90,144,35,49,140,49,139,284,65,91,140,38,54,144,51,145,284,A,,,11,9,10,8,N. Lapentti,W. McGuire,L290,M564,ECU,USA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS026,R32,02:19:00,,F,3,M399,"3-6,6-4,6-3",F. Montana,M. Wilander,,,USA,SWE,3-6,6-4,6-3,,,02:19:00,,,218,/en/stats/leaderboard?page=serve,5,0,68,64,94,58,37,64,40,12,30,54,7,13,14,217,/en/stats/leaderboard?page=serve,2,2,66,69,104,58,40,69,43,15,35,63,12,19,14,52,49,94,47,49,104,49,98,198,53,55,104,48,45,94,51,100,198,A,,,,,,,F. Montana,M. Wilander,M399,W023,USA,SWE,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS027,R32,01:11:00,,F,2,G182,"6-4,6-2",M. Gustafsson,K. Goossens,,,SWE,BEL,6-4,6-2,,,,01:11:00,,,273,/en/stats/leaderboard?page=serve,1,4,71,34,48,65,22,34,57,8,14,0,0,2,9,194,/en/stats/leaderboard?page=serve,2,4,63,40,63,63,25,40,22,5,23,50,5,10,9,63,30,48,52,33,63,57,63,111,48,30,63,38,18,48,43,48,111,A,,,,,,,M. Gustafsson,K. Goossens,G182,G285,SWE,BEL,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS028,R32,01:25:00,,F,2,S331,"7-6(7),6-0",J. Stoltenberg,J. Van Herck,,,AUS,BEL,7-6(7),6-0,,,,01:25:00,7,5,291,/en/stats/leaderboard?page=serve,1,11,63,34,54,85,29,34,45,9,20,0,0,1,9,198,/en/stats/leaderboard?page=serve,3,1,45,31,69,58,18,31,42,16,38,56,5,9,9,70,38,54,51,35,69,59,73,123,49,34,69,30,16,54,41,50,123,A,,,,,,,J. Stoltenberg,J. Van Herck,S331,V167,AUS,BEL,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS029,R32,01:16:00,,F,2,R186,"6-2,6-4",G. Raoux,P. Baur,,,FRA,GER,6-2,6-4,,,,01:16:00,,,277,/en/stats/leaderboard?page=serve,1,1,49,24,49,75,18,24,76,19,25,,0,,9,219,/en/stats/leaderboard?page=serve,7,0,51,37,73,59,22,37,50,18,36,70,7,10,9,76,37,49,45,33,73,57,70,122,55,40,73,24,12,49,43,52,122,A,,,,,,,G. Raoux,P. Baur,R186,B293,FRA,GER,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS030,R32,01:36:00,,F,2,S443,"6-4,6-4",S. Stolle,D. Johnson,,,AUS,USA,6-4,6-4,,,,01:36:00,,,226,/en/stats/leaderboard?page=serve,2,4,64,48,75,71,34,48,59,16,27,,0,,10,268,/en/stats/leaderboard?page=serve,2,2,67,49,73,63,31,49,58,14,24,67,4,6,10,67,50,75,38,28,73,53,78,148,62,45,73,33,25,75,47,70,148,A,,,,,,,S. Stolle,D. Johnson,S443,J098,AUS,USA,,
499,1996,Coral Springs,GP,1996-05-13T00:00:00,1996-05-19T00:00:00,Clay,32,245000,$,MS031,R32,01:11:00,,F,2,W136,"6-3,6-3",T. Woodbridge,I. Baron,,,AUS,USA,6-3,6-3,,,,01:11:00,,,256,/en/stats/leaderboard?page=serve,4,4,60,35,58,71,25,35,48,11,23,50,2,4,9,190,/en/stats/leaderboard?page=serve,4,2,62,28,45,57,16,28,29,5,17,17,1,6,9,62,36,58,53,24,45,58,60,103,47,21,45,38,22,58,42,43,103,A,,,,,,,T. Woodbridge,I. Baron,W136,B434,AUS,USA,,
