event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,secondservepointswon_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS054,R64,01:01:00,,F,2,H355,"6-2,6-4",T. Haas,M. Tebbutt,,,GER,AUS,6-2,6-4,,,,01:01:00,267,/en/stats/leaderboard?page=serve,3,2,64,37,58,78,29,37,38,8,21,50,1,2,9,202,/en/stats/leaderboard?page=serve,10,5,55,30,55,73,22,30,24,6,25,50,4,8,9,64,37,58,49,27,55,57,64,113,51,28,55,36,21,58,43,49,113,A,,,,,,,,,,T. Haas,M. Tebbutt,H355,T195,GER,AUS,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS055,R64,00:59:00,,F,2,R286,"6-3,6-4",M. Rios,H. Dreekmann,,,CHI,GER,6-3,6-4,,,,00:59:00,301,/en/stats/leaderboard?page=serve,1,5,63,31,49,77,24,31,67,12,18,0,0,1,10,227,/en/stats/leaderboard?page=serve,6,3,41,23,56,78,18,23,45,15,33,73,8,11,9,73,36,49,41,23,56,56,59,105,59,33,56,27,13,49,44,46,105,A,,,,,,,,,,M. Rios,H. Dreekmann,R286,D249,CHI,GER,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS056,R64,01:12:00,,F,2,B446,"6-3,6-4",J. Bjorkman,L. Paes,,,SWE,IND,6-3,6-4,,,,01:12:00,226,/en/stats/leaderboard?page=serve,3,0,38,20,53,70,14,20,55,18,33,25,1,4,9,181,/en/stats/leaderboard?page=serve,5,1,54,38,71,55,21,38,36,12,33,60,9,15,10,60,32,53,54,38,71,56,70,124,46,33,71,40,21,53,44,54,124,A,,,,,,,,,,J. Bjorkman,L. Paes,B446,P269,SWE,IND,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS057,R64,01:18:00,,F,2,K316,"6-1,6-3",N. Kiefer,M. Washington,,,GER,USA,6-1,6-3,,,,01:18:00,197,/en/stats/leaderboard?page=serve,4,5,51,29,57,79,23,29,54,15,28,,0,,8,205,/en/stats/leaderboard?page=serve,3,2,55,32,58,66,21,32,35,9,26,50,4,8,8,67,38,57,48,28,58,57,66,115,52,30,58,33,19,57,43,49,115,A,,,,,,,,,,N. Kiefer,M. Washington,K316,W124,GER,USA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS058,R64,01:09:00,,F,2,M475,"7-5,6-2",A. Medvedev,B. MacPhie,,,UKR,USA,7-5,6-2,,,,01:09:00,294,/en/stats/leaderboard?page=serve,3,5,49,25,51,88,22,25,65,17,26,0,0,1,10,225,/en/stats/leaderboard?page=serve,5,6,48,30,63,77,23,30,39,13,33,43,3,7,10,76,39,51,43,27,63,58,66,114,57,36,63,24,12,51,42,48,114,A,,,,,,,,,,A. Medvedev,B. MacPhie,M475,M448,UKR,USA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS059,R64,01:49:00,,F,3,K293,"3-6,6-2,7-6(7)",G. Kuerten,F. Roig,,,BRA,ESP,3-6,6-2,7-6(7),,,01:49:00,263,/en/stats/leaderboard?page=serve,4,7,52,52,100,75,39,52,48,23,48,71,5,7,14,264,/en/stats/leaderboard?page=serve,4,3,53,50,95,76,38,50,56,25,45,75,9,12,15,62,62,100,34,32,95,48,94,195,66,63,95,38,38,100,52,101,195,A,,,,,,7,3,,,G. Kuerten,F. Roig,K293,R177,BRA,ESP,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS060,R64,01:19:00,,F,2,M605,"7-6(7),6-3",C. Moya,M. Woodforde,,,ESP,AUS,7-6(7),6-3,,,,01:19:00,286,/en/stats/leaderboard?page=serve,2,4,45,30,67,87,26,30,62,23,37,,0,,11,273,/en/stats/leaderboard?page=serve,4,1,56,38,68,63,24,38,67,20,30,75,3,4,10,73,49,67,35,24,68,54,73,135,65,44,68,27,18,67,46,62,135,A,,7,2,,,,,,,C. Moya,M. Woodforde,M605,W035,ESP,AUS,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS061,R64,01:05:00,,F,2,H336,"6-4,6-2",T. Henman,G. Stafford,,,GBR,RSA,6-4,6-2,,,,01:05:00,257,/en/stats/leaderboard?page=serve,1,1,58,31,53,58,18,31,64,14,22,67,4,6,9,193,/en/stats/leaderboard?page=serve,4,1,60,33,55,42,14,33,50,11,22,50,5,10,9,60,32,53,55,30,55,57,62,108,45,25,55,40,21,53,43,46,108,A,,,,,,,,,,T. Henman,G. Stafford,H336,S406,GBR,RSA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS062,R64,01:44:00,,F,3,C252,"3-6,6-3,6-4",F. Clavet,J. Stark,,,ESP,USA,3-6,6-3,6-4,,,01:44:00,304,/en/stats/leaderboard?page=serve,1,1,70,57,81,75,43,57,67,16,24,75,3,4,14,280,/en/stats/leaderboard?page=serve,5,14,67,54,81,78,42,54,41,11,27,33,1,3,14,73,59,81,35,28,81,54,87,162,65,53,81,27,22,81,46,75,162,A,,,,,,,,,,F. Clavet,J. Stark,C252,S403,ESP,USA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS063,R64,01:10:00,,F,2,K148,"6-2,7-6(7)",P. Korda,R. Delgado,,,CZE,PAR,6-2,7-6(7),,,,01:10:00,279,/en/stats/leaderboard?page=serve,3,5,62,39,63,79,31,39,46,11,24,67,2,3,10,247,/en/stats/leaderboard?page=serve,4,6,63,40,64,70,28,40,42,10,24,57,4,7,10,67,42,63,41,26,64,54,68,127,59,38,64,33,21,63,46,59,127,A,,,,7,5,,,,,P. Korda,R. Delgado,K148,D316,CZE,PAR,,
