event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS011,R16,01:15:00,,F,2,E113,"6-2,7-6(7)",T. Enqvist,C. Moya,,,SWE,ESP,6-2,7-6(7),,,,01:15:00,288,/en/stats/leaderboard?page=serve,3,3,47,27,58,74,20,27,77,24,31,0,0,1,10,245,/en/stats/leaderboard?page=serve,1,8,51,34,67,65,22,34,52,17,33,25,1,4,10,76,44,58,42,28,67,58,72,125,58,39,67,24,14,58,42,53,125,A,7,4,,,,,,,T. Enqvist,C. Moya,E113,M605,SWE,ESP,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS012,R16,02:15:00,,F,3,H223,"6-4,3-6,7-6(7)",P. Haarhuis,T. Martin,,,NED,USA,6-4,3-6,7-6(7),,,02:15:00,263,/en/stats/leaderboard?page=serve,2,9,62,71,115,66,47,71,48,21,44,77,10,13,15,271,/en/stats/leaderboard?page=serve,5,13,58,59,101,76,45,59,48,20,42,57,4,7,16,59,68,115,36,36,101,48,104,216,64,65,101,41,47,115,52,112,216,A,,,,,,7,4,,P. Haarhuis,T. Martin,H223,M442,NED,USA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS013,R16,01:10:00,,F,2,K267,"6-4,6-3",Y. Kafelnikov,M. Washington,,,RUS,USA,6-4,6-3,,,,01:10:00,235,/en/stats/leaderboard?page=serve,3,8,52,34,66,79,27,34,59,19,32,,0,,10,255,/en/stats/leaderboard?page=serve,4,7,58,32,55,69,22,32,48,11,23,50,2,4,9,70,46,66,40,22,55,56,68,121,60,33,55,30,20,66,44,53,121,A,,,,,,,,,Y. Kafelnikov,M. Washington,K267,W124,RUS,USA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS014,R16,01:01:00,,F,2,K148,"6-1,6-4",P. Korda,A. Berasategui,,,CZE,ESP,6-1,6-4,,,,01:01:00,268,/en/stats/leaderboard?page=serve,1,11,45,25,55,80,20,25,67,20,30,,0,,9,229,/en/stats/leaderboard?page=serve,2,3,63,39,62,64,25,39,39,9,23,63,5,8,8,73,40,55,45,28,62,58,68,117,55,34,62,27,15,55,42,49,117,A,,,,,,,,,P. Korda,A. Berasategui,K148,B428,CZE,ESP,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS015,R16,01:15:00,,F,2,B053,"6-1,6-3",A. Boetsch,M. Chang,,,FRA,USA,6-1,6-3,,,,01:15:00,289,/en/stats/leaderboard?page=serve,,4,65,30,46,77,23,30,56,9,16,50,1,2,8,184,/en/stats/leaderboard?page=serve,1,4,55,28,51,50,14,28,39,9,23,29,2,7,8,70,32,46,55,28,51,62,60,97,45,23,51,30,14,46,38,37,97,A,,,,,,,,False,A. Boetsch,M. Chang,B053,C274,FRA,USA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS016,R32,01:16:00,,F,2,R214,"6-4,6-4",M. Rosset,P. Sampras,,,SUI,USA,6-4,6-4,,,,01:16:00,231,/en/stats/leaderboard?page=serve,5,20,67,43,64,91,39,43,38,8,21,,0,,10,268,/en/stats/leaderboard?page=serve,2,9,64,42,66,71,30,42,46,11,24,60,3,5,10,73,47,64,38,25,66,55,72,130,62,41,66,27,17,64,45,58,130,A,,,,,,,,,M. Rosset,P. Sampras,R214,S402,SUI,USA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS017,R32,01:33:00,,F,3,M535,"6-1,5-7,6-2",F. Mantilla,B. Black,,,ESP,ZIM,6-1,5-7,6-2,,,01:33:00,281,/en/stats/leaderboard?page=serve,4,10,56,48,85,81,39,48,46,17,37,67,2,3,14,242,/en/stats/leaderboard?page=serve,2,3,60,49,81,71,35,49,41,13,32,43,3,7,13,66,56,85,41,33,81,54,89,166,59,48,81,34,29,85,46,77,166,A,,,,,,,,,F. Mantilla,B. Black,M535,B397,ESP,ZIM,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS018,R32,01:51:00,,F,3,G182,"6-4,3-6,6-3",M. Gustafsson,A. Agassi,,,SWE,USA,6-4,3-6,6-3,,,01:51:00,245,/en/stats/leaderboard?page=serve,5,6,56,54,97,57,31,54,60,26,43,56,5,9,14,227,/en/stats/leaderboard?page=serve,5,5,56,54,96,59,32,54,48,20,42,58,7,12,14,59,57,97,46,44,96,52,101,193,54,52,96,41,40,97,48,92,193,A,,,,,,,,,M. Gustafsson,A. Agassi,G182,A092,SWE,USA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS019,R32,01:25:00,,F,2,F196,"7-6(7),6-4",W. Ferreira,D. Vacek,,,RSA,CZE,7-6(7),6-4,,,,01:25:00,272,/en/stats/leaderboard?page=serve,1,8,52,37,71,70,26,37,62,21,34,33,1,3,11,242,/en/stats/leaderboard?page=serve,7,8,53,42,79,67,28,42,49,18,37,25,1,4,11,66,47,71,42,33,79,53,80,150,58,46,79,34,24,71,47,70,150,A,,,7,4,,,,,W. Ferreira,D. Vacek,F196,V141,RSA,CZE,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS020,R32,00:25:00,,F,1,E004,6-2,S. Edberg,T. Muster,,,SWE,AUT,6-2,,,,,00:25:00,232,/en/stats/leaderboard?page=serve,1,2,56,10,18,100,10,10,75,6,8,0,0,,4,205,/en/stats/leaderboard?page=serve,3,0,54,15,28,40,6,15,54,7,13,67,4,6,5,89,16,18,54,15,28,67,31,46,46,13,28,,0,,,0,,A,,,,,,,,,S. Edberg,T. Muster,E004,M099,SWE,AUT,,
