event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS011,R16,01:08:00,,F,2,G252,"7-6(9),6-2",M. Goellner,S. Edberg,,,GER,SWE,7-6(9),6-2,,,,01:08:00,202,/en/stats/leaderboard?page=serve,4,9,46,28,61,93,26,28,58,19,33,0,0,,10,266,/en/stats/leaderboard?page=serve,,5,57,34,60,82,28,34,42,11,26,33,1,3,10,74,45,61,35,21,60,55,66,121,65,39,60,26,16,61,45,55,121,A,9,7,False,,,M. Goellner,S. Edberg,G252,E004,GER,SWE,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS012,R16,01:17:00,,F,3,D015,"1-6,6-1,6-2",O. Delaitre,R. Furlan,,,FRA,ITA,1-6,6-1,6-2,,,01:17:00,253,/en/stats/leaderboard?page=serve,3,5,64,39,61,74,29,39,41,9,22,25,1,4,11,217,/en/stats/leaderboard?page=serve,2,5,61,38,62,61,23,38,38,9,24,38,3,8,11,62,38,61,48,30,62,55,68,123,52,32,62,38,23,61,45,55,123,A,,,,,,O. Delaitre,R. Furlan,D015,F192,FRA,ITA,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS013,R16,01:28:00,,F,2,N254,"6-3,7-6(7)",J. Novak,B. Becker,,,CZE,GER,6-3,7-6(7),,,,01:28:00,300,/en/stats/leaderboard?page=serve,2,4,71,50,70,72,36,50,65,13,20,50,1,2,10,256,/en/stats/leaderboard?page=serve,5,16,59,44,74,77,34,44,37,11,30,40,2,5,11,70,49,70,39,29,74,54,78,144,61,45,74,30,21,70,46,66,144,A,,,,7,4,J. Novak,B. Becker,N254,B028,CZE,GER,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS014,R16,01:21:00,,F,2,D249,"7-6(7),6-3",H. Dreekmann,M. Larsson,,,GER,SWE,7-6(7),6-3,,,,01:21:00,242,/en/stats/leaderboard?page=serve,5,5,29,22,77,77,17,22,55,30,55,78,7,9,11,242,/en/stats/leaderboard?page=serve,3,8,58,38,66,63,24,38,46,13,28,25,1,4,10,61,47,77,44,29,66,53,76,143,56,37,66,39,30,77,47,67,143,A,7,5,,,,H. Dreekmann,M. Larsson,D249,L206,GER,SWE,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS015,R16,01:00:00,,F,2,K148,"6-4,6-2",P. Korda,D. Prinosil,,,CZE,GER,6-4,6-2,,,,01:00:00,284,/en/stats/leaderboard?page=serve,2,1,68,32,47,84,27,32,67,10,15,,0,,9,222,/en/stats/leaderboard?page=serve,3,4,41,24,58,79,19,24,35,12,34,57,4,7,9,79,37,47,47,27,58,61,64,105,53,31,58,21,10,47,39,41,105,A,,,,,,P. Korda,D. Prinosil,K148,P273,CZE,GER,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS016,R32,02:03:00,,F,3,S402,"5-7,6-3,7-5",P. Sampras,A. Radulescu,,,USA,GER,5-7,6-3,7-5,,,02:03:00,287,/en/stats/leaderboard?page=serve,5,15,59,64,109,77,49,64,53,24,45,82,9,11,17,283,/en/stats/leaderboard?page=serve,3,17,53,47,88,79,37,47,56,23,41,0,0,3,16,67,73,109,32,28,88,51,101,197,68,60,88,33,36,109,49,96,197,A,,,,,,P. Sampras,A. Radulescu,S402,R284,USA,GER,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS017,R32,01:23:00,,F,2,H355,"7-6(7),6-3",T. Haas,J. Hlasek,,,GER,SUI,7-6(7),6-3,,,,01:23:00,230,/en/stats/leaderboard?page=serve,5,5,53,45,85,82,37,45,50,20,40,,0,,11,308,/en/stats/leaderboard?page=serve,2,5,55,28,51,82,23,28,78,18,23,0,0,1,10,67,57,85,20,10,51,49,67,136,80,41,51,33,28,85,51,69,136,A,7,4,,,,T. Haas,J. Hlasek,H355,H025,GER,SUI,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS018,R32,01:28:00,,F,2,T166,"7-6(7),7-5",M. Tillstrom,F. Dewulf,,,SWE,BEL,7-6(7),7-5,,,,01:28:00,251,/en/stats/leaderboard?page=serve,2,8,63,44,70,70,31,44,46,12,26,33,2,6,12,215,/en/stats/leaderboard?page=serve,4,6,53,48,91,60,29,48,42,18,43,71,12,17,12,61,43,70,48,44,91,54,87,161,52,47,91,39,27,70,46,74,161,A,7,2,,,,M. Tillstrom,F. Dewulf,T166,D228,SWE,BEL,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS019,R32,01:54:00,,F,3,B446,"6-1,4-6,7-5",J. Bjorkman,M. Philippoussis,,,SWE,AUS,6-1,4-6,7-5,,,01:54:00,258,/en/stats/leaderboard?page=serve,2,4,62,56,90,61,34,56,62,21,34,73,11,15,14,218,/en/stats/leaderboard?page=serve,7,13,51,51,100,71,36,51,37,18,49,61,11,18,15,61,55,90,46,46,100,53,101,190,54,54,100,39,35,90,47,89,190,A,,,,,,J. Bjorkman,M. Philippoussis,B446,P338,SWE,AUS,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS020,R32,01:36:00,,F,3,K267,"6-3,6-7(6),6-3",Y. Kafelnikov,M. Rosset,,,RUS,SUI,6-3,6-7(6),6-3,,,01:36:00,301,/en/stats/leaderboard?page=serve,6,11,57,52,92,88,46,52,58,23,40,0,0,1,16,277,/en/stats/leaderboard?page=serve,6,16,60,48,80,85,41,48,44,14,32,40,2,5,14,75,69,92,31,25,80,55,94,172,69,55,80,25,23,92,45,78,172,A,,,,6,8,Y. Kafelnikov,M. Rosset,K267,R214,RUS,SUI,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS021,R32,02:02:00,,F,3,R280,"6-3,4-6,7-5",L. Roux,C. Woodruff,,,FRA,USA,6-3,4-6,7-5,,,02:02:00,274,/en/stats/leaderboard?page=serve,3,3,58,54,93,78,42,54,51,20,39,71,5,7,16,269,/en/stats/leaderboard?page=serve,2,3,65,62,95,65,40,62,58,19,33,63,5,8,15,67,62,93,38,36,95,52,98,188,62,59,95,33,31,93,48,90,188,A,,,,,,L. Roux,C. Woodruff,R280,W212,FRA,USA,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS022,R32,01:59:00,,F,3,G252,"6-7(4),6-4,6-4",M. Goellner,G. Forget,,,GER,FRA,6-7(4),6-4,6-4,,,01:59:00,223,/en/stats/leaderboard?page=serve,5,17,66,65,99,74,48,65,71,24,34,0,0,,16,299,/en/stats/leaderboard?page=serve,2,22,69,71,103,76,54,71,47,15,32,71,5,7,16,73,72,99,33,34,103,52,106,202,67,69,103,27,27,99,48,96,202,A,4,7,,,,M. Goellner,G. Forget,G252,F035,GER,FRA,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS023,R32,01:52:00,,F,3,E004,"6-3,5-7,6-3",S. Edberg,J. Siemerink,,,SWE,NED,6-3,5-7,6-3,,,01:52:00,285,/en/stats/leaderboard?page=serve,4,2,58,53,91,81,43,53,55,21,38,50,1,2,15,256,/en/stats/leaderboard?page=serve,5,3,56,54,96,65,35,54,57,24,42,73,8,11,15,70,64,91,39,37,96,54,101,187,61,59,96,30,27,91,46,86,187,A,,,,,,S. Edberg,J. Siemerink,E004,S381,SWE,NED,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS024,R32,01:22:00,,F,2,D015,"6-1,7-6(7)",O. Delaitre,T. Enqvist,,,FRA,SWE,6-1,7-6(7),,,,01:22:00,272,/en/stats/leaderboard?page=serve,4,7,43,26,60,88,23,26,50,17,34,0,0,1,9,218,/en/stats/leaderboard?page=serve,4,4,53,41,77,63,26,41,42,15,36,60,6,10,10,67,40,60,47,36,77,55,76,137,53,41,77,33,20,60,45,61,137,A,,,,7,2,O. Delaitre,T. Enqvist,D015,E113,FRA,SWE,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS025,R32,01:55:00,,F,3,F192,"6-7(4),6-3,6-2",R. Furlan,D. Vacek,,,ITA,CZE,6-7(4),6-3,6-2,,,01:55:00,294,/en/stats/leaderboard?page=serve,1,6,57,55,96,78,43,55,61,25,41,86,6,7,15,252,/en/stats/leaderboard?page=serve,6,6,50,42,84,83,35,42,48,20,42,33,2,6,14,71,68,96,35,29,84,54,97,180,65,55,84,29,28,96,46,83,180,A,4,7,,,,R. Furlan,D. Vacek,F192,V141,ITA,CZE,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS026,R32,01:34:00,,F,3,N254,"6-4,2-6,6-2",J. Novak,F. Veglio,,,CZE,SUI,6-4,2-6,6-2,,,01:34:00,239,/en/stats/leaderboard?page=serve,4,2,63,55,88,64,35,55,45,15,33,69,9,13,13,220,/en/stats/leaderboard?page=serve,5,0,75,62,83,65,40,62,24,5,21,29,2,7,13,57,50,88,46,38,83,51,88,171,54,45,83,43,38,88,49,83,171,A,,,,,,J. Novak,F. Veglio,N254,V176,CZE,SUI,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS027,R32,01:42:00,,F,3,B028,"6-1,5-7,6-3",B. Becker,B. Ulihrach,,,GER,CZE,6-1,5-7,6-3,,,01:42:00,265,/en/stats/leaderboard?page=serve,14,16,53,47,89,89,42,47,36,15,42,71,5,7,14,220,/en/stats/leaderboard?page=serve,8,2,54,43,80,70,30,43,38,14,37,29,2,7,14,64,57,89,45,36,80,55,93,169,55,44,80,36,32,89,45,76,169,A,,,,,,B. Becker,B. Ulihrach,B028,U032,GER,CZE,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS028,R32,01:53:00,,F,3,D249,"6-7(4),6-4,6-1",H. Dreekmann,M. Stich,,,GER,GER,6-7(4),6-4,6-1,,,01:53:00,258,/en/stats/leaderboard?page=serve,5,6,44,44,101,66,29,44,61,35,57,33,1,3,15,229,/en/stats/leaderboard?page=serve,8,9,47,42,90,71,30,42,46,22,48,50,5,10,14,63,64,101,42,38,90,53,102,191,58,52,90,37,37,101,47,89,191,A,4,7,,,,H. Dreekmann,M. Stich,D249,S351,GER,GER,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS029,R32,01:40:00,,F,3,L206,"6-3,3-6,6-4",M. Larsson,Y. El Aynaoui,,,SWE,MAR,6-3,3-6,6-4,,,01:40:00,278,/en/stats/leaderboard?page=serve,4,6,63,55,87,78,43,55,50,16,32,75,6,8,14,269,/en/stats/leaderboard?page=serve,4,6,63,50,80,76,38,50,50,15,30,57,4,7,14,68,59,87,34,27,80,51,86,167,66,53,80,32,28,87,49,81,167,A,,,,,,M. Larsson,Y. El Aynaoui,L206,E121,SWE,MAR,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS030,R32,01:26:00,,F,2,K148,"7-5,6-4",P. Korda,R. Reneberg,,,CZE,USA,7-5,6-4,,,,01:26:00,245,/en/stats/leaderboard?page=serve,5,4,45,29,65,76,22,29,53,19,36,50,3,6,11,211,/en/stats/leaderboard?page=serve,2,3,51,37,72,68,25,37,37,13,35,62,8,13,11,63,41,65,47,34,72,55,75,137,53,38,72,37,24,65,45,62,137,A,,,,,,P. Korda,R. Reneberg,K148,R016,CZE,USA,,
328,1996,Basel,GP,1996-09-23T00:00:00,1996-09-29T00:00:00,Hard,32,975000,$,MS031,R32,01:17:00,,F,2,P273,"7-6(7),6-4",D. Prinosil,G. Ivanisevic,,,GER,CRO,7-6(7),6-4,,,,01:17:00,294,/en/stats/leaderboard?page=serve,5,12,45,28,62,93,26,28,68,23,34,,0,,11,279,/en/stats/leaderboard?page=serve,9,16,53,40,76,85,34,40,44,16,36,75,3,4,11,79,49,62,34,26,76,54,75,138,66,50,76,21,13,62,46,63,138,A,7,3,,,,D. Prinosil,G. Ivanisevic,P273,I034,GER,CRO,,
