event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS001,F,01:51:00,,F,2,G252,"7-6(7),7-6(7)",M. Goellner,A. Corretja,,,GER,ESP,7-6(7),7-6(7),,,,01:51:00,7,4,7,2,276,/en/stats/leaderboard?page=serve,4,8,48,39,82,85,33,39,56,24,43,60,3,5,12,268,/en/stats/leaderboard?page=serve,3,1,80,67,84,72,48,67,35,6,17,75,6,8,12,70,57,82,36,30,84,52,87,166,64,54,84,30,25,82,48,79,166,A,,,,,M. Goellner,A. Corretja,G252,C344,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS003,SF,01:37:00,,F,3,G252,"7-5,3-6,6-3",M. Goellner,F. Mantilla,,,GER,ESP,7-5,3-6,6-3,,,01:37:00,,,,,270,/en/stats/leaderboard?page=serve,1,9,53,43,81,84,36,43,45,17,38,25,1,4,15,279,/en/stats/leaderboard?page=serve,2,4,81,74,91,64,47,74,59,10,17,43,3,7,15,65,53,81,37,34,91,51,87,172,63,57,91,35,28,81,49,85,172,A,,,,,M. Goellner,F. Mantilla,G252,M535,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS004,QF,01:52:00,,F,3,K190,"6-3,2-6,6-4",B. Karbacher,M. Gorriz,,,GER,ESP,6-3,2-6,6-4,,,01:52:00,,,,,260,/en/stats/leaderboard?page=serve,,2,53,41,78,76,31,41,51,19,37,57,4,7,14,256,/en/stats/leaderboard?page=serve,,1,65,55,85,71,39,55,43,13,30,73,8,11,13,64,50,78,39,33,85,51,83,163,61,52,85,36,28,78,49,80,163,A,False,False,,,B. Karbacher,M. Gorriz,K190,G028,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS005,QF,01:29:00,,F,2,C344,"7-5,6-1",A. Corretja,M. Filippini,,,ESP,URU,7-5,6-1,,,,01:29:00,,,,,261,/en/stats/leaderboard?page=serve,2,1,57,36,63,69,25,36,56,15,27,50,2,4,10,199,/en/stats/leaderboard?page=serve,,0,71,45,63,62,28,45,22,4,18,38,3,8,9,63,40,63,49,31,63,56,71,126,51,32,63,37,23,63,44,55,126,A,,False,,,A. Corretja,M. Filippini,C344,F165,ESP,URU,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS006,QF,01:02:00,,F,2,G252,"7-5,6-1",M. Goellner,F. Vicente,,,GER,ESP,7-5,6-1,,,,01:02:00,,,,,257,/en/stats/leaderboard?page=serve,4,7,43,27,63,85,23,27,56,20,36,,0,,10,230,/en/stats/leaderboard?page=serve,2,0,65,36,55,64,23,36,37,7,19,25,1,4,9,68,43,63,45,25,55,58,68,118,55,30,55,32,20,63,42,50,118,A,,,,,M. Goellner,F. Vicente,G252,V195,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS007,QF,02:14:00,,F,3,M535,"0-7,7-6(7),6-3",F. Mantilla,C. Ruud,,,ESP,NOR,0-7,7-6(7),6-3,,,02:14:00,,,7,2,203,/en/stats/leaderboard?page=serve,1,4,65,60,93,52,31,60,45,15,33,43,6,14,13,200,/en/stats/leaderboard?page=serve,5,2,61,57,94,54,31,57,38,14,37,0,0,7,14,49,46,93,52,49,94,51,95,187,48,45,94,51,47,93,49,92,187,A,,,,,F. Mantilla,C. Ruud,M535,R219,ESP,NOR,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS008,R16,01:54:00,,F,3,K190,"4-6,7-5,6-3",B. Karbacher,G. Blanco,,,GER,ESP,4-6,7-5,6-3,,,01:54:00,,,,,312,/en/stats/leaderboard?page=serve,2,10,63,57,91,74,42,57,74,25,34,75,3,4,16,273,/en/stats/leaderboard?page=serve,2,3,64,63,98,73,46,63,49,17,35,60,3,5,15,74,67,91,36,35,98,54,102,189,64,63,98,26,24,91,46,87,189,A,,,,,B. Karbacher,G. Blanco,K190,B518,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS009,R16,01:27:00,,F,2,G028,"7-5,6-4",M. Gorriz,C. Costa,,,ESP,ESP,7-5,6-4,,,,01:27:00,,,,,237,/en/stats/leaderboard?page=serve,,1,60,31,52,84,26,31,29,6,21,0,0,4,11,182,/en/stats/leaderboard?page=serve,3,1,43,32,74,56,18,32,40,17,42,40,4,10,11,62,32,52,53,39,74,56,71,126,47,35,74,38,20,52,44,55,126,A,False,,,,M. Gorriz,C. Costa,G028,C179,ESP,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS010,R16,01:13:00,,F,2,C344,"6-3,6-2",A. Corretja,J. Van Herck,,,ESP,BEL,6-3,6-2,,,,01:13:00,,,,,284,/en/stats/leaderboard?page=serve,,0,67,37,55,73,27,37,56,10,18,67,2,3,9,206,/en/stats/leaderboard?page=serve,2,1,56,25,45,56,14,25,45,9,20,0,0,4,8,67,37,55,49,22,45,59,59,100,51,23,45,33,18,55,41,41,100,A,False,,,,A. Corretja,J. Van Herck,C344,V167,ESP,BEL,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS011,R16,02:09:00,,F,3,F165,"5-7,6-3,7-6(7)",M. Filippini,F. Squillari,,,URU,ARG,5-7,6-3,7-6(7),,,02:09:00,,,,,255,/en/stats/leaderboard?page=serve,1,1,68,67,98,64,43,67,55,17,31,38,3,8,16,227,/en/stats/leaderboard?page=serve,7,2,53,52,98,63,33,52,52,24,46,25,2,8,17,61,60,98,42,41,98,52,101,196,58,57,98,39,38,98,48,95,196,A,,,7,3,M. Filippini,F. Squillari,F165,S568,URU,ARG,,
