event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS001,F,01:12:00,,F,2,K316,"6-4,6-2",N. Kiefer,G. Bastl,,,GER,SUI,6-4,6-2,,,,01:12:00,273,/en/stats/leaderboard?page=serve,4,7,59,27,46,81,22,27,53,10,19,50,2,4,9,198,/en/stats/leaderboard?page=serve,1,3,59,33,56,58,19,33,35,8,23,55,6,11,9,70,32,46,52,29,56,60,61,102,48,27,56,30,14,46,40,41,102,A,,,,,N. Kiefer,G. Bastl,K316,B503,GER,SUI,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS002,SF,01:39:00,,F,2,K316,"7-6(7),6-2",N. Kiefer,D. Vacek,,,GER,CZE,7-6(7),6-2,,,,01:39:00,296,/en/stats/leaderboard?page=serve,0,6,60,37,62,68,25,37,72,18,25,0,0,1,10,245,/en/stats/leaderboard?page=serve,2,7,60,48,80,60,29,48,50,16,32,67,6,9,10,69,43,62,44,35,80,55,78,142,56,45,80,31,19,62,45,64,142,A,7,4,,,N. Kiefer,D. Vacek,K316,V141,GER,CZE,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS003,SF,01:11:00,,F,2,B503,"6-4,6-3",G. Bastl,P. Wessels,,,SUI,NED,6-4,6-3,,,,01:11:00,286,/en/stats/leaderboard?page=serve,1,7,69,43,62,74,32,43,47,9,19,67,2,3,10,244,/en/stats/leaderboard?page=serve,3,2,57,31,54,65,20,31,57,13,23,40,2,5,9,66,41,62,39,21,54,53,62,116,61,33,54,34,21,62,47,54,116,A,,,,,G. Bastl,P. Wessels,B503,W254,SUI,NED,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS004,QF,01:49:00,,F,2,V141,"7-5,7-6(9)",D. Vacek,P. Srichaphan,,,CZE,THA,7-5,7-6(9),,,,01:49:00,255,/en/stats/leaderboard?page=serve,6,6,60,52,86,73,38,52,47,16,34,70,7,10,12,231,/en/stats/leaderboard?page=serve,4,7,42,35,84,71,25,35,49,24,49,33,2,6,12,63,54,86,42,35,84,52,89,170,58,49,84,37,32,86,48,81,170,A,,,9,7,D. Vacek,P. Srichaphan,V141,S675,CZE,THA,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS005,QF,01:18:00,,F,2,K316,"6-1,7-5",N. Kiefer,C. Mamiit,,,GER,PHI,6-1,7-5,,,,01:18:00,267,/en/stats/leaderboard?page=serve,5,2,45,25,55,80,20,25,57,17,30,67,2,3,9,196,/en/stats/leaderboard?page=serve,5,1,47,28,59,61,17,28,42,13,31,29,2,7,10,67,37,55,49,29,59,58,66,114,51,30,59,33,18,55,42,48,114,A,,,,,N. Kiefer,C. Mamiit,K316,M614,GER,PHI,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS006,QF,01:19:00,,F,2,W254,"7-6(10),6-0",P. Wessels,A. Pretzsch,,,NED,GER,7-6(10),6-0,,,,01:19:00,294,/en/stats/leaderboard?page=serve,4,11,69,44,64,75,33,44,55,11,20,67,2,3,9,206,/en/stats/leaderboard?page=serve,8,3,53,43,81,58,25,43,45,17,38,71,10,14,9,69,44,64,48,39,81,57,83,145,52,42,81,31,20,64,43,62,145,A,10,8,,,P. Wessels,A. Pretzsch,W254,P353,NED,GER,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS008,R16,02:26:00,,F,3,V141,"7-6(7),2-6,7-5",D. Vacek,Y. Kafelnikov,,,CZE,RUS,7-6(7),2-6,7-5,,,02:26:00,244,/en/stats/leaderboard?page=serve,4,8,61,68,111,69,47,68,42,18,43,58,7,12,16,238,/en/stats/leaderboard?page=serve,6,3,51,62,121,69,43,62,46,27,59,67,8,12,16,59,65,111,42,51,121,50,116,232,58,70,121,41,46,111,50,116,232,A,7,5,,,D. Vacek,Y. Kafelnikov,V141,K267,CZE,RUS,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS009,R16,01:39:00,,F,2,S675,"7-5,7-6(7)",P. Srichaphan,I. Heuberger,,,THA,SUI,7-5,7-6(7),,,,01:39:00,276,/en/stats/leaderboard?page=serve,3,10,69,48,70,81,39,48,36,8,22,0,0,2,12,227,/en/stats/leaderboard?page=serve,11,5,39,30,77,70,21,30,49,23,47,40,2,5,12,67,47,70,43,33,77,54,80,147,57,44,77,33,23,70,46,67,147,A,,,7,2,P. Srichaphan,I. Heuberger,S675,H380,THA,SUI,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS010,R16,01:19:00,,F,2,K316,"6-4,6-4",N. Kiefer,L. Manta,,,GER,SUI,6-4,6-4,,,,01:19:00,254,/en/stats/leaderboard?page=serve,5,1,42,24,57,75,18,24,61,20,33,33,1,3,10,229,/en/stats/leaderboard?page=serve,5,6,50,28,56,75,21,28,43,12,28,43,3,7,10,67,38,57,41,23,56,54,61,113,59,33,56,33,19,57,46,52,113,A,,,,,N. Kiefer,L. Manta,K316,M551,GER,SUI,,
73,1999,Tashkent,WS,1999-09-13T00:00:00,1999-09-19T00:00:00,Hard,32,475000,$,MS011,R16,01:19:00,,F,2,M614,"6-3,7-5",C. Mamiit,V. Liukko,,,PHI,FIN,6-3,7-5,,,,01:19:00,272,/en/stats/leaderboard?page=serve,3,4,51,30,59,77,23,30,62,18,29,0,0,2,11,214,/en/stats/leaderboard?page=serve,3,0,49,32,65,63,20,32,45,15,33,43,3,7,10,69,41,59,46,30,65,57,71,124,54,35,65,31,18,59,43,53,124,A,,,,,C. Mamiit,V. Liukko,M614,L292,PHI,FIN,,
