event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS011,R16,01:49:00,,F,3,J129,"4-6,6-3,6-2",T. Johansson,A. Volkov,,,SWE,RUS,4-6,6-3,6-2,,,01:49:00,279,/en/stats/leaderboard?page=serve,3,6,46,35,76,91,32,35,54,22,41,50,2,4,14,225,/en/stats/leaderboard?page=serve,10,3,57,64,112,64,41,64,42,20,48,67,8,12,13,71,54,76,46,51,112,56,105,188,54,61,112,29,22,76,44,83,188,A,,,,,,T. Johansson,A. Volkov,J129,V037,SWE,RUS,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS012,R16,01:27:00,,F,3,K237,"6-1,4-6,6-1",K. Kucera,F. Santoro,,,SVK,FRA,6-1,4-6,6-1,,,01:27:00,282,/en/stats/leaderboard?page=serve,5,3,52,37,71,73,27,37,68,23,34,0,0,1,12,218,/en/stats/leaderboard?page=serve,2,0,52,32,62,63,20,32,47,14,30,0,0,5,12,70,50,71,45,28,62,59,78,133,55,34,62,30,21,71,41,55,133,A,,,,,,K. Kucera,F. Santoro,K237,S424,SVK,FRA,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS013,R16,01:38:00,,F,2,R186,"7-6(8),6-4",G. Raoux,D. Prinosil,,,FRA,GER,7-6(8),6-4,,,,01:38:00,275,/en/stats/leaderboard?page=serve,1,7,55,42,76,71,30,42,62,21,34,71,5,7,11,253,/en/stats/leaderboard?page=serve,5,10,48,39,82,79,31,39,49,21,43,57,4,7,11,67,51,76,37,30,82,51,81,158,63,52,82,33,25,76,49,77,158,A,,8,6,,,G. Raoux,D. Prinosil,R186,P273,FRA,GER,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS014,R16,01:20:00,,F,2,F206,"6-3,7-6(7)",F. Fetterlein,F. Dewulf,,,DEN,BEL,6-3,7-6(7),,,,01:20:00,284,/en/stats/leaderboard?page=serve,4,9,58,40,69,85,34,40,55,16,29,,0,,11,269,/en/stats/leaderboard?page=serve,5,5,59,44,74,70,31,44,50,15,30,86,6,7,10,72,50,69,38,28,74,55,78,143,62,46,74,28,19,69,45,65,143,A,,,,7,1,F. Fetterlein,F. Dewulf,F206,D228,DEN,BEL,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS015,R16,01:48:00,,F,3,D214,"6-3,3-6,6-3",M. Damm,N. Marques,,,CZE,POR,6-3,3-6,6-3,,,01:48:00,260,/en/stats/leaderboard?page=serve,4,8,57,50,87,70,35,50,51,19,37,25,1,4,14,247,/en/stats/leaderboard?page=serve,4,10,60,50,84,68,34,50,44,15,34,50,4,8,13,62,54,87,42,35,84,52,89,171,58,49,84,38,33,87,48,82,171,A,,,,,,M. Damm,N. Marques,D214,M197,CZE,POR,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS016,R32,01:12:00,,F,2,U024,"6-4,7-5",K. Ullyett,G. Solves,,,ZIM,FRA,6-4,7-5,,,,01:12:00,288,/en/stats/leaderboard?page=serve,5,7,46,26,57,92,24,26,58,18,31,50,1,2,11,237,/en/stats/leaderboard?page=serve,2,3,42,28,67,68,19,28,54,21,39,40,2,5,11,74,42,57,40,27,67,56,69,124,60,40,67,26,15,57,44,55,124,A,,,,,,K. Ullyett,G. Solves,U024,S523,ZIM,FRA,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS017,R32,01:02:00,,F,2,B484,"6-3,6-2",L. Burgsmuller,S. Simian,,,GER,FRA,6-3,6-2,,,,01:02:00,279,/en/stats/leaderboard?page=serve,2,5,65,40,62,68,27,40,55,12,22,83,5,6,9,216,/en/stats/leaderboard?page=serve,3,1,64,28,44,54,15,28,50,8,16,20,1,5,8,63,39,62,48,21,44,57,60,106,52,23,44,37,23,62,43,46,106,A,,,,,,L. Burgsmuller,S. Simian,B484,S454,GER,FRA,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS018,R32,00:53:00,,F,2,C216,"6-2,6-2",T. Carbonell,E. Erlich,,,ESP,ISR,6-2,6-2,,,,00:53:00,283,/en/stats/leaderboard?page=serve,2,4,67,30,45,80,24,30,47,7,15,0,0,1,8,180,/en/stats/leaderboard?page=serve,3,4,53,26,49,54,14,26,35,8,23,0,0,5,8,69,31,45,55,27,49,62,58,94,45,22,49,31,14,45,38,36,94,A,,,,,,T. Carbonell,E. Erlich,C216,E135,ESP,ISR,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS019,R32,01:06:00,,F,2,C328,"6-1,6-3",K. Carlsen,T. Larsen,,,DEN,DEN,6-1,6-3,,,,01:06:00,238,/en/stats/leaderboard?page=serve,4,6,59,35,59,77,27,35,50,12,24,,0,,8,201,/en/stats/leaderboard?page=serve,3,2,54,27,50,63,17,27,35,8,23,56,5,9,8,66,39,59,50,25,50,59,64,109,50,25,50,34,20,59,41,45,109,A,,,,,,K. Carlsen,T. Larsen,C328,L327,DEN,DEN,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS020,R32,01:24:00,,F,3,K296,"3-6,7-5,6-3",J. Kroslak,A. Radulescu,,,SVK,GER,3-6,7-5,6-3,,,01:24:00,291,/en/stats/leaderboard?page=serve,5,5,65,51,79,86,44,51,54,15,28,33,1,3,15,281,/en/stats/leaderboard?page=serve,1,17,61,51,84,69,35,51,55,18,33,40,2,5,15,75,59,79,37,31,84,55,90,163,63,53,84,25,20,79,45,73,163,A,,,,,,J. Kroslak,A. Radulescu,K296,R284,SVK,GER,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS021,R32,01:07:00,,F,2,N250,"6-4,6-4",M. Norman,R. Fromberg,,,SWE,AUS,6-4,6-4,,,,01:07:00,293,/en/stats/leaderboard?page=serve,1,7,64,39,61,69,27,39,64,14,22,67,2,3,10,254,/en/stats/leaderboard?page=serve,6,15,55,36,65,72,26,36,48,14,29,67,6,9,10,67,41,61,38,25,65,52,66,126,62,40,65,33,20,61,48,60,126,A,,,,,,M. Norman,R. Fromberg,N250,F164,SWE,AUS,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS022,R32,01:16:00,,F,2,V037,"6-4,7-6(7)",A. Volkov,A. Olhovskiy,,,RUS,RUS,6-4,7-6(7),,,,01:16:00,259,/en/stats/leaderboard?page=serve,4,5,52,33,64,76,25,33,58,18,31,40,2,5,11,238,/en/stats/leaderboard?page=serve,5,13,57,44,77,68,30,44,42,14,33,50,4,8,11,67,43,64,43,33,77,54,76,141,57,44,77,33,21,64,46,65,141,A,,,,7,4,A. Volkov,A. Olhovskiy,V037,O009,RUS,RUS,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS023,R32,01:14:00,,F,2,J129,"6-4,7-5",T. Johansson,J. Van Herck,,,SWE,BEL,6-4,7-5,,,,01:14:00,265,/en/stats/leaderboard?page=serve,3,16,53,31,59,84,26,31,43,12,28,50,3,6,11,203,/en/stats/leaderboard?page=serve,10,4,57,43,75,60,26,43,38,12,32,44,4,9,11,64,38,59,49,37,75,56,75,134,51,38,75,36,21,59,44,59,134,A,,,,,,T. Johansson,J. Van Herck,J129,V167,SWE,BEL,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS024,R32,00:51:00,,F,2,K237,"6-3,6-0",K. Kucera,O. Stanoytchev,,,SVK,BUL,6-3,6-0,,,,00:51:00,274,/en/stats/leaderboard?page=serve,5,6,61,28,46,75,21,28,50,9,18,50,1,2,8,164,/en/stats/leaderboard?page=serve,1,1,49,19,39,47,9,19,40,8,20,29,2,7,7,65,30,46,56,22,39,61,52,85,44,17,39,35,16,46,39,33,85,A,,,,,,K. Kucera,O. Stanoytchev,K237,S519,SVK,BUL,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS025,R32,00:56:00,,F,2,S424,"6-1,6-3",F. Santoro,P. Fredriksson,,,FRA,SWE,6-1,6-3,,,,00:56:00,279,/en/stats/leaderboard?page=serve,2,6,55,24,44,83,20,24,50,10,20,0,0,1,8,183,/en/stats/leaderboard?page=serve,3,5,48,20,42,60,12,20,36,8,22,17,1,6,8,68,30,44,52,22,42,60,52,86,48,20,42,32,14,44,40,34,86,A,,,,,,F. Santoro,P. Fredriksson,S424,F278,FRA,SWE,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS026,R32,01:21:00,,F,2,R186,"6-4,7-5",G. Raoux,B. Steven,,,FRA,NZL,6-4,7-5,,,,01:21:00,281,/en/stats/leaderboard?page=serve,3,8,55,32,58,94,30,32,46,12,26,50,2,4,11,230,/en/stats/leaderboard?page=serve,4,1,63,40,63,68,27,40,39,9,23,50,4,8,11,72,42,58,43,27,63,57,69,121,57,36,63,28,16,58,43,52,121,A,,,,,,G. Raoux,B. Steven,R186,S321,FRA,NZL,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS027,R32,02:00:00,,F,2,P273,"7-6(8),7-6(15)",D. Prinosil,T. Champion,,,GER,FRA,7-6(8),7-6(15),,,,02:00:00,270,/en/stats/leaderboard?page=serve,7,11,45,44,97,89,39,44,49,26,53,71,5,7,12,263,/en/stats/leaderboard?page=serve,2,2,70,80,115,70,56,80,40,14,35,82,9,11,12,67,65,97,39,45,115,52,110,212,61,70,115,33,32,97,48,102,212,A,,8,6,15,13,D. Prinosil,T. Champion,P273,C028,GER,FRA,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS028,R32,01:43:00,,F,3,F206,"6-2,6-7(3),6-2",F. Fetterlein,D. Vacek,,,DEN,CZE,6-2,6-7(3),6-2,,,01:43:00,301,/en/stats/leaderboard?page=serve,4,16,53,40,75,95,38,40,63,22,35,,0,,14,234,/en/stats/leaderboard?page=serve,12,5,55,56,102,80,45,56,35,16,46,60,6,10,14,80,60,75,40,41,102,57,101,177,60,61,102,20,15,75,43,76,177,A,,,,3,7,F. Fetterlein,D. Vacek,F206,V141,DEN,CZE,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS029,R32,00:48:00,,F,2,D228,"6-1,6-1",F. Dewulf,E. Benfele Alvarez,,,BEL,ESP,6-1,6-1,,,,00:48:00,295,/en/stats/leaderboard?page=serve,,5,61,23,38,91,21,23,53,8,15,,0,,7,164,/en/stats/leaderboard?page=serve,8,6,59,29,49,59,17,29,20,4,20,29,2,7,7,76,29,38,57,28,49,66,57,87,43,21,49,24,9,38,34,30,87,A,False,,,,,F. Dewulf,E. Benfele Alvarez,D228,A190,BEL,ESP,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS030,R32,01:55:00,,F,3,M197,"6-3,6-7(7),6-1",N. Marques,R. Furlan,,,POR,ITA,6-3,6-7(7),6-1,,,01:55:00,298,/en/stats/leaderboard?page=serve,3,10,68,63,93,83,52,63,60,18,30,,0,,15,255,/en/stats/leaderboard?page=serve,2,5,51,45,89,84,38,45,41,18,44,40,2,5,13,75,70,93,37,33,89,57,103,182,63,56,89,25,23,93,43,79,182,A,,,,7,9,N. Marques,R. Furlan,M197,F192,POR,ITA,,
481,1997,Copenhagen,GP,1997-03-10T00:00:00,1997-03-16T00:00:00,Carpet,32,203000,$,MS031,R32,01:14:00,,F,2,D214,"6-2,6-3",M. Damm,P. Langvardt,,,CZE,DEN,6-2,6-3,,,,01:14:00,264,/en/stats/leaderboard?page=serve,,7,58,30,52,87,26,30,50,11,22,,0,,8,202,/en/stats/leaderboard?page=serve,2,2,47,28,59,61,17,28,39,12,31,50,4,8,9,71,37,52,51,30,59,60,67,111,49,29,59,29,15,52,40,44,111,A,False,,,,,M. Damm,P. Langvardt,D214,L273,CZE,DEN,,
