event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS023,R32,01:24:00,,F,2,R397,"6-4,6-3",O. Rochus,G. Coria,,,BEL,ARG,6-4,6-3,,,,01:24:00,,,,,,,285,/en/stats/leaderboard?page=serve,4,1,68,34,50,76,26,34,56,9,16,75,3,4,9,204,/en/stats/leaderboard?page=serve,6,0,82,55,67,60,33,55,8,1,12,43,3,7,10,70,35,50,49,33,67,58,68,117,51,34,67,30,15,50,42,49,117,A,O. Rochus,G. Coria,R397,C524,BEL,ARG,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS024,R32,02:09:00,,F,3,D402,"2-6,6-2,7-5",N. Davydenko,M. Baghdatis,,,RUS,CYP,2-6,6-2,7-5,,,02:09:00,,,,,,,249,/en/stats/leaderboard?page=serve,2,0,78,76,98,59,45,76,50,11,22,38,3,8,14,218,/en/stats/leaderboard?page=serve,7,11,50,46,92,70,32,46,37,17,46,40,4,10,14,57,56,98,47,43,92,52,99,190,53,49,92,43,42,98,48,91,190,A,N. Davydenko,M. Baghdatis,D402,B837,RUS,CYP,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS025,R32,02:51:00,,F,3,A385,"7-6(7),6-7(11),6-2",M. Ancic,F. Serra,,,CRO,FRA,7-6(7),6-7(11),6-2,,,02:51:00,7,4,11,13,,,295,/en/stats/leaderboard?page=serve,4,17,65,69,106,81,56,69,49,18,37,50,2,4,16,256,/en/stats/leaderboard?page=serve,3,4,54,63,116,71,45,63,55,29,53,50,4,8,16,70,74,106,36,42,116,52,116,222,64,74,116,30,32,106,48,106,222,A,M. Ancic,F. Serra,A385,S963,CRO,FRA,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS026,R32,03:11:00,,F,3,S694,"6-7(6),7-6(7),7-5",R. Stepanek,N. Massu,,,CZE,CHI,6-7(6),7-6(7),7-5,,,03:11:00,6,8,7,5,,,295,/en/stats/leaderboard?page=serve,6,17,65,84,129,75,63,84,56,25,45,71,5,7,18,287,/en/stats/leaderboard?page=serve,0,6,62,73,117,66,48,73,70,31,44,63,5,8,18,68,88,129,32,38,117,51,126,246,68,79,117,32,41,129,49,120,246,A,R. Stepanek,N. Massu,S694,M655,CZE,CHI,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS027,R32,02:05:00,,F,3,N301,"6-7(3),6-1,6-0",D. Nalbandian,T. Berdych,,,ARG,CZE,6-7(3),6-1,6-0,,,02:05:00,3,7,,,,,310,/en/stats/leaderboard?page=serve,1,2,72,65,90,69,45,65,68,17,25,100,2,2,13,216,/en/stats/leaderboard?page=serve,8,6,47,43,92,70,30,43,43,21,49,58,7,12,12,69,62,90,45,41,92,57,103,182,55,51,92,31,28,90,43,79,182,A,D. Nalbandian,T. Berdych,N301,BA47,ARG,CZE,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS028,R32,00:55:00,,F,2,L360,"6-2,6-3",I. Ljubicic,F. Volandri,,,CRO,ITA,6-2,6-3,,,,00:55:00,,,,,,,296,/en/stats/leaderboard?page=serve,0,11,68,28,41,86,24,28,54,7,13,0,0,2,9,192,/en/stats/leaderboard?page=serve,1,0,69,37,54,46,17,37,41,7,17,50,5,10,8,76,31,41,56,30,54,64,61,95,44,24,54,24,10,41,36,34,95,A,I. Ljubicic,F. Volandri,L360,V254,CRO,ITA,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS029,R32,02:01:00,,F,3,R336,"4-6,7-5,6-3",C. Rochus,R. Ginepri,,,BEL,USA,4-6,7-5,6-3,,,02:01:00,,,,,,,257,/en/stats/leaderboard?page=serve,7,4,56,53,95,72,38,53,52,22,42,67,6,9,15,240,/en/stats/leaderboard?page=serve,5,13,46,51,111,78,40,51,40,24,60,55,6,11,16,63,60,95,42,47,111,52,107,206,58,64,111,37,35,95,48,99,206,A,C. Rochus,R. Ginepri,R336,G569,BEL,USA,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS030,R32,02:23:00,,F,3,K316,"6-2,3-6,7-5",N. Kiefer,F. Gonzalez,,,GER,CHI,6-2,3-6,7-5,,,02:23:00,,,,,,,247,/en/stats/leaderboard?page=serve,4,5,53,52,99,69,36,52,53,25,47,64,7,11,14,221,/en/stats/leaderboard?page=serve,8,5,51,43,85,65,28,43,48,20,42,45,5,11,15,62,61,99,44,37,85,53,98,184,56,48,85,38,38,99,47,86,184,A,N. Kiefer,F. Gonzalez,K316,G415,GER,CHI,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS031,R32,01:29:00,,F,2,C478,"6-3,7-6(8)",A. Calleri,C. Moya,,,ARG,ESP,6-3,7-6(8),,,,01:29:00,,,8,6,,,289,/en/stats/leaderboard?page=serve,0,6,60,37,62,78,29,37,64,16,25,0,0,2,11,242,/en/stats/leaderboard?page=serve,4,6,57,43,76,77,33,43,36,12,33,67,6,9,10,73,45,62,41,31,76,55,76,138,59,45,76,27,17,62,45,62,138,A,A. Calleri,C. Moya,C478,M605,ARG,ESP,,
403,2006,ATP Masters 1000 Miami,1000,2006-03-20T00:00:00,2006-04-02T00:00:00,Hard,96,3200000,$,MS032,R64,01:59:00,,F,3,F324,"6-2,6-7(4),6-0",R. Federer,A. Clement,,,SUI,FRA,6-2,6-7(4),6-0,,,01:59:00,,,4,7,,,280,/en/stats/leaderboard?page=serve,2,6,64,60,94,73,44,60,47,16,34,75,3,4,13,213,/en/stats/leaderboard?page=serve,3,2,52,39,75,56,22,39,53,19,36,33,3,9,13,64,60,94,45,34,75,56,94,169,55,41,75,36,34,94,44,75,169,A,R. Federer,A. Clement,F324,C487,SUI,FRA,,
