event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS001,F,02:31:00,,F,3,P226,"6-2,5-7,7-6(7)",C. Pioline,B. Ulihrach,,,FRA,CZE,6-2,5-7,7-6(7),,,02:31:00,7,4,238,/en/stats/leaderboard?page=serve,6,6,62,68,110,62,42,68,52,22,42,40,4,10,16,203,/en/stats/leaderboard?page=serve,6,3,47,49,104,65,32,49,38,21,55,46,6,13,16,58,64,110,49,51,104,54,115,214,51,53,104,42,46,110,46,99,214,A,,,,,,,C. Pioline,B. Ulihrach,P226,U032,FRA,CZE,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS002,SF,02:18:00,,F,3,P226,"6-3,6-7(7),6-1",C. Pioline,E. Benfele Alvarez,,,FRA,ESP,6-3,6-7(7),6-1,,,02:18:00,,,262,/en/stats/leaderboard?page=serve,,3,59,51,86,61,31,51,63,22,35,25,1,4,13,194,/en/stats/leaderboard?page=serve,6,3,52,51,98,59,30,51,40,19,47,20,2,10,15,62,53,86,50,49,98,55,102,184,50,49,98,38,33,86,45,82,184,A,7,9,False,,,,C. Pioline,E. Benfele Alvarez,P226,A190,FRA,ESP,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS003,SF,01:26:00,,F,2,U032,"6-4,6-2",B. Ulihrach,F. Santoro,,,CZE,FRA,6-4,6-2,,,,01:26:00,,,203,/en/stats/leaderboard?page=serve,3,3,54,28,52,82,23,28,67,16,24,0,0,,9,215,/en/stats/leaderboard?page=serve,2,1,34,25,73,68,17,25,48,23,48,67,6,9,9,75,39,52,45,33,73,58,72,125,55,40,73,25,13,52,42,53,125,A,,,,,,,B. Ulihrach,F. Santoro,U032,S424,CZE,FRA,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS004,QF,01:25:00,,F,2,A190,"6-3,7-5",E. Benfele Alvarez,M. Craca,,,ESP,GER,6-3,7-5,,,,01:25:00,,,256,/en/stats/leaderboard?page=serve,1,2,60,34,57,71,24,34,52,12,23,25,1,4,11,210,/en/stats/leaderboard?page=serve,4,4,57,38,67,58,22,38,45,13,29,44,4,9,10,63,36,57,48,32,67,55,68,124,52,35,67,37,21,57,45,56,124,A,,,,,,,E. Benfele Alvarez,M. Craca,A190,C439,ESP,GER,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS005,QF,02:15:00,,F,3,P226,"6-4,4-6,6-2",C. Pioline,R. Fromberg,,,FRA,AUS,6-4,4-6,6-2,,,02:15:00,,,274,/en/stats/leaderboard?page=serve,2,3,57,47,82,68,32,47,63,22,35,50,2,4,14,237,/en/stats/leaderboard?page=serve,9,11,58,70,121,69,48,70,37,19,51,79,15,19,14,66,54,82,45,54,121,53,108,203,55,67,121,34,28,82,47,95,203,A,,,,,,,C. Pioline,R. Fromberg,P226,F164,FRA,AUS,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS006,QF,01:36:00,,F,3,U032,"2-6,6-4,6-4",B. Ulihrach,A. Portas,,,CZE,ESP,2-6,6-4,6-4,,,01:36:00,,,202,/en/stats/leaderboard?page=serve,5,5,49,44,90,68,30,44,35,16,46,61,11,18,14,202,/en/stats/leaderboard?page=serve,4,1,59,47,79,55,26,47,41,13,32,46,6,13,14,51,46,90,51,40,79,51,86,169,49,39,79,49,44,90,49,83,169,A,,,,,,,B. Ulihrach,A. Portas,U032,P305,CZE,ESP,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS007,QF,01:51:00,,F,3,S424,"4-6,6-3,6-0",F. Santoro,M. Rios,,,FRA,CHI,4-6,6-3,6-0,,,01:51:00,,,256,/en/stats/leaderboard?page=serve,,1,44,31,71,65,20,31,63,25,40,33,1,3,12,213,/en/stats/leaderboard?page=serve,2,1,59,55,93,60,33,55,42,16,38,57,8,14,13,63,45,71,47,44,93,54,89,164,53,49,93,37,26,71,46,75,164,A,,,False,,,,F. Santoro,M. Rios,S424,R286,FRA,CHI,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS008,R16,01:41:00,,F,2,C439,"7-6(7),6-4",M. Craca,Y. Kafelnikov,,,GER,RUS,7-6(7),6-4,,,,01:41:00,,,220,/en/stats/leaderboard?page=serve,,2,53,42,80,50,21,42,61,23,38,29,2,7,11,191,/en/stats/leaderboard?page=serve,6,0,53,40,75,53,21,40,46,16,35,45,5,11,11,55,44,80,51,38,75,53,82,155,49,37,75,45,36,80,47,73,155,A,,,False,7,4,,M. Craca,Y. Kafelnikov,C439,K267,GER,RUS,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS009,R16,02:20:00,,F,3,A190,"7-5,4-6,6-4",E. Benfele Alvarez,C. Costa,,,ESP,ESP,7-5,4-6,6-4,,,02:20:00,,,261,/en/stats/leaderboard?page=serve,3,3,60,59,98,76,45,59,44,17,39,57,4,7,16,248,/en/stats/leaderboard?page=serve,1,3,55,57,104,65,37,57,51,24,47,0,0,4,16,63,62,98,41,43,104,52,105,202,59,61,104,37,36,98,48,97,202,A,,,,,,,E. Benfele Alvarez,C. Costa,A190,C179,ESP,ESP,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS010,R16,00:55:00,,F,2,P226,"6-3,6-1",C. Pioline,J. Kroslak,,,FRA,SVK,6-3,6-1,,,,00:55:00,,,213,/en/stats/leaderboard?page=serve,,3,57,24,42,92,22,24,61,11,18,0,0,,8,194,/en/stats/leaderboard?page=serve,10,4,45,22,49,68,15,22,37,10,27,20,1,5,8,79,33,42,49,24,49,63,57,91,51,25,49,21,9,42,37,34,91,A,,,False,,,,C. Pioline,J. Kroslak,P226,K296,FRA,SVK,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS011,R16,01:23:00,,F,2,F164,"6-2,6-4",R. Fromberg,M. Gorriz,,,AUS,ESP,6-2,6-4,,,,01:23:00,,,277,/en/stats/leaderboard?page=serve,6,4,63,35,56,80,28,35,48,10,21,67,2,3,9,201,/en/stats/leaderboard?page=serve,3,0,40,31,77,74,23,31,35,16,46,69,9,13,9,68,38,56,49,38,77,57,76,133,51,39,77,32,18,56,43,57,133,A,,,,,,,R. Fromberg,M. Gorriz,F164,G028,AUS,ESP,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS012,R16,01:43:00,,F,3,P305,"1-6,6-3,6-2",A. Portas,T. Carbonell,,,ESP,ESP,1-6,6-3,6-2,,,01:43:00,,,226,/en/stats/leaderboard?page=serve,4,2,68,52,77,58,30,52,44,11,25,50,5,10,12,215,/en/stats/leaderboard?page=serve,4,0,73,77,105,53,41,77,43,12,28,65,11,17,12,53,41,77,50,52,105,51,93,182,50,53,105,47,36,77,49,89,182,A,,,,,,,A. Portas,T. Carbonell,P305,C216,ESP,ESP,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS013,R16,01:02:00,,F,2,U032,"6-4,6-0",B. Ulihrach,G. Blanco,,,CZE,ESP,6-4,6-0,,,,01:02:00,,,250,/en/stats/leaderboard?page=serve,1,1,40,19,47,74,14,19,61,17,28,67,4,6,8,156,/en/stats/leaderboard?page=serve,,0,49,24,49,46,11,24,36,9,25,45,5,11,8,66,31,47,59,29,49,63,60,96,41,20,49,34,16,47,38,36,96,A,,,,,,False,B. Ulihrach,G. Blanco,U032,B518,CZE,ESP,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS014,R16,02:26:00,,F,3,S424,"7-6(7),3-6,6-1",F. Santoro,G. Kuerten,,,FRA,BRA,7-6(7),3-6,6-1,,,02:26:00,,,219,/en/stats/leaderboard?page=serve,4,4,48,56,116,64,36,56,43,26,60,62,8,13,14,212,/en/stats/leaderboard?page=serve,4,5,47,44,93,68,30,44,39,19,49,33,3,9,14,53,62,116,47,44,93,51,106,209,53,49,93,47,54,116,49,103,209,A,,,,7,4,,F. Santoro,G. Kuerten,S424,K293,FRA,BRA,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS015,R16,01:11:00,,F,2,R286,"6-4,6-2",M. Rios,S. Simian,,,CHI,FRA,6-4,6-2,,,,01:11:00,,,270,/en/stats/leaderboard?page=serve,1,4,47,27,58,74,20,27,58,18,31,67,2,3,9,208,/en/stats/leaderboard?page=serve,4,3,60,42,70,62,26,42,32,9,28,56,5,9,9,66,38,58,50,35,70,57,73,128,50,35,70,34,20,58,43,55,128,A,,,,,,,M. Rios,S. Simian,R286,S454,CHI,FRA,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS016,R32,01:16:00,,F,2,K267,"7-6(7),6-1",Y. Kafelnikov,L. Roux,,,RUS,FRA,7-6(7),6-1,,,,01:16:00,,,257,/en/stats/leaderboard?page=serve,1,1,69,42,61,71,30,42,47,9,19,50,3,6,10,190,/en/stats/leaderboard?page=serve,6,3,61,39,64,56,22,39,32,8,25,44,4,9,9,64,39,61,53,34,64,58,73,125,47,30,64,36,22,61,42,52,125,A,,,,7,4,,Y. Kafelnikov,L. Roux,K267,R280,RUS,FRA,,
379,1997,Prague,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,340000,$,MS017,R32,02:09:00,,F,3,C439,"5-7,6-4,6-2",M. Craca,J. Golmard,,,GER,FRA,5-7,6-4,6-2,,,02:09:00,,,275,/en/stats/leaderboard?page=serve,,2,73,76,104,66,50,76,54,15,28,67,6,9,15,220,/en/stats/leaderboard?page=serve,12,6,53,54,101,69,37,54,38,18,47,50,5,10,15,63,65,104,46,46,101,54,111,205,54,55,101,38,39,104,46,94,205,A,,,False,,,,M. Craca,J. Golmard,C439,G319,GER,FRA,,
