event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,breakpointssaved_percent_tot_loser,breakpointssaved_divisor_tot_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS001,F,01:28:00,,F,2,I034,"7-6(7),7-6(7)",G. Ivanisevic,G. Rusedski,,,CRO,GBR,7-6(7),7-6(7),,,,01:28:00,7,3,7,5,228,/en/stats/leaderboard?page=serve,2,16,64,49,76,80,39,49,70,19,27,0,0,,12,288,/en/stats/leaderboard?page=serve,7,16,48,40,84,88,35,40,52,23,44,0,12,76,58,76,31,26,84,53,84,160,69,58,84,24,18,76,48,76,160,A,,,,,,,G. Ivanisevic,G. Rusedski,I034,R237,CRO,GBR,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS002,SF,02:10:00,,F,3,R237,"6-7(3),7-6(7),7-6(7)",G. Rusedski,M. Rosset,,,GBR,SUI,6-7(3),7-6(7),7-6(7),,,02:10:00,3,7,7,5,300,/en/stats/leaderboard?page=serve,11,19,56,63,112,92,58,63,61,30,49,,0,,18,311,/en/stats/leaderboard?page=serve,8,24,63,80,127,85,68,80,53,25,47,0,18,79,88,112,27,34,127,51,122,239,73,93,127,21,24,112,49,117,239,A,7,5,,,,,G. Rusedski,M. Rosset,R237,R214,GBR,SUI,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS003,SF,01:23:00,,F,2,I034,"6-3,7-6(7)",G. Ivanisevic,M. Sinner,,,CRO,GER,6-3,7-6(7),,,,01:23:00,,,7,3,241,/en/stats/leaderboard?page=serve,2,21,73,45,62,84,38,45,65,11,17,0,0,,11,273,/en/stats/leaderboard?page=serve,6,6,61,47,77,79,37,47,43,13,30,5,10,79,49,62,35,27,77,55,76,139,65,50,77,21,13,62,45,63,139,A,,,83,6,,,G. Ivanisevic,M. Sinner,I034,S367,CRO,GER,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS004,QF,00:55:00,,F,2,R237,"6-1,6-4",G. Rusedski,M. Damm,,,GBR,CZE,6-1,6-4,,,,00:55:00,,,,,233,/en/stats/leaderboard?page=serve,5,17,58,25,43,96,24,25,67,12,18,0,0,,9,232,/en/stats/leaderboard?page=serve,2,3,51,25,49,80,20,25,38,9,24,1,8,84,36,43,41,20,49,61,56,92,59,29,49,16,7,43,39,36,92,A,,,25,4,,,G. Rusedski,M. Damm,R237,D214,GBR,CZE,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS005,QF,01:01:00,,F,2,R214,"6-2,6-2",M. Rosset,R. Schuettler,,,SUI,GER,6-2,6-2,,,,01:01:00,,,,,229,/en/stats/leaderboard?page=serve,2,9,78,32,41,88,28,32,56,5,9,0,0,,8,206,/en/stats/leaderboard?page=serve,2,2,59,36,61,61,22,36,36,9,25,7,8,80,33,41,49,30,61,62,63,102,51,31,61,20,8,41,38,39,102,A,,,64,11,,,M. Rosset,R. Schuettler,R214,S636,SUI,GER,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS006,QF,02:08:00,,F,3,S367,"5-7,6-3,7-6(7)",M. Sinner,K. Carlsen,,,GER,DEN,5-7,6-3,7-6(7),,,02:08:00,,,,,306,/en/stats/leaderboard?page=serve,2,11,63,63,100,83,52,63,57,21,37,67,2,3,17,295,/en/stats/leaderboard?page=serve,5,28,57,60,106,83,50,60,39,18,46,6,16,73,73,100,36,38,106,54,111,206,64,68,106,27,27,100,46,95,206,A,7,0,86,7,,,M. Sinner,K. Carlsen,S367,C328,GER,DEN,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS007,QF,01:35:00,,F,2,I034,"7-6(7),7-6(11)",G. Ivanisevic,J. Novak,,,CRO,CZE,7-6(7),7-6(11),,,,01:35:00,7,5,11,9,305,/en/stats/leaderboard?page=serve,6,31,56,48,86,83,40,48,50,19,38,67,2,3,12,296,/en/stats/leaderboard?page=serve,1,6,63,54,86,65,35,54,72,23,32,0,12,69,59,86,33,28,86,51,87,172,67,58,86,31,27,86,49,85,172,A,,,0,1,,,G. Ivanisevic,J. Novak,I034,N254,CRO,CZE,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS008,R16,00:59:00,,F,2,R237,"6-4,6-3",G. Rusedski,J. Kroslak,,,GBR,SVK,6-4,6-3,,,,00:59:00,,,,,244,/en/stats/leaderboard?page=serve,8,19,57,32,56,94,30,32,38,9,24,,0,,9,243,/en/stats/leaderboard?page=serve,5,6,66,41,62,68,28,41,38,8,21,0,10,70,39,56,42,26,62,55,65,118,58,36,62,30,17,56,45,53,118,A,,,0,3,,,G. Rusedski,J. Kroslak,R237,K296,GBR,SVK,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS009,R16,01:17:00,,F,2,D214,"6-4,6-3",M. Damm,J. Siemerink,,,CZE,NED,6-4,6-3,,,,01:17:00,,,,,298,/en/stats/leaderboard?page=serve,,6,58,30,52,73,22,30,73,16,22,,0,,9,255,/en/stats/leaderboard?page=serve,1,5,55,33,60,70,23,33,56,15,27,6,10,73,38,52,37,22,60,54,60,112,63,38,60,27,14,52,46,52,112,A,,,67,9,False,,M. Damm,J. Siemerink,D214,S381,CZE,NED,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS010,R16,00:53:00,,F,2,S636,"6-1,6-0",R. Schuettler,A. Merinov,,,GER,RUS,6-1,6-0,,,,00:53:00,,,,,274,/en/stats/leaderboard?page=serve,1,1,59,26,44,77,20,26,67,12,18,,0,,7,142,/en/stats/leaderboard?page=serve,3,0,74,29,39,45,13,29,10,1,10,5,6,73,32,44,64,25,39,69,57,83,36,14,39,27,12,44,31,26,83,A,,,50,10,,,R. Schuettler,A. Merinov,S636,M440,GER,RUS,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS011,R16,00:56:00,,F,2,R214,"6-3,6-1",M. Rosset,R. Vasek,,,SUI,CZE,6-3,6-1,,,,00:56:00,,,,,231,/en/stats/leaderboard?page=serve,1,10,49,18,37,94,17,18,79,15,19,0,0,,8,203,/en/stats/leaderboard?page=serve,6,2,59,32,54,66,21,32,32,7,22,2,8,86,32,37,48,26,54,64,58,91,52,28,54,14,5,37,36,33,91,A,,,33,6,,,M. Rosset,R. Vasek,R214,V151,SUI,CZE,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS012,R16,01:27:00,,F,3,S367,"6-2,3-6,6-3",M. Sinner,D. Sanguinetti,,,GER,ITA,6-2,3-6,6-3,,,01:27:00,,,,,268,/en/stats/leaderboard?page=serve,2,5,63,46,73,74,34,46,52,14,27,0,0,3,13,227,/en/stats/leaderboard?page=serve,3,3,62,52,84,63,33,52,41,13,32,4,13,66,48,73,45,38,84,55,86,157,55,46,84,34,25,73,45,71,157,A,,,44,9,,,M. Sinner,D. Sanguinetti,S367,S480,GER,ITA,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS013,R16,01:43:00,,F,3,C328,"6-3,6-7(2),6-1",K. Carlsen,A. Medvedev,,,DEN,UKR,6-3,6-7(2),6-1,,,01:43:00,,,2,7,280,/en/stats/leaderboard?page=serve,3,14,59,52,88,90,47,52,47,17,36,,0,,15,262,/en/stats/leaderboard?page=serve,6,9,66,56,85,79,44,56,38,11,29,5,13,73,64,88,35,30,85,54,94,173,65,55,85,27,24,88,46,79,173,A,,,63,8,,,K. Carlsen,A. Medvedev,C328,M475,DEN,UKR,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS014,R16,00:57:00,,F,2,N254,"6-1,7-5",J. Novak,E. Benfele Alvarez,,,CZE,ESP,6-1,7-5,,,,00:57:00,,,,,215,/en/stats/leaderboard?page=serve,1,2,75,36,48,81,29,36,58,7,12,0,0,,9,240,/en/stats/leaderboard?page=serve,1,4,61,33,54,73,24,33,43,9,21,4,10,75,36,48,39,21,54,56,57,102,61,33,54,25,12,48,44,45,102,A,,,50,8,,,J. Novak,E. Benfele Alvarez,N254,A190,CZE,ESP,,
7301,1998,Split,WS,1998-02-02T00:00:00,1998-02-08T00:00:00,Carpet,32,375000,$,MS015,R16,02:34:00,,F,3,I034,"7-6(8),6-7(7),6-4",G. Ivanisevic,B. Becker,,,CRO,GER,7-6(8),6-7(7),6-4,,,02:34:00,8,6,7,9,282,/en/stats/leaderboard?page=serve,5,22,49,62,126,84,52,62,56,36,64,,0,,17,295,/en/stats/leaderboard?page=serve,9,17,51,58,114,88,51,58,54,30,56,3,17,70,88,126,29,33,114,50,121,240,71,81,114,30,38,126,50,119,240,A,,,75,4,,,G. Ivanisevic,B. Becker,I034,B028,CRO,GER,,
