event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS014,R16,01:06:00,,F,2,B397,"6-3,6-4",B. Black,C. Caratti,,,ZIM,ITA,6-3,6-4,,,,01:06:00,293,/en/stats/leaderboard?page=serve,1,4,65,37,57,70,26,37,65,13,20,50,1,2,10,245,/en/stats/leaderboard?page=serve,False,2,71,39,55,56,22,39,50,8,16,50,3,6,9,68,39,57,45,25,55,57,64,112,55,30,55,32,18,57,43,48,112,A,,,,,,,B. Black,C. Caratti,B397,C270,ZIM,ITA,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS015,R16,02:32:00,,F,3,D249,"6-2,5-7,6-4",H. Dreekmann,M. Chang,,,GER,USA,6-2,5-7,6-4,,,02:32:00,273,/en/stats/leaderboard?page=serve,4,11,52,53,102,77,41,53,51,25,49,71,5,7,15,251,/en/stats/leaderboard?page=serve,,11,61,76,124,68,52,76,40,19,48,75,12,16,15,65,66,102,43,53,124,53,119,226,57,71,124,35,36,102,47,107,226,A,2,,,,,,H. Dreekmann,M. Chang,D249,C274,GER,USA,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS016,R32,01:32:00,,F,2,M448,"6-3,7-6(7)",B. MacPhie,P. Rafter,,,USA,AUS,6-3,7-6(7),,,,01:32:00,271,/en/stats/leaderboard?page=serve,5,10,64,51,80,80,41,51,41,12,29,71,5,7,11,252,/en/stats/leaderboard?page=serve,,5,71,55,77,64,35,55,45,10,22,67,6,9,10,66,53,80,42,32,77,54,85,157,58,45,77,34,27,80,46,72,157,A,3,7,4,,,,B. MacPhie,P. Rafter,M448,R255,USA,AUS,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS017,R32,01:37:00,,F,3,P280,"5-7,6-0,7-5",A. Pavel,R. Vasek,,,ROU,CZE,5-7,6-0,7-5,,,01:37:00,273,/en/stats/leaderboard?page=serve,1,14,76,70,92,66,46,70,45,10,22,43,3,7,15,215,/en/stats/leaderboard?page=serve,,1,66,57,86,58,33,57,41,12,29,46,6,13,15,61,56,92,48,41,86,54,97,178,52,45,86,39,36,92,46,81,178,A,4,,,,,,A. Pavel,R. Vasek,P280,V151,ROU,CZE,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS018,R32,01:48:00,,F,2,H380,"6-3,7-6(7)",I. Heuberger,S. Campbell,,,SUI,USA,6-3,7-6(7),,,,01:48:00,289,/en/stats/leaderboard?page=serve,2,3,65,51,79,69,35,51,64,18,28,75,3,4,11,243,/en/stats/leaderboard?page=serve,,0,59,51,87,69,35,51,39,14,36,80,8,10,10,67,53,79,44,38,87,55,91,166,56,49,87,33,26,79,45,75,166,A,4,7,4,,,,I. Heuberger,S. Campbell,H380,C355,SUI,USA,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS019,R32,02:06:00,,F,3,D191,"4-6,6-3,6-3",D. Dilucia,K. Carlsen,,,USA,DEN,4-6,6-3,6-3,,,02:06:00,237,/en/stats/leaderboard?page=serve,7,7,52,46,89,72,33,46,42,18,43,43,3,7,14,213,/en/stats/leaderboard?page=serve,,7,57,59,104,69,41,59,33,15,45,54,7,13,14,57,51,89,46,48,104,51,99,193,54,56,104,43,38,89,49,94,193,A,10,,,,,,D. Dilucia,K. Carlsen,D191,C328,USA,DEN,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS020,R32,01:14:00,,F,2,H336,"6-2,7-5",T. Henman,D. Nestor,,,GBR,CAN,6-2,7-5,,,,01:14:00,256,/en/stats/leaderboard?page=serve,4,3,40,20,50,80,16,20,57,17,30,0,0,2,10,200,/en/stats/leaderboard?page=serve,,2,45,28,62,71,20,28,38,13,34,29,2,7,10,66,33,50,47,29,62,55,62,112,53,33,62,34,17,50,45,50,112,A,6,,,,,,T. Henman,D. Nestor,H336,N210,GBR,CAN,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS021,R32,00:10:00,,F,2,G319,"6-4,6-4",J. Golmard,S. Iwabuchi,,,FRA,JPN,6-4,6-4,,,,00:10:00,308,/en/stats/leaderboard?page=serve,1,5,83,48,58,71,34,48,60,6,10,50,1,2,10,239,/en/stats/leaderboard?page=serve,,3,56,36,64,72,26,36,39,11,28,40,2,5,10,69,40,58,42,27,64,55,67,122,58,37,64,31,18,58,45,55,122,A,1,,,,,,J. Golmard,S. Iwabuchi,G319,I054,FRA,JPN,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS022,R32,00:50:00,,F,2,G352,"6-0,6-3",J. Gambill,K. Miyachi,,,USA,JPN,6-0,6-3,,,,00:50:00,282,/en/stats/leaderboard?page=serve,2,11,66,33,50,73,24,33,47,8,17,67,2,3,8,154,/en/stats/leaderboard?page=serve,,2,53,20,38,35,7,20,39,7,18,17,1,6,7,64,32,50,63,24,38,64,56,88,37,14,38,36,18,50,36,32,88,A,3,,,,,,J. Gambill,K. Miyachi,G352,M570,USA,JPN,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS023,R32,01:10:00,,F,2,S636,"6-2,6-4",R. Schuettler,M. Damm,,,GER,CZE,6-2,6-4,,,,01:10:00,260,/en/stats/leaderboard?page=serve,6,3,62,39,63,82,32,39,42,10,24,,0,,9,245,/en/stats/leaderboard?page=serve,False,3,51,26,51,69,18,26,56,14,25,50,3,6,9,67,42,63,37,19,51,54,61,114,63,32,51,33,21,63,46,53,114,A,,,,,,,R. Schuettler,M. Damm,S636,D214,GER,CZE,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS024,R32,00:54:00,,F,2,S443,"6-3,6-0",S. Stolle,V. Spadea,,,AUS,USA,6-3,6-0,,,,00:54:00,206,/en/stats/leaderboard?page=serve,2,3,66,27,41,96,26,27,43,6,14,0,0,,8,190,/en/stats/leaderboard?page=serve,,0,60,29,48,52,15,29,37,7,19,56,5,9,7,78,32,41,54,26,48,65,58,89,46,22,48,22,9,41,35,31,89,A,1,,,,,,S. Stolle,V. Spadea,S443,S544,AUS,USA,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS025,R32,00:51:00,,F,2,V141,"6-2,6-2",D. Vacek,G. Motomura,,,CZE,JPN,6-2,6-2,,,,00:51:00,233,/en/stats/leaderboard?page=serve,2,5,59,22,37,91,20,22,80,12,15,0,0,,8,204,/en/stats/leaderboard?page=serve,,1,63,36,57,61,22,36,33,7,21,60,6,10,8,86,32,37,49,28,57,64,60,94,51,29,57,14,5,37,36,34,94,A,4,,,,,,D. Vacek,G. Motomura,V141,M531,CZE,JPN,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS026,R32,02:05:00,,F,3,T166,"5-7,6-4,6-4",M. Tillstrom,A. O'Brien,,,SWE,USA,5-7,6-4,6-4,,,02:05:00,259,/en/stats/leaderboard?page=serve,3,5,71,77,108,69,53,77,42,13,31,71,10,14,16,252,/en/stats/leaderboard?page=serve,,4,69,67,97,61,41,67,53,16,30,17,1,6,16,61,66,108,41,40,97,52,106,205,59,57,97,39,42,108,48,99,205,A,3,,,,,,M. Tillstrom,A. O'Brien,T166,O099,SWE,USA,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS027,R32,01:01:00,,F,2,P273,"6-3,6-3",D. Prinosil,T. Johansson,,,GER,SWE,6-3,6-3,,,,01:01:00,298,/en/stats/leaderboard?page=serve,2,8,63,30,48,80,24,30,61,11,18,67,2,3,9,206,/en/stats/leaderboard?page=serve,,3,43,22,51,64,14,22,45,13,29,43,3,7,9,73,35,48,47,24,51,60,59,99,53,27,51,27,13,48,40,40,99,A,4,,,,,,D. Prinosil,T. Johansson,P273,J129,GER,SWE,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS028,R32,01:40:00,,F,2,C270,"6-3,7-6(7)",C. Caratti,G. Pozzi,,,ITA,ITA,6-3,7-6(7),,,,01:40:00,291,/en/stats/leaderboard?page=serve,2,3,63,47,75,62,29,47,75,21,28,67,2,3,11,254,/en/stats/leaderboard?page=serve,,10,45,35,77,80,28,35,40,17,42,75,6,8,10,67,50,75,42,32,77,54,82,152,58,45,77,33,25,75,46,70,152,A,1,7,4,,,,C. Caratti,G. Pozzi,C270,P045,ITA,ITA,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS029,R32,01:08:00,,F,2,B397,"6-4,6-2",B. Black,L. Burgsmuller,,,ZIM,GER,6-4,6-2,,,,01:08:00,260,/en/stats/leaderboard?page=serve,,6,63,29,46,72,21,29,53,9,17,40,2,5,9,174,/en/stats/leaderboard?page=serve,,4,62,41,66,56,23,41,24,6,25,60,9,15,9,65,30,46,56,37,66,60,67,112,44,29,66,35,16,46,40,45,112,A,5,,,False,,,B. Black,L. Burgsmuller,B397,B484,ZIM,GER,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS030,R32,01:48:00,,F,2,D249,"7-6(8),7-6(7)",H. Dreekmann,T. Ketola,,,GER,FIN,7-6(8),7-6(7),,,,01:48:00,277,/en/stats/leaderboard?page=serve,2,7,58,48,83,71,34,48,60,21,35,60,3,5,12,268,/en/stats/leaderboard?page=serve,,12,50,44,88,82,36,44,43,19,44,60,3,5,12,66,55,83,38,33,88,51,88,171,63,55,88,34,28,83,49,83,171,A,2,7,4,,8,6,H. Dreekmann,T. Ketola,D249,K297,GER,FIN,,
329,1998,Tokyo,CS,1998-04-13T00:00:00,1998-04-19T00:00:00,Hard,56,575000,$,MS031,R32,01:08:00,,F,2,C274,"6-4,6-1",M. Chang,J. van Lottum,,,USA,NED,6-4,6-1,,,,01:08:00,285,/en/stats/leaderboard?page=serve,3,10,64,38,59,74,28,38,52,11,21,89,8,9,9,198,/en/stats/leaderboard?page=serve,,1,49,25,51,68,17,25,31,8,26,43,3,7,8,66,39,59,51,26,51,59,65,110,49,25,51,34,20,59,41,45,110,A,1,,,,,,M. Chang,J. van Lottum,C274,V201,USA,NED,,
