event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS001,F,01:25:00,,F,2,M535,"6-3,7-5",F. Mantilla,S. Bruguera,,,ESP,ESP,6-3,7-5,,,,01:25:00,257,/en/stats/leaderboard?page=serve,3,3,45,26,58,65,17,26,66,21,32,0,0,2,11,215,/en/stats/leaderboard?page=serve,1,5,52,35,67,71,25,35,28,9,32,33,2,6,10,66,38,58,49,33,67,57,71,125,51,34,67,34,20,58,43,54,125,A,,,,,,,,,F. Mantilla,S. Bruguera,M535,B350,ESP,ESP,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS002,SF,01:04:00,,F,2,B350,"6-3,6-1",S. Bruguera,A. Martin,,,ESP,ESP,6-3,6-1,,,,01:04:00,282,/en/stats/leaderboard?page=serve,1,1,52,24,46,75,18,24,68,15,22,50,1,2,8,198,/en/stats/leaderboard?page=serve,,1,64,39,61,46,18,39,50,11,22,58,7,12,8,72,33,46,52,32,61,61,65,107,48,29,61,28,13,46,39,42,107,A,False,,,,,,,,S. Bruguera,A. Martin,B350,M590,ESP,ESP,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS003,SF,02:06:00,,F,3,M535,"7-6(7),5-7,6-3",F. Mantilla,C. Moya,,,ESP,ESP,7-6(7),5-7,6-3,,,02:06:00,249,/en/stats/leaderboard?page=serve,5,5,60,53,89,79,42,53,42,15,36,44,4,9,16,215,/en/stats/leaderboard?page=serve,8,2,54,65,121,60,39,65,43,24,56,50,6,12,17,64,57,89,48,58,121,55,115,210,52,63,121,36,32,89,45,95,210,A,,7,5,,,,,,F. Mantilla,C. Moya,M535,M605,ESP,ESP,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS004,QF,01:09:00,,F,2,B350,"6-3,6-4",S. Bruguera,P. Haarhuis,,,ESP,NED,6-3,6-4,,,,01:09:00,292,/en/stats/leaderboard?page=serve,1,4,47,23,49,83,19,23,69,18,26,0,0,1,10,233,/en/stats/leaderboard?page=serve,3,2,52,31,60,71,22,31,45,13,29,40,2,5,9,76,37,49,42,25,60,57,62,109,58,35,60,24,12,49,43,47,109,A,,,,,,,,,S. Bruguera,P. Haarhuis,B350,H223,ESP,NED,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS005,QF,01:30:00,,F,3,M590,"4-6,6-4,6-1",A. Martin,J. Sanchez,,,ESP,ESP,4-6,6-4,6-1,,,01:30:00,296,/en/stats/leaderboard?page=serve,4,2,77,58,75,72,42,58,65,11,17,67,4,6,13,246,/en/stats/leaderboard?page=serve,3,2,64,49,76,73,36,49,41,11,27,43,3,7,13,71,53,75,38,29,76,54,82,151,62,47,76,29,22,75,46,69,151,A,,,,,,,,,A. Martin,J. Sanchez,M590,S015,ESP,ESP,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS006,QF,02:04:00,,F,3,M535,"3-6,6-3,6-4",F. Mantilla,D. Hrbaty,,,ESP,SVK,3-6,6-3,6-4,,,02:04:00,239,/en/stats/leaderboard?page=serve,6,7,57,62,109,61,38,62,49,23,47,82,18,22,14,217,/en/stats/leaderboard?page=serve,9,4,40,33,82,73,24,33,45,22,49,29,2,7,14,56,61,109,44,36,82,51,97,191,56,46,82,44,48,109,49,94,191,A,,,,,,,,,F. Mantilla,D. Hrbaty,M535,H377,ESP,SVK,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS007,QF,01:43:00,,F,3,M605,"1-6,6-3,7-5",C. Moya,A. Portas,,,ESP,ESP,1-6,6-3,7-5,,,01:43:00,216,/en/stats/leaderboard?page=serve,1,2,56,56,100,61,34,56,41,18,44,60,9,15,14,232,/en/stats/leaderboard?page=serve,2,1,70,62,88,60,37,62,46,12,26,33,3,9,14,52,52,100,44,39,88,48,91,188,56,49,88,48,48,100,52,97,188,A,,,,,,,,,C. Moya,A. Portas,M605,P305,ESP,ESP,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS008,R16,00:49:00,,F,2,B350,"6-0,6-1",S. Bruguera,A. Merinov,,,ESP,RUS,6-0,6-1,,,,00:49:00,215,/en/stats/leaderboard?page=serve,,3,62,28,45,71,20,28,65,11,17,,0,,7,142,/en/stats/leaderboard?page=serve,2,0,55,21,38,38,8,21,35,6,17,44,4,9,6,69,31,45,63,24,38,66,55,83,37,14,38,31,14,45,34,28,83,A,,,,False,,,,,S. Bruguera,A. Merinov,B350,M440,ESP,RUS,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS009,R16,00:51:00,,F,2,H223,"6-1,6-3",P. Haarhuis,M. Martelli,,,NED,ITA,6-1,6-3,,,,00:51:00,267,/en/stats/leaderboard?page=serve,1,3,57,27,47,81,22,27,65,13,20,,0,,8,180,/en/stats/leaderboard?page=serve,7,0,40,18,45,56,10,18,41,11,27,20,1,5,8,74,35,47,53,24,45,64,59,92,47,21,45,26,12,47,36,33,92,A,,,,,,,,,P. Haarhuis,M. Martelli,H223,M543,NED,ITA,,
439,1997,Umag,GP,1997-07-21T00:00:00,1997-07-27T00:00:00,Clay,32,375000,$,MS010,R16,01:06:00,,F,2,S015,"6-2,6-4",J. Sanchez,A. Voinea,,,ESP,ROU,6-2,6-4,,,,01:06:00,250,/en/stats/leaderboard?page=serve,2,4,63,38,60,63,24,38,45,10,22,67,4,6,9,191,/en/stats/leaderboard?page=serve,,1,64,30,47,47,14,30,35,6,17,17,1,6,9,57,34,60,57,27,47,57,61,107,43,20,47,43,26,60,43,46,107,A,False,,,,,,,,J. Sanchez,A. Voinea,S015,V166,ESP,ROU,,
