event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS012,R16,01:36:00,,F,2,S544,"6-4,7-6(7)",V. Spadea,D. Rostagno,,,USA,USA,6-4,7-6(7),,,,01:36:00,252,/en/stats/leaderboard?page=serve,,2,55,41,74,71,29,41,52,17,33,3,11,241,/en/stats/leaderboard?page=serve,,8,63,52,82,58,30,52,50,15,30,43,3,7,11,62,46,74,45,37,82,53,83,156,55,45,82,38,28,74,47,73,156,A,50,6,,,1,,,False,7,5,V. Spadea,D. Rostagno,S544,R043,USA,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS013,R16,01:06:00,,F,2,K296,"6-3,6-4",J. Kroslak,J. Grabb,,,SVK,USA,6-3,6-4,,,,01:06:00,285,/en/stats/leaderboard?page=serve,1,1,78,42,54,69,29,42,50,6,12,3,9,229,/en/stats/leaderboard?page=serve,,6,61,35,57,66,23,35,41,9,22,50,4,8,10,65,35,54,44,25,57,54,60,111,56,32,57,35,19,54,46,51,111,A,75,4,,,5,,,,,,J. Kroslak,J. Grabb,K296,G039,SVK,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS014,R16,01:47:00,,F,3,R237,"6-7(5),6-2,6-2",G. Rusedski,L. Roux,,,GBR,FRA,6-7(5),6-2,6-2,,,01:47:00,310,/en/stats/leaderboard?page=serve,2,16,61,49,80,92,45,49,58,18,31,0,14,246,/en/stats/leaderboard?page=serve,,3,61,53,87,75,40,53,41,14,34,33,2,6,14,79,63,80,38,33,87,57,96,167,62,54,87,21,17,80,43,71,167,A,,,5,7,5,,,,,,G. Rusedski,L. Roux,R237,R280,GBR,FRA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS015,R16,00:55:00,,F,2,S402,"6-1,6-3",P. Sampras,N. Marques,,,USA,POR,6-1,6-3,,,,00:55:00,298,/en/stats/leaderboard?page=serve,,6,53,21,40,90,19,21,74,14,19,0,8,212,/en/stats/leaderboard?page=serve,False,2,60,30,50,60,18,30,40,8,20,33,2,6,8,83,33,40,48,24,50,63,57,90,52,26,50,18,7,40,37,33,90,A,,,,,,,,False,,,P. Sampras,N. Marques,S402,M197,USA,POR,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS016,R32,01:00:00,,F,2,A092,"6-2,6-2",A. Agassi,R. Wolters,,,USA,USA,6-2,6-2,,,,01:00:00,270,/en/stats/leaderboard?page=serve,3,4,49,29,59,83,24,29,50,15,30,2,8,169,/en/stats/leaderboard?page=serve,,1,51,25,49,48,12,25,33,8,24,38,3,8,8,66,39,59,59,29,49,63,68,108,41,20,49,34,20,59,37,40,108,A,67,3,,,1,,,,,,A. Agassi,R. Wolters,A092,W255,USA,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS017,R32,01:00:00,,F,2,S403,"6-3,6-3",J. Stark,S. Draper,,,USA,AUS,6-3,6-3,,,,01:00:00,268,/en/stats/leaderboard?page=serve,,7,67,30,45,77,23,30,40,6,15,0,9,207,/en/stats/leaderboard?page=serve,,4,60,33,55,55,18,33,45,10,22,29,2,7,9,64,29,45,49,27,55,56,56,100,51,28,55,36,16,45,44,44,100,A,0,2,,,1,,,False,,,J. Stark,S. Draper,S403,D270,USA,AUS,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS018,R32,01:13:00,,F,2,G354,"6-4,6-2",J. Gimelstob,N. Pereira,,,USA,VEN,6-4,6-2,,,,01:13:00,279,/en/stats/leaderboard?page=serve,,8,46,26,57,85,22,26,52,16,31,2,9,214,/en/stats/leaderboard?page=serve,,2,63,38,60,63,24,38,32,7,22,43,3,7,9,67,38,57,48,29,60,57,67,117,52,31,60,33,19,57,43,50,117,A,67,3,,,1,,,False,,,J. Gimelstob,N. Pereira,G354,P218,USA,VEN,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS019,R32,01:38:00,,F,3,R016,"4-6,6-1,6-0",R. Reneberg,H. Gumy,,,USA,ARG,4-6,6-1,6-0,,,01:38:00,291,/en/stats/leaderboard?page=serve,1,9,57,40,70,75,30,40,60,18,30,1,12,220,/en/stats/leaderboard?page=serve,,0,64,49,76,55,27,49,48,13,27,0,0,5,11,69,48,70,47,36,76,58,84,146,53,40,76,31,22,70,42,62,146,A,50,2,,,1,,,,,,R. Reneberg,H. Gumy,R016,G247,USA,ARG,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS020,R32,01:21:00,,F,2,C274,"6-3,6-2",M. Chang,G. Stafford,,,USA,RSA,6-3,6-2,,,,01:21:00,266,/en/stats/leaderboard?page=serve,1,3,39,24,61,83,20,24,54,20,37,3,9,204,/en/stats/leaderboard?page=serve,,1,63,41,65,49,20,41,42,10,24,73,11,15,8,66,40,61,54,35,65,60,75,126,46,30,65,34,21,61,40,51,126,A,75,4,,,1,,,,,,M. Chang,G. Stafford,C274,S406,USA,RSA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS022,R32,00:59:00,,F,2,S331,"6-4,6-3",J. Stoltenberg,M. Joyce,,,AUS,USA,6-4,6-3,,,,00:59:00,285,/en/stats/leaderboard?page=serve,4,1,60,28,47,82,23,28,58,11,19,1,9,217,/en/stats/leaderboard?page=serve,,3,52,28,54,54,15,28,54,14,26,43,3,7,9,72,34,47,46,25,54,58,59,101,54,29,54,28,13,47,42,42,101,A,50,2,,,1,,,,,,J. Stoltenberg,M. Joyce,S331,J100,AUS,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS023,R32,01:12:00,,F,2,P338,"6-3,6-3",M. Philippoussis,S. Bryan,,,AUS,USA,6-3,6-3,,,,01:12:00,252,/en/stats/leaderboard?page=serve,5,8,60,40,67,75,30,40,37,10,27,6,9,190,/en/stats/leaderboard?page=serve,,0,63,35,56,63,22,35,24,5,21,17,1,6,9,60,40,67,52,29,56,56,69,123,48,27,56,40,27,67,44,54,123,A,75,8,,,4,,,,,,M. Philippoussis,S. Bryan,P338,B401,AUS,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS024,R32,00:20:00,,F,1,S544,3-1,V. Spadea,B. Steven,,,USA,NZL,3-1,,,,,00:20:00,206,/en/stats/leaderboard?page=serve,,1,67,8,12,88,7,8,50,2,4,0,2,250,/en/stats/leaderboard?page=serve,False,0,77,10,13,40,4,10,67,2,3,0,0,1,3,75,9,12,54,7,13,64,16,25,46,6,13,25,3,12,36,9,25,A,0,,,,,,,False,,,V. Spadea,B. Steven,S544,S321,USA,NZL,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS025,R32,01:06:00,,F,2,R043,"6-4,6-4",D. Rostagno,L. Jensen,,,USA,USA,6-4,6-4,,,,01:06:00,286,/en/stats/leaderboard?page=serve,,2,67,38,57,74,28,38,53,10,19,2,10,244,/en/stats/leaderboard?page=serve,,1,67,49,73,65,32,49,42,10,24,63,5,8,10,67,38,57,42,31,73,53,69,130,58,42,73,33,19,57,47,61,130,A,67,3,,,1,,,False,,,D. Rostagno,L. Jensen,R043,J009,USA,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS026,R32,01:53:00,,F,3,G039,"1-6,6-4,7-5",J. Grabb,D. Wheaton,,,USA,USA,1-6,6-4,7-5,,,01:53:00,256,/en/stats/leaderboard?page=serve,4,12,63,54,86,74,40,54,38,12,32,3,15,261,/en/stats/leaderboard?page=serve,,5,63,57,91,67,38,57,53,18,34,67,6,9,14,60,52,86,38,35,91,49,87,177,62,56,91,40,34,86,51,90,177,A,43,7,,,5,,,,,,J. Grabb,D. Wheaton,G039,W123,USA,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS027,R32,01:15:00,,F,2,K296,"6-4,6-3",J. Kroslak,M. Washington,,,SVK,USA,6-4,6-3,,,,01:15:00,256,/en/stats/leaderboard?page=serve,5,6,71,46,65,70,32,46,37,7,19,11,9,215,/en/stats/leaderboard?page=serve,,4,59,40,68,60,24,40,43,12,28,58,7,12,10,60,39,65,47,32,68,53,71,133,53,36,68,40,26,65,47,62,133,A,85,13,,,1,,,,,,J. Kroslak,M. Washington,K296,W124,SVK,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS028,R32,00:49:00,,F,2,R237,"6-1,6-3",G. Rusedski,R. Fromberg,,,GBR,AUS,6-1,6-3,,,,00:49:00,222,/en/stats/leaderboard?page=serve,3,10,68,28,41,93,26,28,54,7,13,0,8,226,/en/stats/leaderboard?page=serve,False,3,67,34,51,53,18,34,53,9,17,43,3,7,8,80,33,41,47,24,51,62,57,92,53,27,51,20,8,41,38,35,92,A,0,,,,,,,,,,G. Rusedski,R. Fromberg,R237,F164,GBR,AUS,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS029,R32,01:53:00,,F,3,R280,"3-6,6-3,6-2",L. Roux,A. O'Brien,,,FRA,USA,3-6,6-3,6-2,,,01:53:00,267,/en/stats/leaderboard?page=serve,1,5,50,38,76,68,26,38,61,23,38,3,13,253,/en/stats/leaderboard?page=serve,,5,69,59,85,66,39,59,46,12,26,64,7,11,13,64,49,76,40,34,85,52,83,161,60,51,85,36,27,76,48,78,161,A,60,5,,,2,,,,,,L. Roux,A. O'Brien,R280,O099,FRA,USA,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS030,R32,01:32:00,,F,2,M197,"6-4,7-6(7)",N. Marques,M. Tebbutt,,,POR,AUS,6-4,7-6(7),,,,01:32:00,299,/en/stats/leaderboard?page=serve,3,4,75,48,64,83,40,48,50,8,16,3,11,261,/en/stats/leaderboard?page=serve,,9,60,58,96,72,42,58,42,16,38,75,6,8,11,75,48,64,40,38,96,54,86,160,60,58,96,25,16,64,46,74,160,A,75,4,,,3,,,,7,5,N. Marques,M. Tebbutt,M197,T195,POR,AUS,,
424,1996,San Jose,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,303000,$,MS031,R32,01:10:00,,F,2,S402,"6-4,6-3",P. Sampras,T. Ho,,,USA,USA,6-4,6-3,,,,01:10:00,269,/en/stats/leaderboard?page=serve,6,11,57,38,67,82,31,38,55,16,29,0,10,275,/en/stats/leaderboard?page=serve,False,10,64,37,58,62,23,37,62,13,21,75,6,8,9,70,47,67,38,22,58,55,69,125,62,36,58,30,20,67,45,56,125,A,,,,,,,,,,,P. Sampras,T. Ho,S402,H251,USA,USA,,
