event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS001,F,01:43:00,,F,2,A203,"6-3,6-4",K. Alami,N. Kulti,,,MAR,SWE,6-3,6-4,,,,01:43:00,266,/en/stats/leaderboard?page=serve,3,9,40,27,68,81,22,27,49,20,41,67,2,3,10,222,/en/stats/leaderboard?page=serve,4,4,49,44,90,57,25,44,50,23,46,73,8,11,9,62,42,68,47,42,90,53,84,158,53,48,90,38,26,68,47,74,158,A,,,,,,,K. Alami,N. Kulti,A203,K181,MAR,SWE,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS002,SF,01:31:00,,F,2,A203,"6-4,6-4",K. Alami,M. Chang,,,MAR,USA,6-4,6-4,,,,01:31:00,255,/en/stats/leaderboard?page=serve,2,4,53,38,72,79,30,38,41,14,34,60,3,5,10,248,/en/stats/leaderboard?page=serve,1,2,79,50,63,54,27,50,54,7,13,56,5,9,10,61,44,72,46,29,63,54,73,135,54,34,63,39,28,72,46,62,135,A,,,,,,,K. Alami,M. Chang,A203,C274,MAR,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS003,SF,02:37:00,,F,3,K181,"6-7(5),7-6(8),6-2",N. Kulti,R. Reneberg,,,SWE,USA,6-7(5),7-6(8),6-2,,,02:37:00,273,/en/stats/leaderboard?page=serve,5,12,53,60,113,68,41,60,58,31,53,50,2,4,16,258,/en/stats/leaderboard?page=serve,5,20,45,57,127,82,47,57,41,29,70,64,7,11,16,64,72,113,40,51,127,51,123,240,60,76,127,36,41,113,49,117,240,A,5,7,8,6,,,N. Kulti,R. Reneberg,K181,R016,SWE,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS004,QF,01:24:00,,F,2,C274,"6-1,7-5",M. Chang,F. Meligeni,,,USA,BRA,6-1,7-5,,,,01:24:00,264,/en/stats/leaderboard?page=serve,2,0,77,50,65,66,33,50,53,8,15,50,3,6,10,172,/en/stats/leaderboard?page=serve,3,4,54,31,57,61,19,31,23,6,26,40,4,10,9,63,41,65,56,32,57,60,73,122,44,25,57,37,24,65,40,49,122,A,,,,,,,M. Chang,F. Meligeni,C274,M443,USA,BRA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS005,QF,01:51:00,,F,3,A203,"2-6,7-6(7),6-2",K. Alami,J. Frana,,,MAR,ARG,2-6,7-6(7),6-2,,,01:51:00,275,/en/stats/leaderboard?page=serve,8,16,63,68,108,76,52,68,43,17,40,71,5,7,14,276,/en/stats/leaderboard?page=serve,2,5,61,54,88,74,40,54,53,18,34,60,3,5,14,64,69,108,34,30,88,51,99,196,66,58,88,36,39,108,49,97,196,A,,,7,4,,,K. Alami,J. Frana,A203,F041,MAR,ARG,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS006,QF,01:38:00,,F,2,K181,"7-6(7),7-6(7)",N. Kulti,V. Spadea,,,SWE,USA,7-6(7),7-6(7),,,,01:38:00,296,/en/stats/leaderboard?page=serve,1,4,56,44,78,84,37,44,62,21,34,80,4,5,12,280,/en/stats/leaderboard?page=serve,2,4,55,45,82,73,33,45,59,22,37,80,4,5,12,74,58,78,33,27,82,53,85,160,67,55,82,26,20,78,47,75,160,A,7,0,7,3,,,N. Kulti,V. Spadea,K181,S544,SWE,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS007,QF,02:09:00,,F,3,R016,"7-6(11),3-6,7-5",R. Reneberg,B. Shelton,,,USA,USA,7-6(11),3-6,7-5,,,02:09:00,274,/en/stats/leaderboard?page=serve,3,9,52,52,100,77,40,52,58,28,48,57,4,7,16,281,/en/stats/leaderboard?page=serve,7,14,65,70,107,70,49,70,57,21,37,63,5,8,17,68,68,100,35,37,107,51,105,207,65,70,107,32,32,100,49,102,207,A,11,9,,,,,R. Reneberg,B. Shelton,R016,S380,USA,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS008,R16,01:02:00,,F,2,C274,"6-1,6-2",M. Chang,M. Tebbutt,,,USA,AUS,6-1,6-2,,,,01:02:00,274,/en/stats/leaderboard?page=serve,1,1,55,21,38,81,17,21,53,9,17,50,1,2,7,168,/en/stats/leaderboard?page=serve,3,10,55,34,62,56,19,34,25,7,28,60,9,15,8,68,26,38,58,36,62,62,62,100,42,26,62,32,12,38,38,38,100,A,,,,,,,M. Chang,M. Tebbutt,C274,T195,USA,AUS,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS009,R16,01:48:00,,F,3,M443,"3-6,6-2,6-2",F. Meligeni,R. Fromberg,,,BRA,AUS,3-6,6-2,6-2,,,01:48:00,279,/en/stats/leaderboard?page=serve,2,2,61,52,85,75,39,52,52,17,33,90,9,10,12,250,/en/stats/leaderboard?page=serve,3,6,55,40,73,75,30,40,48,16,33,56,5,9,13,66,56,85,37,27,73,53,83,158,63,46,73,34,29,85,47,75,158,A,,,,,,,F. Meligeni,R. Fromberg,M443,F164,BRA,AUS,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS010,R16,01:13:00,,F,2,F041,"6-3,6-4",J. Frana,K. Goossens,,,ARG,BEL,6-3,6-4,,,,01:13:00,297,/en/stats/leaderboard?page=serve,1,12,66,42,64,71,30,42,59,13,22,67,2,3,10,236,/en/stats/leaderboard?page=serve,3,1,53,30,57,67,20,30,52,14,27,57,4,7,9,67,43,64,40,23,57,55,66,121,60,34,57,33,21,64,45,55,121,A,,,,,,,J. Frana,K. Goossens,F041,G285,ARG,BEL,,
