event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS011,R16,01:08:00,,F,2,M605,"6-3,6-1",C. Moya,K. Vliegen,,,ESP,BEL,6-3,6-1,,,,01:08:00,274,/en/stats/leaderboard?page=serve,2,1,53,25,47,76,19,25,59,13,22,67,2,3,8,193,/en/stats/leaderboard?page=serve,1,0,63,34,54,44,15,34,50,10,20,44,4,9,8,68,32,47,54,29,54,60,61,101,46,25,54,32,15,47,40,40,101,A,C. Moya,K. Vliegen,M605,V309,ESP,BEL,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS012,R16,01:06:00,,F,2,V254,"6-1,6-1",F. Volandri,G. Garcia-Lopez,,,ITA,ESP,6-1,6-1,,,,01:06:00,245,/en/stats/leaderboard?page=serve,2,1,58,23,40,70,16,23,47,8,17,60,3,5,7,119,/en/stats/leaderboard?page=serve,9,0,58,33,57,45,15,33,25,6,24,46,6,13,7,60,24,40,63,36,57,62,60,97,37,21,57,40,16,40,38,37,97,A,F. Volandri,G. Garcia-Lopez,V254,G476,ITA,ESP,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS013,R16,01:08:00,,F,2,R419,"6-3,6-1",T. Robredo,J. Tipsarevic,,,ESP,SRB,6-3,6-1,,,,01:08:00,286,/en/stats/leaderboard?page=serve,1,2,38,17,45,76,13,17,71,20,28,100,3,3,8,197,/en/stats/leaderboard?page=serve,4,3,35,18,52,72,13,18,41,14,34,33,2,6,8,73,33,45,48,25,52,60,58,97,52,27,52,27,12,45,40,39,97,A,T. Robredo,J. Tipsarevic,R419,T742,ESP,SRB,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS014,R16,01:18:00,,F,2,F316,"6-4,6-2",J. Ferrero,N. Djokovic,,,ESP,SRB,6-4,6-2,,,,01:18:00,273,/en/stats/leaderboard?page=serve,2,0,78,43,55,70,30,43,50,6,12,50,2,4,9,190,/en/stats/leaderboard?page=serve,6,1,60,37,62,59,22,37,32,8,25,67,10,15,9,65,36,55,52,32,62,58,68,117,48,30,62,35,19,55,42,49,117,A,J. Ferrero,N. Djokovic,F316,D643,ESP,SRB,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS015,R16,02:08:00,,F,3,C524,"3-6,6-2,6-1",G. Coria,F. Mantilla,,,ARG,ESP,3-6,6-2,6-1,,,02:08:00,279,/en/stats/leaderboard?page=serve,3,3,69,55,80,67,37,55,60,15,25,67,4,6,12,205,/en/stats/leaderboard?page=serve,4,0,46,42,91,62,26,42,43,21,49,50,5,10,12,65,52,80,48,44,91,56,96,171,52,47,91,35,28,80,44,75,171,A,G. Coria,F. Mantilla,C524,M535,ARG,ESP,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS016,R32,01:32:00,,F,2,D487,"7-5,6-3",L. Dlouhy,A. Martin,,,CZE,ESP,7-5,6-3,,,,01:32:00,241,/en/stats/leaderboard?page=serve,5,2,72,55,76,67,37,55,33,7,21,40,2,5,11,204,/en/stats/leaderboard?page=serve,5,0,60,37,62,59,22,37,40,10,25,38,3,8,10,58,44,76,48,30,62,54,74,138,52,32,62,42,32,76,46,64,138,A,L. Dlouhy,A. Martin,D487,M590,CZE,ESP,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS017,R32,01:04:00,,F,2,BA57,"6-3,6-3",I. Bozoljac,F. Aldi,,,SRB,ITA,6-3,6-3,,,,01:04:00,278,/en/stats/leaderboard?page=serve,2,12,49,27,55,85,23,27,46,13,28,83,5,6,9,231,/en/stats/leaderboard?page=serve,2,1,76,37,49,59,22,37,42,5,12,33,2,6,9,65,36,55,45,22,49,56,58,104,55,27,49,35,19,55,44,46,104,A,I. Bozoljac,F. Aldi,BA57,A340,SRB,ITA,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS018,R32,00:40:00,,F,2,P305,"6-1,6-0",A. Portas,J. Vanek,,,ESP,CZE,6-1,6-0,,,,00:40:00,312,/en/stats/leaderboard?page=serve,3,6,58,22,38,82,18,22,69,11,16,100,1,1,7,129,/en/stats/leaderboard?page=serve,0,1,71,22,31,41,9,22,0,0,9,29,2,7,6,76,29,38,71,22,31,74,51,69,29,9,31,24,9,38,26,18,69,A,A. Portas,J. Vanek,P305,V207,ESP,CZE,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS019,R32,01:01:00,,F,2,N254,"6-3,6-3",J. Novak,A. Montanes,,,CZE,ESP,6-3,6-3,,,,01:01:00,313,/en/stats/leaderboard?page=serve,0,6,69,33,48,85,28,33,53,8,15,0,0,0,9,231,/en/stats/leaderboard?page=serve,3,3,62,38,61,68,26,38,35,8,23,70,7,10,9,75,36,48,44,27,61,58,63,109,56,34,61,25,12,48,42,46,109,A,J. Novak,A. Montanes,N254,M824,CZE,ESP,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS020,R32,01:53:00,,F,3,F401,"6-3,3-6,6-2",D. Ferrer,P. Starace,,,ESP,ITA,6-3,3-6,6-2,,,01:53:00,258,/en/stats/leaderboard?page=serve,3,1,67,54,81,65,35,54,52,14,27,50,3,6,13,229,/en/stats/leaderboard?page=serve,1,0,71,63,89,60,38,63,38,10,26,62,8,13,13,60,49,81,46,41,89,53,90,170,54,48,89,40,32,81,47,80,170,A,D. Ferrer,P. Starace,F401,S843,ESP,ITA,,
