event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,servicegamesplayed_isstatbetter_tot_winner,servicegamesplayed_isstatbetter_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS011,R16,02:10:00,,F,4,K148,"6-4,6-4,3-6,6-3",P. Korda,C. Pioline,,,CZE,FRA,6-4,6-4,3-6,6-3,,02:10:00,298,/en/stats/leaderboard?page=serve,4,14,68,79.0,117,81,64.0,79.0,55,21.0,38.0,63,5,8,19,268,/en/stats/leaderboard?page=serve,,4,74,82.0,111,65,53.0,82.0,52,15.0,29.0,38,3,8.0,19,73,85,117,39,43,111,56,128,228,61,68,111,27,32,117,44,100,228,A,,,,,,False,,,,,,,P. Korda,C. Pioline,K148,P226,CZE,FRA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS012,R16,02:16:00,,F,3,E140,"7-6(7),6-3,6-2",N. Escude,T. Woodbridge,,,FRA,AUS,7-6(7),6-3,6-2,,,02:16:00,284,/en/stats/leaderboard?page=serve,,2,60,69.0,115,72,50.0,69.0,57,26.0,46.0,89,8,9,15,238,/en/stats/leaderboard?page=serve,5,5,55,63.0,114,65,41.0,63.0,47,24.0,51.0,64,7,11.0,14,66,76,115,43,49,114,55,125,229,57,65,114,34,39,115,45,104,229,A,False,,,7,4,,,,,,,,N. Escude,T. Woodbridge,E140,W136,FRA,AUS,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS013,R16,01:46:00,,F,3,K316,"6-3,6-4,7-5",N. Kiefer,G. Raoux,,,GER,FRA,6-3,6-4,7-5,,,01:46:00,274,/en/stats/leaderboard?page=serve,8,13,47,55.0,117,85,47.0,55.0,50,31.0,62.0,67,4,6,16,261,/en/stats/leaderboard?page=serve,,1,76,62.0,82,68,42.0,62.0,50,10.0,20.0,58,7,12.0,15,67,78,117,37,30,82,54,108,199,63,52,82,33,39,117,46,91,199,A,,,,,,False,,,,,,,N. Kiefer,G. Raoux,K316,R186,GER,FRA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS014,R16,02:20:00,,F,4,R286,"6-2,4-6,6-2,6-4",M. Rios,L. Roux,,,CHI,FRA,6-2,4-6,6-2,6-4,,02:20:00,307,/en/stats/leaderboard?page=serve,,6,57,54.0,95,80,43.0,54.0,76,31.0,41.0,33,1,3,18,240,/en/stats/leaderboard?page=serve,7,13,57,80.0,141,75,60.0,80.0,36,22.0,61.0,50,6,12.0,18,78,74,95,42,59,141,56,133,236,58,82,141,22,21,95,44,103,236,A,False,,,,,,,,,,,,M. Rios,L. Roux,R286,R280,CHI,FRA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS015,R16,02:31:00,,F,5,B428,"3-6,3-6,6-2,6-3,6-3",A. Berasategui,A. Agassi,,,ESP,USA,3-6,3-6,6-2,6-3,6-3,02:31:00,259,/en/stats/leaderboard?page=serve,2,4,78,113.0,145,60,68.0,113.0,47,15.0,32.0,63,10,16,22,242,/en/stats/leaderboard?page=serve,1,3,74,108.0,146,64,69.0,108.0,39,15.0,38.0,43,6,14.0,22,57,83,145,42,62,146,50,145,291,58,84,146,43,62,145,50,146,291,A,,,,,,,,,,,,,A. Berasategui,A. Agassi,B428,A092,ESP,USA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS016,R32,01:45:00,,F,3,S402,"7-5,6-3,6-4",P. Sampras,M. Gustafsson,,,USA,SWE,7-5,6-3,6-4,,,01:45:00,319,/en/stats/leaderboard?page=serve,2,16,66,71.0,108,87,62.0,71.0,59,22.0,37.0,,0,,16,272,/en/stats/leaderboard?page=serve,3,6,61,57.0,94,77,44.0,57.0,51,19.0,37.0,63,5,8.0,15,78,84,108,33,31,94,57,115,202,67,63,94,22,24,108,43,87,202,A,,,,,,,,,,,,,P. Sampras,M. Gustafsson,S402,G182,USA,SWE,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS017,R32,03:12:00,,F,5,A226,"4-6,6-4,3-6,6-2,6-1",H. Arazi,F. Clavet,,,MAR,ESP,4-6,6-4,3-6,6-2,6-1,03:12:00,239,/en/stats/leaderboard?page=serve,4,7,58,107.0,185,65,70.0,107.0,45,35.0,78.0,77,24,31,22,219,/en/stats/leaderboard?page=serve,5,4,59,85.0,145,60,51.0,85.0,47,28.0,60.0,38,6,16.0,22,57,105,185,46,66,145,52,171,330,54,79,145,43,80,185,48,159,330,A,,,,,,,,,,,,,H. Arazi,F. Clavet,A226,C252,MAR,ESP,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS018,R32,01:40:00,,F,3,K237,"6-2,7-6(7),6-1",K. Kucera,D. Nestor,,,SVK,CAN,6-2,7-6(7),6-1,,,01:40:00,278,/en/stats/leaderboard?page=serve,7,10,64,69.0,108,80,55.0,69.0,46,18.0,39.0,82,9,11,14,210,/en/stats/leaderboard?page=serve,5,3,56,53.0,95,58,31.0,53.0,45,19.0,42.0,45,5,11.0,13,68,73,108,47,45,95,58,118,203,53,50,95,32,35,108,42,85,203,A,,,,,,,7,3,,,,,K. Kucera,D. Nestor,K237,N210,SVK,CAN,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS019,R32,02:10:00,,F,4,F164,"6-0,6-2,4-6,6-3",R. Fromberg,S. Lareau,,,AUS,CAN,6-0,6-2,4-6,6-3,,02:10:00,299,/en/stats/leaderboard?page=serve,3,11,62,73.0,117,85,62.0,73.0,50,22.0,44.0,80,4,5,17,234,/en/stats/leaderboard?page=serve,4,4,70,69.0,98,64,44.0,69.0,38,11.0,29.0,40,4,10.0,16,72,84,117,44,43,98,59,127,215,56,55,98,28,33,117,41,88,215,A,,,,,,,,,,,,,R. Fromberg,S. Lareau,F164,L226,AUS,CAN,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS020,R32,01:51:00,,F,3,B446,"7-5,6-3,6-4",J. Bjorkman,F. Santoro,,,SWE,FRA,7-5,6-3,6-4,,,01:51:00,279,/en/stats/leaderboard?page=serve,2,3,67,61.0,91,77,47.0,61.0,53,16.0,30.0,57,4,7,16,221,/en/stats/leaderboard?page=serve,2,4,54,60.0,111,58,35.0,60.0,47,24.0,51.0,40,4,10.0,15,69,63,91,47,52,111,57,115,202,53,59,111,31,28,91,43,87,202,A,,,,,,,,,,,,,J. Bjorkman,F. Santoro,B446,S424,SWE,FRA,,
