event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set5_winner,tiebreak_set5_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS001,F,03:56:00,,F,5,K237,"6-4,7-6(12),4-6,4-6,7-6(7)",K. Kucera,T. Henman,,,SVK,GBR,6-4,7-6(12),4-6,4-6,7-6(7),03:56:00,12,10,7,2,274,/en/stats/leaderboard?page=serve,7,19,54,102,188,80,82,102,47,40,86,64,9,14,27,278,/en/stats/leaderboard?page=serve,10,17,55,96,173,78,75,96,53,41,77,56,5,9,27,65,122,188,33,57,173,50,179,361,67,116,173,35,66,188,50,182,361,A,,,,,K. Kucera,T. Henman,K237,H336,SVK,GBR,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS002,SF,01:20:00,,F,2,K237,"6-4,6-3",K. Kucera,N. Kiefer,,,SVK,GER,6-4,6-3,,,,01:20:00,,,,,314,/en/stats/leaderboard?page=serve,2,8,64,32,50,94,30,32,50,9,18,100,2,2,9,243,/en/stats/leaderboard?page=serve,1,4,57,38,67,61,23,38,52,15,29,57,4,7,10,78,39,50,43,29,67,58,68,117,57,38,67,22,11,50,42,49,117,A,,,,,K. Kucera,N. Kiefer,K237,K316,SVK,GER,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS003,SF,00:57:00,,F,2,H336,"6-3,6-4",T. Henman,G. Ivanisevic,,,GBR,CRO,6-3,6-4,,,,00:57:00,,,,,333,/en/stats/leaderboard?page=serve,0,8,56,27,48,93,25,27,76,16,21,100,1,1,10,259,/en/stats/leaderboard?page=serve,2,8,67,35,52,74,26,35,35,6,17,33,1,3,9,85,41,48,38,20,52,61,61,100,62,32,52,15,7,48,39,39,100,A,,,,,T. Henman,G. Ivanisevic,H336,I034,GBR,CRO,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS004,QF,01:34:00,,F,2,K237,"6-4,7-5",K. Kucera,A. Agassi,,,SVK,USA,6-4,7-5,,,,01:34:00,,,,,276,/en/stats/leaderboard?page=serve,0,4,56,44,79,66,29,44,60,21,35,80,4,5,11,251,/en/stats/leaderboard?page=serve,1,1,56,37,66,78,29,37,45,13,29,0,0,3,11,63,50,79,36,24,66,51,74,145,64,42,66,37,29,79,49,71,145,A,,,,,K. Kucera,A. Agassi,K237,A092,SVK,USA,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS005,QF,01:58:00,,F,3,K316,"2-6,7-6(7),6-3",N. Kiefer,G. Rusedski,,,GER,GBR,2-6,7-6(7),6-3,,,01:58:00,7,4,,,263,/en/stats/leaderboard?page=serve,4,6,46,42,92,81,34,42,54,27,50,50,3,6,15,286,/en/stats/leaderboard?page=serve,6,20,52,43,82,84,36,43,51,20,39,33,1,3,14,66,61,92,32,26,82,50,87,174,68,56,82,34,31,92,50,87,174,A,,,,,N. Kiefer,G. Rusedski,K316,R237,GER,GBR,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS006,QF,01:24:00,,F,2,H336,"6-3,7-5",T. Henman,R. Federer,,,GBR,SUI,6-3,7-5,,,,01:24:00,,,,,288,/en/stats/leaderboard?page=serve,1,8,69,45,65,71,32,45,60,12,20,33,1,3,11,235,/en/stats/leaderboard?page=serve,3,2,68,54,79,52,28,54,56,14,25,60,6,10,10,68,44,65,47,37,79,56,81,144,53,42,79,32,21,65,44,63,144,A,,,,,T. Henman,R. Federer,H336,F324,GBR,SUI,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS007,QF,01:28:00,,F,3,I034,"4-6,6-3,6-4",G. Ivanisevic,Y. Kafelnikov,,,CRO,RUS,4-6,6-3,6-4,,,01:28:00,,,,,303,/en/stats/leaderboard?page=serve,5,29,62,50,81,86,43,50,45,14,31,0,0,2,15,267,/en/stats/leaderboard?page=serve,2,12,55,47,85,77,36,47,47,18,38,57,4,7,14,70,57,81,36,31,85,53,88,166,64,54,85,30,24,81,47,78,166,A,,,,,G. Ivanisevic,Y. Kafelnikov,I034,K267,CRO,RUS,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS016,R32,01:02:00,,F,2,A092,"6-3,6-4",A. Agassi,J. Siemerink,,,USA,NED,6-3,6-4,,,,01:02:00,,,,,319,/en/stats/leaderboard?page=serve,1,7,62,29,47,90,26,29,61,11,18,0,0,0,9,249,/en/stats/leaderboard?page=serve,3,5,52,28,54,75,21,28,50,13,26,0,0,3,10,79,37,47,37,20,54,56,57,101,63,34,54,21,10,47,44,44,101,A,,,,,A. Agassi,J. Siemerink,A092,S381,USA,NED,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS017,R32,01:15:00,,F,2,E140,"6-2,6-3",N. Escude,R. Schuettler,,,FRA,GER,6-2,6-3,,,,01:15:00,,,,,280,/en/stats/leaderboard?page=serve,1,2,60,34,57,62,21,34,70,16,23,80,4,5,8,202,/en/stats/leaderboard?page=serve,1,1,58,35,60,60,21,35,40,10,25,50,5,10,9,65,37,57,48,29,60,56,66,117,52,31,60,35,20,57,44,51,117,A,,,,,N. Escude,R. Schuettler,E140,S636,FRA,GER,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS018,R32,01:18:00,,F,2,K237,"7-5,6-3",K. Kucera,T. Johansson,,,SVK,SWE,7-5,6-3,,,,01:18:00,,,,,320,/en/stats/leaderboard?page=serve,2,10,61,36,59,86,31,36,65,15,23,100,2,2,11,268,/en/stats/leaderboard?page=serve,3,10,48,29,61,86,25,29,47,15,32,50,2,4,10,78,46,59,34,21,61,56,67,120,66,40,61,22,13,59,44,53,120,A,,,,,K. Kucera,T. Johansson,K237,J129,SVK,SWE,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS019,R32,01:32:00,,F,3,A226,"6-3,3-6,6-3",H. Arazi,N. Lapentti,,,MAR,ECU,6-3,3-6,6-3,,,01:32:00,,,,,295,/en/stats/leaderboard?page=serve,4,13,59,48,82,85,41,48,50,17,34,83,5,6,14,295,/en/stats/leaderboard?page=serve,1,4,71,54,76,69,37,54,68,15,22,71,5,7,13,71,58,82,32,24,76,52,82,158,68,52,76,29,24,82,48,76,158,A,,,,,H. Arazi,N. Lapentti,A226,L290,MAR,ECU,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS020,R32,01:30:00,,F,2,R237,"7-6(7),6-2",G. Rusedski,F. Santoro,,,GBR,FRA,7-6(7),6-2,,,,01:30:00,,,,,299,/en/stats/leaderboard?page=serve,4,9,43,29,67,90,26,29,61,23,38,100,3,3,10,264,/en/stats/leaderboard?page=serve,0,1,65,47,72,62,29,47,56,14,25,71,5,7,10,73,49,67,40,29,72,56,78,139,60,43,72,27,18,67,44,61,139,A,7,3,,,G. Rusedski,F. Santoro,R237,S424,GBR,FRA,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS021,R32,00:43:00,,F,2,H377,"6-2,6-0",D. Hrbaty,A. Pavel,,,SVK,ROU,6-2,6-0,,,,00:43:00,,,,,302,/en/stats/leaderboard?page=serve,2,8,62,31,50,81,25,31,53,10,19,100,2,2,7,171,/en/stats/leaderboard?page=serve,4,2,63,26,41,42,11,26,40,6,15,0,0,5,7,70,35,50,59,24,41,65,59,91,41,17,41,30,15,50,35,32,91,A,,,,,D. Hrbaty,A. Pavel,H377,P280,SVK,ROU,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS022,R32,01:09:00,,F,2,N254,"6-4,6-4",J. Novak,D. Vacek,,,CZE,CZE,6-4,6-4,,,,01:09:00,,,,,308,/en/stats/leaderboard?page=serve,2,5,64,38,59,79,30,38,62,13,21,100,1,1,10,255,/en/stats/leaderboard?page=serve,2,0,48,28,58,79,22,28,50,15,30,33,1,3,10,73,43,59,36,21,58,55,64,117,64,37,58,27,16,59,45,53,117,A,,,,,J. Novak,D. Vacek,N254,V141,CZE,CZE,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS023,R32,01:09:00,,F,2,K316,"6-1,6-4",N. Kiefer,M. Larsson,,,GER,SWE,6-1,6-4,,,,01:09:00,,,,,290,/en/stats/leaderboard?page=serve,4,6,55,33,60,85,28,33,48,13,27,100,4,4,9,247,/en/stats/leaderboard?page=serve,1,6,67,30,45,60,18,30,53,8,15,0,0,3,8,68,41,60,42,19,45,57,60,105,58,26,45,32,19,60,43,45,105,A,,,,,N. Kiefer,M. Larsson,K316,L206,GER,SWE,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS024,R32,01:12:00,,F,2,P395,"7-5,6-4",A. Popp,I. Kornienko,,,GER,RUS,7-5,6-4,,,,01:12:00,,,,,288,/en/stats/leaderboard?page=serve,3,9,72,49,68,88,43,49,32,6,19,75,3,4,11,241,/en/stats/leaderboard?page=serve,4,1,55,36,65,69,25,36,48,14,29,25,1,4,11,72,49,68,40,26,65,56,75,133,60,39,65,28,19,68,44,58,133,A,,,,,A. Popp,I. Kornienko,P395,K284,GER,RUS,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS025,R32,01:36:00,,F,3,F324,"6-2,3-6,6-4",R. Federer,M. Damm,,,SUI,CZE,6-2,3-6,6-4,,,01:36:00,,,,,274,/en/stats/leaderboard?page=serve,1,4,57,45,79,76,34,45,53,18,34,50,2,4,14,257,/en/stats/leaderboard?page=serve,2,3,48,32,67,72,23,32,60,21,35,0,0,3,13,66,52,79,34,23,67,51,75,146,66,44,67,34,27,79,49,71,146,A,,,,,R. Federer,M. Damm,F324,D214,SUI,CZE,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS026,R32,01:58:00,,F,3,M475,"2-6,6-4,7-6(7)",A. Medvedev,M. Safin,,,UKR,RUS,2-6,6-4,7-6(7),,,01:58:00,,,,,249,/en/stats/leaderboard?page=serve,6,6,60,71,119,70,50,71,46,22,48,56,5,9,15,251,/en/stats/leaderboard?page=serve,9,14,47,53,112,75,40,53,44,26,59,73,8,11,15,61,72,119,41,46,112,51,118,231,59,66,112,39,47,119,49,113,231,A,,,7,2,A. Medvedev,M. Safin,M475,S741,UKR,RUS,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS027,R32,02:01:00,,F,3,H336,"5-7,6-2,6-2",T. Henman,G. Bastl,,,GBR,SUI,5-7,6-2,6-2,,,02:01:00,,,,,292,/en/stats/leaderboard?page=serve,0,10,59,44,75,86,38,44,52,16,31,60,3,5,14,237,/en/stats/leaderboard?page=serve,3,4,62,63,101,57,36,63,53,20,38,62,8,13,14,72,54,75,45,45,101,56,99,176,55,56,101,28,21,75,44,77,176,A,,,,,T. Henman,G. Bastl,H336,B503,GBR,SUI,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS028,R32,01:40:00,,F,3,I034,"6-4,4-6,7-5",G. Ivanisevic,T. Enqvist,,,CRO,SWE,6-4,4-6,7-5,,,01:40:00,,,,,273,/en/stats/leaderboard?page=serve,10,28,54,56,103,86,48,56,34,16,47,50,3,6,16,263,/en/stats/leaderboard?page=serve,7,14,65,60,92,78,47,60,38,12,32,43,3,7,16,62,64,103,36,33,92,50,97,195,64,59,92,38,39,103,50,98,195,A,,,,,G. Ivanisevic,T. Enqvist,I034,E113,CRO,SWE,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS029,R32,01:33:00,,F,3,W212,"3-6,6-2,6-2",C. Woodruff,S. Koubek,,,USA,AUT,3-6,6-2,6-2,,,01:33:00,,,,,275,/en/stats/leaderboard?page=serve,3,5,67,51,76,67,34,51,56,14,25,60,3,5,12,222,/en/stats/leaderboard?page=serve,7,2,62,58,93,67,39,58,37,13,35,50,5,10,13,63,48,76,44,41,93,53,89,169,56,52,93,37,28,76,47,80,169,A,,,,,C. Woodruff,S. Koubek,W212,K310,USA,AUT,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS030,R32,02:19:00,,F,3,R280,"7-5,3-6,7-6(7)",L. Roux,L. Manta,,,FRA,SUI,7-5,3-6,7-6(7),,,02:19:00,,,,,299,/en/stats/leaderboard?page=serve,2,10,59,64,108,80,51,64,59,26,44,86,6,7,16,301,/en/stats/leaderboard?page=serve,3,20,51,53,103,83,44,53,56,28,50,50,1,2,17,71,77,108,30,31,103,51,108,211,70,72,103,29,31,108,49,103,211,A,,,7,2,L. Roux,L. Manta,R280,M551,FRA,SUI,,
328,1999,Basel,WS,1999-10-04T00:00:00,1999-10-10T00:00:00,Carpet,32,975000,$,MS031,R32,01:15:00,,F,2,K267,"6-3,7-5",Y. Kafelnikov,V. Spadea,,,RUS,USA,6-3,7-5,,,,01:15:00,,,,,276,/en/stats/leaderboard?page=serve,2,10,61,40,66,80,32,40,46,12,26,50,2,4,11,219,/en/stats/leaderboard?page=serve,3,4,53,32,60,59,19,32,46,13,28,20,1,5,10,67,44,66,47,28,60,57,72,126,53,32,60,33,22,66,43,54,126,A,,,,,Y. Kafelnikov,V. Spadea,K267,S544,RUS,USA,,
