event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS001,F,01:17:00,,F,2,N250,"7-5,6-2",M. Norman,J. Marin,,,SWE,CRC,7-5,6-2,,,,01:17:00,270,/en/stats/leaderboard?page=serve,1,7,53,28,53,75,21,28,56,14,25,0,0,2,10,209,/en/stats/leaderboard?page=serve,2,1,50,30,60,63,19,30,47,14,30,29,2,7,10,66,35,53,45,27,60,55,62,113,55,33,60,34,18,53,45,51,113,A,,,,,,,,,M. Norman,J. Marin,N250,M578,SWE,CRC,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS002,SF,01:41:00,,F,2,N250,"7-5,6-3",M. Norman,C. Costa,,,SWE,ESP,7-5,6-3,,,,01:41:00,260,/en/stats/leaderboard?page=serve,2,8,45,30,66,70,21,30,58,21,36,50,2,4,11,229,/en/stats/leaderboard?page=serve,1,2,61,43,71,53,23,43,54,15,28,43,3,7,10,64,42,66,46,33,71,55,75,137,54,38,71,36,24,66,45,62,137,A,,,,,,,,,M. Norman,C. Costa,N250,C179,SWE,ESP,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS003,SF,01:38:00,,F,2,M578,"7-6(7),6-3",J. Marin,K. Kucera,,,CRC,SVK,7-6(7),6-3,,,,01:38:00,240,/en/stats/leaderboard?page=serve,2,1,57,43,76,67,29,43,45,15,33,50,3,6,11,192,/en/stats/leaderboard?page=serve,13,4,44,32,72,69,22,32,28,11,40,43,3,7,10,58,44,76,54,39,72,56,83,148,46,33,72,42,32,76,44,65,148,A,7,4,,,,,,,J. Marin,K. Kucera,M578,K237,CRC,SVK,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS004,QF,01:01:00,,F,2,C179,"6-2,6-3",C. Costa,P. Fredriksson,,,ESP,SWE,6-2,6-3,,,,01:01:00,222,/en/stats/leaderboard?page=serve,2,6,50,19,38,100,19,19,68,13,19,0,0,,8,215,/en/stats/leaderboard?page=serve,5,1,56,35,63,51,18,35,57,16,28,33,2,6,9,84,32,38,46,29,63,60,61,101,54,34,63,,0,,,0,,A,,,,,,,,,C. Costa,P. Fredriksson,C179,F278,ESP,SWE,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS005,QF,00:58:00,,F,2,N250,"6-2,6-3",M. Norman,J. Tarango,,,SWE,USA,6-2,6-3,,,,00:58:00,213,/en/stats/leaderboard?page=serve,1,10,60,26,43,85,22,26,59,10,17,0,0,,8,217,/en/stats/leaderboard?page=serve,5,2,58,34,59,59,20,34,48,12,25,60,6,10,9,74,32,43,46,27,59,58,59,102,54,32,59,26,11,43,42,43,102,A,,,,,,,,,M. Norman,J. Tarango,N250,T136,SWE,USA,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS006,QF,00:38:00,,F,1,K237,6-4,K. Kucera,M. Larsson,,,SVK,SWE,6-4,,,,,00:38:00,251,/en/stats/leaderboard?page=serve,4,2,41,11,27,82,9,11,50,8,16,0,0,1,5,240,/en/stats/leaderboard?page=serve,1,0,68,19,28,63,12,19,44,4,9,0,0,2,6,63,17,27,43,12,28,53,29,55,57,16,28,37,10,27,47,26,55,A,,,,,,,,,K. Kucera,M. Larsson,K237,L206,SVK,SWE,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS007,QF,01:03:00,,F,2,M578,"6-2,6-1",J. Marin,T. Nydahl,,,CRC,SWE,6-2,6-1,,,,01:03:00,209,/en/stats/leaderboard?page=serve,,3,50,18,36,89,16,18,67,12,18,0,0,,7,182,/en/stats/leaderboard?page=serve,4,2,72,41,57,56,23,41,19,3,16,50,5,10,8,78,28,36,54,31,57,63,59,93,46,26,57,22,8,36,37,34,93,A,,,False,,,,,,J. Marin,T. Nydahl,M578,N099,CRC,SWE,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS008,R16,01:20:00,,F,2,F278,"6-4,6-3",P. Fredriksson,M. Sarstrand,,,SWE,SWE,6-4,6-3,,,,01:20:00,233,/en/stats/leaderboard?page=serve,4,0,63,38,60,63,24,38,45,10,22,67,6,9,9,189,/en/stats/leaderboard?page=serve,3,5,52,40,77,60,24,40,35,13,37,33,3,9,10,57,34,60,52,40,77,54,74,137,48,37,77,43,26,60,46,63,137,A,,,,,,,,,P. Fredriksson,M. Sarstrand,F278,S751,SWE,SWE,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS009,R16,01:14:00,,F,2,C179,"6-3,6-4",C. Costa,M. Craca,,,ESP,GER,6-3,6-4,,,,01:14:00,243,/en/stats/leaderboard?page=serve,1,4,61,46,75,61,28,46,48,14,29,63,5,8,10,205,/en/stats/leaderboard?page=serve,,0,69,34,49,59,20,34,33,5,15,38,3,8,9,56,42,75,49,24,49,53,66,124,51,25,49,44,33,75,47,58,124,A,,,,False,,,,,C. Costa,M. Craca,C179,C439,ESP,GER,,
316,1997,Bastad,GP,1997-07-07T00:00:00,1997-07-13T00:00:00,Clay,32,303000,$,MS010,R16,02:26:00,,F,3,N250,"6-3,3-6,7-6(7)",M. Norman,A. Voinea,,,SWE,ROU,6-3,3-6,7-6(7),,,02:26:00,212,/en/stats/leaderboard?page=serve,3,6,50,56,111,57,32,56,49,27,55,61,11,18,15,200,/en/stats/leaderboard?page=serve,6,5,49,53,108,57,30,53,42,23,55,42,5,12,15,53,59,111,51,55,108,52,114,219,49,53,108,47,52,111,48,105,219,A,,,,,7,3,,,M. Norman,A. Voinea,N250,V166,SWE,ROU,,
