event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS011,R16,00:56:00,,F,2,S741,"6-3,6-2",M. Safin,R. Wassen,,,RUS,NED,6-3,6-2,,,,00:56:00,279,/en/stats/leaderboard?page=serve,4,11,46,26,56,81,21,26,57,17,30,67,2,3,9,186,/en/stats/leaderboard?page=serve,5,3,36,18,50,61,11,18,41,13,32,56,5,9,8,68,38,56,52,26,50,60,64,106,48,24,50,32,18,56,40,42,106,A,,,,,,,,M. Safin,R. Wassen,S741,W224,RUS,NED,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS012,R16,02:04:00,,F,3,B305,"6-4,6-7(6),6-3",K. Braasch,M. Rosset,,,GER,SUI,6-4,6-7(6),6-3,,,02:04:00,241,/en/stats/leaderboard?page=serve,5,8,58,70,121,77,54,70,53,27,51,,0,,16,282,/en/stats/leaderboard?page=serve,9,16,51,45,88,87,39,45,51,22,43,33,1,3,15,67,81,121,31,27,88,52,108,209,69,61,88,33,40,121,48,101,209,A,,,,,6,8,,K. Braasch,M. Rosset,B305,R214,GER,SUI,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS013,R16,01:33:00,,F,2,E140,"6-4,7-6(9)",N. Escude,S. Schalken,,,FRA,NED,6-4,7-6(9),,,,01:33:00,283,/en/stats/leaderboard?page=serve,4,8,52,43,83,84,36,43,53,21,40,75,3,4,11,261,/en/stats/leaderboard?page=serve,3,2,53,42,80,81,34,42,47,18,38,60,3,5,11,69,57,83,35,28,80,52,85,163,65,52,80,31,26,83,48,78,163,A,,,,,9,7,,N. Escude,S. Schalken,E140,S572,FRA,NED,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS014,R16,02:02:00,,F,3,P235,"2-6,7-6(7),6-3",S. Pescosolido,H. Levy,,,ITA,ISR,2-6,7-6(7),6-3,,,02:02:00,252,/en/stats/leaderboard?page=serve,6,7,53,47,89,77,36,47,50,21,42,71,10,14,14,238,/en/stats/leaderboard?page=serve,7,6,48,50,104,72,36,50,46,25,54,56,5,9,15,64,57,89,41,43,104,52,100,193,59,61,104,36,32,89,48,93,193,A,,,,,7,1,,S. Pescosolido,H. Levy,P235,L336,ITA,ISR,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS015,R16,01:05:00,,F,2,H336,"6-4,6-1",T. Henman,E. Ran,,,GBR,ISR,6-4,6-1,,,,01:05:00,263,/en/stats/leaderboard?page=serve,3,8,49,24,49,92,22,24,40,10,25,33,1,3,9,182,/en/stats/leaderboard?page=serve,,0,61,37,61,51,19,37,33,8,24,55,6,11,8,65,32,49,56,34,61,60,66,110,44,27,61,35,17,49,40,44,110,A,,,,,,,False,T. Henman,E. Ran,H336,R243,GBR,ISR,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS016,R32,01:04:00,,F,2,K267,"6-4,6-2",Y. Kafelnikov,M. Sinner,,,RUS,GER,6-4,6-2,,,,01:04:00,271,/en/stats/leaderboard?page=serve,2,9,36,21,58,86,18,21,54,20,37,83,5,6,9,211,/en/stats/leaderboard?page=serve,3,6,38,18,47,67,12,18,48,14,29,33,2,6,9,66,38,58,45,21,47,56,59,105,55,26,47,34,20,58,44,46,105,A,,,,,,,,Y. Kafelnikov,M. Sinner,K267,S367,RUS,GER,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS017,R32,01:37:00,,F,3,N101,"3-6,6-2,6-3",D. Nainkin,L. Roux,,,RSA,FRA,3-6,6-2,6-3,,,01:37:00,271,/en/stats/leaderboard?page=serve,6,6,55,45,82,64,29,45,68,25,37,75,6,8,13,237,/en/stats/leaderboard?page=serve,5,3,52,39,75,74,29,39,44,16,36,33,2,6,13,66,54,82,40,30,75,54,84,157,60,45,75,34,28,82,46,73,157,A,,,,,,,,D. Nainkin,L. Roux,N101,R280,RSA,FRA,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS018,R32,01:34:00,,F,3,E138,"2-6,6-4,7-5",G. Etlis,N. Godwin,,,ARG,RSA,2-6,6-4,7-5,,,01:34:00,270,/en/stats/leaderboard?page=serve,5,6,63,50,80,76,38,50,50,15,30,0,0,3,15,251,/en/stats/leaderboard?page=serve,8,3,50,43,86,79,34,43,47,20,43,57,4,7,15,66,53,80,37,32,86,51,85,166,63,54,86,34,27,80,49,81,166,A,,,,,,,,G. Etlis,N. Godwin,E138,G288,ARG,RSA,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS019,R32,01:47:00,,F,3,V211,"6-4,4-6,6-4",V. Voltchkov,D. Prinosil,,,BLR,GER,6-4,4-6,6-4,,,01:47:00,293,/en/stats/leaderboard?page=serve,3,11,56,52,93,75,39,52,61,25,41,80,4,5,15,271,/en/stats/leaderboard?page=serve,11,17,53,53,100,79,42,53,47,22,47,50,2,4,15,69,64,93,36,36,100,52,100,193,64,64,100,31,29,93,48,93,193,A,,,,,,,,V. Voltchkov,D. Prinosil,V211,P273,BLR,GER,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS020,R32,01:10:00,,F,2,P226,"6-3,6-3",C. Pioline,V. Kutsenko,,,FRA,RUS,6-3,6-3,,,,01:10:00,277,/en/stats/leaderboard?page=serve,5,7,63,33,52,88,29,33,58,11,19,,0,,9,229,/en/stats/leaderboard?page=serve,4,3,42,23,55,78,18,23,44,14,32,25,1,4,9,77,40,52,42,23,55,59,63,107,58,32,55,23,12,52,41,44,107,A,,,,,,,,C. Pioline,V. Kutsenko,P226,K308,FRA,RUS,,
