event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS001,F,02:42:00,,F,3,S0AG,"6-3,7-6(7),6-3",J. Sinner,A. Zverev,,,ITA,GER,6-3,7-6(7),6-3,,,02:42:00,A,J. Sinner,A. Zverev,ITA,GER,,,311,/en/stats/leaderboard?page=serve,2,6,60,57,95,84,48,57,63,24,38,0,0,0,16,282,/en/stats/leaderboard?page=serve,2,12,68,65,95,69,45,65,50,15,30,80,8,10,14,76,72,95,37,35,95,56,107,190,63,60,95,24,23,95,44,83,190,7,4,02:42:00,02:42:00,,,,,,,,,S0AG,Z355
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS002,SF,02:36:00,,F,3,S0AG,"7-6(7),6-2,6-2",J. Sinner,B. Shelton,,,ITA,USA,7-6(7),6-2,6-2,,,02:36:00,A,J. Sinner,B. Shelton,ITA,USA,,,288,/en/stats/leaderboard?page=serve,0,8,57,51,89,75,38,51,63,24,38,71,5,7,14,220,/en/stats/leaderboard?page=serve,6,7,59,70,118,57,40,70,46,22,48,54,7,13,14,70,62,89,47,56,118,57,118,207,53,62,118,30,27,89,43,89,207,,,02:36:00,02:36:00,7,2,,,,,,,S0AG,S0S1
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS003,SF,01:21:00,,F,1,Z355,7-6(7),A. Zverev,N. Djokovic,,,GER,SRB,7-6(7),,,,,01:21:00,A,A. Zverev,N. Djokovic,GER,SRB,,,344,/en/stats/leaderboard?page=serve,1,8,76,29,38,83,24,29,78,7,9,100,3,3,6,291,/en/stats/leaderboard?page=serve,0,5,54,29,54,72,21,29,60,15,25,100,5,5,6,82,31,38,33,18,54,53,49,92,67,36,54,18,7,38,47,43,92,,,01:21:00,01:21:00,7,5,,,,,,,Z355,D643
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS004,QF,01:48:00,,F,3,S0AG,"6-3,6-2,6-1",J. Sinner,A. de Minaur,,,ITA,AUS,6-3,6-2,6-1,,,01:48:00,A,J. Sinner,A. de Minaur,ITA,AUS,,,331,/en/stats/leaderboard?page=serve,0,2,64,38,59,84,32,38,81,17,21,100,1,1,12,206,/en/stats/leaderboard?page=serve,1,2,51,40,78,65,26,40,39,15,38,40,4,10,12,83,49,59,47,37,78,63,86,137,53,41,78,17,10,59,37,51,137,,,01:48:00,01:48:00,,,,,,,,,S0AG,DH58
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS005,QF,03:50:00,,F,4,S0S1,"6-4,7-5,4-6,7-6(7)",B. Shelton,L. Sonego,,,USA,ITA,6-4,7-5,4-6,7-6(7),,03:50:00,A,B. Shelton,L. Sonego,USA,ITA,,,300,/en/stats/leaderboard?page=serve,4,9,71,100,141,75,75,100,59,24,41,75,6,8,22,277,/en/stats/leaderboard?page=serve,1,3,66,101,153,71,72,101,52,27,52,73,8,11,22,70,99,141,35,54,153,52,153,294,65,99,153,30,42,141,48,141,294,,,03:50:00,03:50:00,,,7,4,,,,,S0S1,SU87
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS006,QF,03:37:00,,F,4,D643,"4-6,6-4,6-3,6-4",N. Djokovic,C. Alcaraz,,,SRB,ESP,4-6,6-4,6-3,6-4,,03:37:00,A,N. Djokovic,C. Alcaraz,SRB,ESP,,,266,/en/stats/leaderboard?page=serve,3,5,63,86,136,63,54,86,58,29,50,64,7,11,20,247,/en/stats/leaderboard?page=serve,5,10,74,92,125,67,62,92,33,11,33,54,7,13,19,61,83,136,42,52,125,52,135,261,58,73,125,39,53,136,48,126,261,,,03:37:00,03:37:00,,,,,,,,,D643,A0E2
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS007,QF,03:28:00,,F,4,Z355,"7-6(7),7-6(7),2-6,6-1",A. Zverev,T. Paul,,,GER,USA,7-6(7),7-6(7),2-6,6-1,,03:28:00,A,A. Zverev,T. Paul,GER,USA,,,275,/en/stats/leaderboard?page=serve,5,7,69,93,135,72,67,93,52,22,42,64,7,11,20,266,/en/stats/leaderboard?page=serve,2,9,64,76,118,67,51,76,50,21,42,43,3,7,19,66,89,135,39,46,118,53,135,253,61,72,118,34,46,135,47,118,253,7,0,03:28:00,03:28:00,7,1,,,,,,,Z355,PL56
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS008,R16,03:13:00,,F,4,S0AG,"6-3,3-6,6-3,6-2",J. Sinner,H. Rune,,,ITA,DEN,6-3,3-6,6-3,6-2,,03:13:00,A,J. Sinner,H. Rune,ITA,DEN,,,300,/en/stats/leaderboard?page=serve,6,14,56,59,105,83,49,59,59,27,46,80,4,5,18,255,/en/stats/leaderboard?page=serve,4,5,62,68,110,66,45,68,50,21,42,50,4,8,17,72,76,105,40,44,110,56,120,215,60,66,110,28,29,105,44,95,215,,,03:13:00,03:13:00,,,,,,,,,S0AG,R0DG
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS009,R16,02:09:00,,F,3,DH58,"6-0,7-6(7),6-3",A. de Minaur,A. Michelsen,,,AUS,USA,6-0,7-6(7),6-3,,,02:09:00,A,A. de Minaur,A. Michelsen,AUS,USA,,,280,/en/stats/leaderboard?page=serve,1,5,42,38,90,79,30,38,63,33,52,75,3,4,14,238,/en/stats/leaderboard?page=serve,1,3,67,58,87,60,35,58,48,14,29,55,6,11,13,70,63,90,44,38,87,57,101,177,56,49,87,30,27,90,43,76,177,7,5,02:09:00,02:09:00,,,,,,,,,DH58,M0QI
580,2025,Australian Open,GS,2025-01-12T00:00:00,2025-01-26T00:00:00,Hard,128,43250000,A$,MS010,R16,02:57:00,,F,4,S0S1,"7-6(7),6-7(3),7-6(7),1-0",B. Shelton,G. Monfils,,,USA,FRA,7-6(7),6-7(3),7-6(7),1-0,,02:57:00,A,B. Shelton,G. Monfils,USA,FRA,,,302,/en/stats/leaderboard?page=serve,3,7,69,83,120,81,67,83,54,20,37,83,5,6,18,280,/en/stats/leaderboard?page=serve,9,12,60,74,124,82,61,74,46,23,50,50,2,4,19,73,87,120,32,40,124,52,127,244,68,84,124,28,33,120,48,117,244,3,7,02:57:00,02:57:00,7,3,,,7,2,,,S0S1,MC65
