event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS021,R32,02:51:00,,F,3,B028,"6-4,6-7(7),7-5",B. Becker,G. Bastl,,,GER,SUI,6-4,6-7(7),7-5,,,02:51:00,,,269,/en/stats/leaderboard?page=serve,13,12,53,62,116,85,53,62,44,24,54,10,17,256,/en/stats/leaderboard?page=serve,5,1,75,90,120,69,62,90,40,12,30,67,8,12,17,66,77,116,38,46,120,52,123,236,62,74,120,34,39,116,48,113,236,A,7,9,83,12,,,B. Becker,G. Bastl,B028,B503,GER,SUI,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS022,R32,01:27:00,,F,2,S424,"7-5,6-3",F. Santoro,B. Ulihrach,,,FRA,CZE,7-5,6-3,,,,01:27:00,,,283,/en/stats/leaderboard?page=serve,1,5,56,43,77,74,32,43,59,20,34,6,11,237,/en/stats/leaderboard?page=serve,4,4,47,35,74,74,26,35,46,18,39,70,7,10,10,68,52,77,41,30,74,54,82,151,59,44,74,32,25,77,46,69,151,A,,,86,7,,,F. Santoro,B. Ulihrach,S424,U032,FRA,CZE,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS024,R32,01:39:00,,F,3,C378,"5-7,6-2,6-3",A. Costa,D. Orsanic,,,ESP,ARG,5-7,6-2,6-3,,,01:39:00,,,294,/en/stats/leaderboard?page=serve,1,7,71,60,84,73,44,60,58,14,24,4,15,253,/en/stats/leaderboard?page=serve,3,8,63,55,87,64,35,55,50,16,32,20,1,5,14,69,58,84,41,36,87,55,94,171,59,51,87,31,26,84,45,77,171,A,,,67,6,,,A. Costa,D. Orsanic,C378,O086,ESP,ARG,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS025,R32,01:15:00,,F,2,B518,"6-4,6-3",G. Blanco,T. Carbonell,,,ESP,ESP,6-4,6-3,,,,01:15:00,,,278,/en/stats/leaderboard?page=serve,4,4,52,27,52,74,20,27,64,16,25,3,9,216,/en/stats/leaderboard?page=serve,9,3,56,45,80,60,27,45,46,16,35,71,10,14,10,69,36,52,46,37,80,55,73,132,54,43,80,31,16,52,45,59,132,A,,,75,4,,,G. Blanco,T. Carbonell,B518,C216,ESP,ESP,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS026,R32,01:34:00,,F,2,D198,"7-6(7),6-3",S. Dosedel,I. Heuberger,,,CZE,SUI,7-6(7),6-3,,,,01:34:00,7,4,270,/en/stats/leaderboard?page=serve,6,7,49,39,80,74,29,39,56,23,41,7,11,245,/en/stats/leaderboard?page=serve,8,5,53,43,81,65,28,43,50,19,38,67,4,6,10,65,52,80,42,34,81,53,86,161,58,47,81,35,28,80,47,75,161,A,,,88,8,,,S. Dosedel,I. Heuberger,D198,H380,CZE,SUI,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS027,R32,02:06:00,,F,3,C344,"6-4,4-6,6-1",A. Corretja,O. Gross,,,ESP,GER,6-4,4-6,6-1,,,02:06:00,,,254,/en/stats/leaderboard?page=serve,4,7,52,50,97,70,35,50,51,24,47,6,14,230,/en/stats/leaderboard?page=serve,3,2,52,39,75,82,32,39,36,13,36,50,5,10,13,61,59,97,40,30,75,52,89,172,60,45,75,39,38,97,48,83,172,A,,,67,9,,,A. Corretja,O. Gross,C344,G297,ESP,GER,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS028,R32,02:01:00,,F,3,K316,"0-6,7-5,7-6(10)",N. Kiefer,J. Viloca-Puig,,,GER,ESP,0-6,7-5,7-6(10),,,02:01:00,,,236,/en/stats/leaderboard?page=serve,7,5,53,56,106,73,41,56,46,23,50,7,15,275,/en/stats/leaderboard?page=serve,5,7,56,49,88,86,42,49,51,20,39,50,3,6,15,60,64,106,30,26,88,46,90,194,70,62,88,40,42,106,54,104,194,A,,,58,12,10,8,N. Kiefer,J. Viloca-Puig,K316,V161,GER,ESP,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS029,R32,01:09:00,,F,2,A272,"6-2,7-5",J. Alonso,N. Escude,,,ESP,FRA,6-2,7-5,,,,01:09:00,,,228,/en/stats/leaderboard?page=serve,8,5,67,48,72,54,26,48,50,12,24,6,10,163,/en/stats/leaderboard?page=serve,5,3,49,31,63,48,15,31,38,12,32,46,6,13,10,53,38,72,57,36,63,55,74,135,43,27,63,47,34,72,45,61,135,A,,,60,10,,,J. Alonso,N. Escude,A272,E140,ESP,FRA,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS030,R32,01:45:00,,F,3,D228,"3-6,7-6(7),6-2",F. Dewulf,A. Portas,,,BEL,ESP,3-6,7-6(7),6-2,,,01:45:00,,,248,/en/stats/leaderboard?page=serve,9,2,50,54,107,78,42,54,42,22,53,8,14,265,/en/stats/leaderboard?page=serve,9,12,51,42,82,81,34,42,50,20,40,50,3,6,15,60,64,107,34,28,82,49,92,189,66,54,82,40,43,107,51,97,189,A,7,3,80,10,,,F. Dewulf,A. Portas,D228,P305,BEL,ESP,,
314,1998,Gstaad,WS,1998-07-06T00:00:00,1998-07-12T00:00:00,Clay,32,525000,$,MS031,R32,01:38:00,,F,3,M443,"6-3,4-6,6-3",F. Meligeni,Y. Kafelnikov,,,BRA,RUS,6-3,4-6,6-3,,,01:38:00,,,283,/en/stats/leaderboard?page=serve,4,6,45,36,80,78,28,36,66,29,44,0,14,259,/en/stats/leaderboard?page=serve,4,3,59,53,90,64,34,53,59,22,37,50,3,6,14,71,57,80,38,34,90,54,91,170,62,56,90,29,23,80,46,79,170,A,,,0,1,,,F. Meligeni,Y. Kafelnikov,M443,K267,BRA,RUS,,
