event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,settime_tot_winner,settime_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_loser,player_id_winner,player_id_loser
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS011,R16,01:26:00,,F,2,N552,"6-3,6-3",K. Nishikori,T. Robredo,,,JPN,ESP,6-3,6-3,,,,01:26:00,A,K. Nishikori,T. Robredo,JPN,ESP,,,306,/en/stats/leaderboard?page=serve,1,1,64,34,53,74,25,34,68,13,19,0,0,0,9,230,/en/stats/leaderboard?page=serve,2,4,48,29,60,69,20,29,45,14,31,73,8,11,9,72,38,53,43,26,60,57,64,113,57,34,60,28,15,53,43,49,113,,01:26:00,01:26:00,,,,,,N552,R419
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS012,R16,01:11:00,,F,2,B837,"6-4,6-2",M. Baghdatis,F. Mayer,,,CYP,GER,6-4,6-2,,,,01:11:00,A,M. Baghdatis,F. Mayer,CYP,GER,,,293,/en/stats/leaderboard?page=serve,2,15,64,35,55,83,29,35,45,9,20,80,4,5,9,222,/en/stats/leaderboard?page=serve,0,1,62,40,65,60,24,40,44,11,25,60,6,10,9,69,38,55,46,30,65,57,68,120,54,35,65,31,17,55,43,52,120,,01:11:00,01:11:00,,,,,,B837,MB02
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS013,R16,02:12:00,,F,2,SD32,"7-6(7),7-6(7)",G. Simon,A. Falla,,,FRA,COL,7-6(7),7-6(7),,,,02:12:00,A,G. Simon,A. Falla,FRA,COL,,,253,/en/stats/leaderboard?page=serve,1,5,48,43,89,65,28,43,61,28,46,67,6,9,12,260,/en/stats/leaderboard?page=serve,2,6,57,43,76,63,27,43,61,20,33,25,1,4,12,63,56,89,38,29,76,52,85,165,62,47,76,37,33,89,48,80,165,7,02:12:00,02:12:00,,,7,5,5,SD32,F444
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS014,R16,01:28:00,,F,2,M762,"6-4,7-6(7)",J. Melzer,D. Goffin,,,AUT,BEL,6-4,7-6(7),,,,01:28:00,A,J. Melzer,D. Goffin,AUT,BEL,,,307,/en/stats/leaderboard?page=serve,2,7,66,50,76,74,37,50,62,16,26,100,2,2,11,286,/en/stats/leaderboard?page=serve,4,6,63,45,71,73,33,45,58,15,26,75,3,4,11,70,53,76,32,23,71,52,76,147,68,48,71,30,23,76,48,71,147,,01:28:00,01:28:00,,,7,4,,M762,GB88
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS015,R16,01:01:00,,F,2,D875,"6-3,6-4",G. Dimitrov,M. Raonic,,,BUL,CAN,6-3,6-4,,,,01:01:00,A,G. Dimitrov,M. Raonic,BUL,CAN,,,314,/en/stats/leaderboard?page=serve,4,10,50,26,52,100,26,26,58,15,26,100,2,2,10,281,/en/stats/leaderboard?page=serve,2,4,56,24,43,88,21,24,58,11,19,33,1,3,9,79,41,52,26,11,43,55,52,95,74,32,43,21,11,52,45,43,95,,01:01:00,01:01:00,,,,,,D875,R975
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS017,R32,01:26:00,,F,2,MH30,"6-4,6-1",J. Millman,T. Ito,,,AUS,JPN,6-4,6-1,,,,01:26:00,A,J. Millman,T. Ito,AUS,JPN,,,272,/en/stats/leaderboard?page=serve,6,7,64,44,69,75,33,44,44,11,25,75,3,4,9,199,/en/stats/leaderboard?page=serve,5,2,49,26,53,73,19,26,30,8,27,43,3,7,8,64,44,69,49,26,53,57,70,122,51,27,53,36,25,69,43,52,122,,01:26:00,01:26:00,,,,,,MH30,I230
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS018,R32,02:04:00,,F,3,H432,"6-3,4-6,6-2",L. Hewitt,I. Kunitsyn,,,AUS,RUS,6-3,4-6,6-2,,,02:04:00,A,L. Hewitt,I. Kunitsyn,AUS,RUS,,,292,/en/stats/leaderboard?page=serve,2,8,49,34,69,85,29,34,60,21,35,50,1,2,13,238,/en/stats/leaderboard?page=serve,5,7,54,53,99,70,37,53,41,19,46,60,6,10,14,72,50,69,43,43,99,55,93,168,57,56,99,28,19,69,45,75,168,,02:04:00,02:04:00,,,,,,H432,K403
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS019,R32,01:10:00,,F,2,I165,"6-1,6-2",D. Istomin,M. Klizan,,,UZB,SVK,6-1,6-2,,,,01:10:00,A,D. Istomin,M. Klizan,UZB,SVK,,,291,/en/stats/leaderboard?page=serve,2,6,62,33,53,85,28,33,40,8,20,100,2,2,8,192,/en/stats/leaderboard?page=serve,3,3,54,31,57,61,19,31,35,9,26,69,9,13,7,68,36,53,51,29,57,59,65,110,49,28,57,32,17,53,41,45,110,,01:10:00,01:10:00,,,,,,I165,K966
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS021,R32,01:44:00,,F,3,N289,"6-3,2-6,6-1",J. Nieminen,J. Benneteau,,,FIN,FRA,6-3,2-6,6-1,,,01:44:00,A,J. Nieminen,J. Benneteau,FIN,FRA,,,256,/en/stats/leaderboard?page=serve,1,4,67,63,94,63,40,63,48,15,31,73,8,11,12,219,/en/stats/leaderboard?page=serve,6,6,69,48,70,60,29,48,32,7,22,17,1,6,12,59,55,94,49,34,70,54,89,164,51,36,70,41,39,94,46,75,164,,01:44:00,01:44:00,,,,,,N289,B747
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS022,R32,01:36:00,,F,2,R419,"6-4,7-6(7)",T. Robredo,R. Harrison,,,ESP,USA,6-4,7-6(7),,,,01:36:00,A,T. Robredo,R. Harrison,ESP,USA,,,327,/en/stats/leaderboard?page=serve,0,6,78,50,64,86,43,50,57,8,14,100,1,1,11,286,/en/stats/leaderboard?page=serve,1,4,57,39,68,67,26,39,69,20,29,0,0,1,11,80,51,64,32,22,68,55,73,132,68,46,68,20,13,64,45,59,132,,01:36:00,01:36:00,,,7,4,,R419,H940
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS023,R32,01:42:00,,F,2,N552,"7-5,6-2",K. Nishikori,M. Matosevic,,,JPN,AUS,7-5,6-2,,,,01:42:00,A,K. Nishikori,M. Matosevic,JPN,AUS,,,282,/en/stats/leaderboard?page=serve,0,2,63,45,72,64,29,45,63,17,27,80,4,5,10,222,/en/stats/leaderboard?page=serve,1,3,53,37,70,68,25,37,39,13,33,43,3,7,10,64,46,72,46,32,70,55,78,142,54,38,70,36,26,72,45,64,142,,01:42:00,01:42:00,,,,,,N552,ME05
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS024,R32,01:05:00,,F,2,MB02,"6-4,6-4",F. Mayer,S. Giraldo,,,GER,COL,6-4,6-4,,,,01:05:00,A,F. Mayer,S. Giraldo,GER,COL,,,335,/en/stats/leaderboard?page=serve,1,6,66,33,50,82,27,33,82,14,17,0,0,0,10,282,/en/stats/leaderboard?page=serve,0,3,74,40,54,75,30,40,50,7,14,0,0,2,10,82,41,50,31,17,54,56,58,104,69,37,54,18,9,50,44,46,104,,01:05:00,01:05:00,,,,,,MB02,G725
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS025,R32,01:17:00,,F,2,B837,"6-4,6-4",M. Baghdatis,B. Mitchell,,,CYP,AUS,6-4,6-4,,,,01:17:00,A,M. Baghdatis,B. Mitchell,CYP,AUS,,,304,/en/stats/leaderboard?page=serve,1,5,58,35,60,86,30,35,56,14,25,100,4,4,10,270,/en/stats/leaderboard?page=serve,1,5,61,35,57,80,28,35,45,10,22,0,0,2,10,73,44,60,33,19,57,54,63,117,67,38,57,27,16,60,46,54,117,,01:17:00,01:17:00,,,,,,B837,MK40
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS026,R32,01:18:00,,F,2,F444,"6-1,7-6(10)",A. Falla,J. Levine,,,COL,CAN,6-1,7-6(10),,,,01:18:00,A,A. Falla,J. Levine,COL,CAN,,,337,/en/stats/leaderboard?page=serve,1,11,78,46,59,87,40,46,62,8,13,0,0,0,10,260,/en/stats/leaderboard?page=serve,2,5,61,45,74,64,29,45,55,16,29,80,8,10,9,81,48,59,39,29,74,58,77,133,61,45,74,19,11,59,42,56,133,,01:18:00,01:18:00,,,10,8,,F444,L799
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS028,R32,01:47:00,,F,3,M762,"2-6,6-4,6-4",J. Melzer,D. Kudla,,,AUT,USA,2-6,6-4,6-4,,,01:47:00,A,J. Melzer,D. Kudla,AUT,USA,,,278,/en/stats/leaderboard?page=serve,1,5,71,55,78,73,40,55,52,12,23,50,3,6,14,255,/en/stats/leaderboard?page=serve,3,3,53,48,91,77,37,48,47,20,43,57,4,7,14,67,52,78,37,34,91,51,86,169,63,57,91,33,26,78,49,83,169,,01:47:00,01:47:00,,,,,,M762,KB09
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS029,R32,00:55:00,,F,2,GB88,"6-2,6-2",D. Goffin,M. Ebden,,,BEL,AUS,6-2,6-2,,,,00:55:00,A,D. Goffin,M. Ebden,BEL,AUS,,,317,/en/stats/leaderboard?page=serve,2,2,65,28,43,79,22,28,73,11,15,100,2,2,8,192,/en/stats/leaderboard?page=serve,4,1,45,18,40,50,9,18,50,11,22,0,0,4,8,77,33,43,50,20,40,64,53,83,50,20,40,23,10,43,36,30,83,,00:55:00,00:55:00,,,,,,GB88,E690
339,2013,Brisbane,250,2012-12-30T00:00:00,2013-01-06T00:00:00,Hard,28,436630,$,MS030,R32,01:22:00,,F,2,D875,"6-3,7-6(10)",G. Dimitrov,B. Baker,,,BUL,USA,6-3,7-6(10),,,,01:22:00,A,G. Dimitrov,B. Baker,BUL,USA,,,308,/en/stats/leaderboard?page=serve,1,10,63,40,64,83,33,40,63,15,24,0,0,1,11,287,/en/stats/leaderboard?page=serve,2,6,70,49,70,57,28,49,76,16,21,60,3,5,10,75,48,64,37,26,70,55,74,134,63,44,70,25,16,64,45,60,134,,01:22:00,01:22:00,,,10,8,,D875,BA23
