event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS022,R32,01:52:00,,F,2,BA98,"7-6(10),6-2",S. Bolelli,J. Bjorkman,,,ITA,SWE,7-6(10),6-2,,,,01:52:00,A,S. Bolelli,J. Bjorkman,ITA,SWE,,,302,/en/stats/leaderboard?page=serve,1,6,70,57,82,67,38,57,60,15,25,100,2,2,10,252,/en/stats/leaderboard?page=serve,4,2,59,48,81,73,35,48,42,14,33,67,4,6,10,65,53,82,40,32,81,52,85,163,60,49,81,35,29,82,48,78,163,,,,,10.0,8.0,BA98,B446
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS023,R32,01:22:00,,F,2,V306,"7-6(7),6-1",F. Verdasco,W. Eschauer,,,ESP,AUT,7-6(7),6-1,,,,01:22:00,A,F. Verdasco,W. Eschauer,ESP,AUT,,,324,/en/stats/leaderboard?page=serve,1,3,82,46,56,80,37,46,70,7,10,0,0,1,10,231,/en/stats/leaderboard?page=serve,6,7,44,31,70,74,23,31,46,18,39,25,1,4,9,79,44,56,41,29,70,58,73,126,59,41,70,21,12,56,42,53,126,,,,,7.0,4.0,V306,E141
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS024,R32,01:39:00,,F,2,K435,"7-6(7),6-3",P. Kohlschreiber,E. Korolev,,,GER,KAZ,7-6(7),6-3,,,,01:39:00,A,P. Kohlschreiber,E. Korolev,GER,KAZ,,,277,/en/stats/leaderboard?page=serve,1,5,71,52,73,69,36,52,52,11,21,50,2,4,11,237,/en/stats/leaderboard?page=serve,4,3,59,38,64,63,24,38,46,12,26,57,4,7,10,64,47,73,44,28,64,55,75,137,56,36,64,36,26,73,45,62,137,,,,,7.0,4.0,K435,K760
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS025,R32,01:36:00,,F,2,MC18,"7-6(7),6-3",D. Matsukevich,I. Kunitsyn,,,RUS,RUS,7-6(7),6-3,,,,01:36:00,A,D. Matsukevich,I. Kunitsyn,RUS,RUS,,,273,/en/stats/leaderboard?page=serve,3,3,54,40,74,73,29,40,56,19,34,67,2,3,11,252,/en/stats/leaderboard?page=serve,1,2,61,38,62,68,26,38,42,10,24,33,1,3,10,65,48,74,42,26,62,54,74,136,58,36,62,35,26,74,46,62,136,,,,,7.0,2.0,MC18,K403
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS026,R32,01:07:00,,F,2,A385,"6-4,6-1",M. Ancic,N. Lapentti,,,CRO,ECU,6-4,6-1,,,,01:07:00,A,M. Ancic,N. Lapentti,CRO,ECU,,,303,/en/stats/leaderboard?page=serve,1,4,63,26,41,77,20,26,73,11,15,0,0,1,8,196,/en/stats/leaderboard?page=serve,1,3,52,27,52,70,19,27,28,7,25,17,1,6,9,76,31,41,50,26,52,61,57,93,50,26,52,24,10,41,39,36,93,,,,,,,A385,L290
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS027,R32,01:08:00,,F,2,Y061,"6-2,6-4",M. Youzhny,J. Gimelstob,,,RUS,USA,6-2,6-4,,,,01:08:00,A,M. Youzhny,J. Gimelstob,RUS,USA,,,319,/en/stats/leaderboard?page=serve,1,5,54,25,46,80,20,25,81,17,21,100,1,1,9,227,/en/stats/leaderboard?page=serve,2,1,49,26,53,69,18,26,44,12,27,0,0,3,9,80,37,46,43,23,53,61,60,99,57,30,53,20,9,46,39,39,99,,,,,,,Y061,G354
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS028,R32,01:52:00,,F,2,T315,"7-6(8),7-6(7)",D. Tursunov,J. Melzer,,,RUS,AUT,7-6(8),7-6(7),,,,01:52:00,A,D. Tursunov,J. Melzer,RUS,AUT,,,290,/en/stats/leaderboard?page=serve,5,7,65,56,86,79,44,56,53,16,30,80,4,5,12,280,/en/stats/leaderboard?page=serve,3,4,67,64,95,69,44,64,52,16,31,88,7,8,12,70,60,86,37,35,95,52,95,181,63,60,95,30,26,86,48,86,181,,,7.0,,8.0,6.0,T315,M762
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS029,R32,01:49:00,,F,2,P642,"7-6(8),6-4",B. Pashanski,G. Garcia-Lopez,,,SRB,ESP,7-6(8),6-4,,,,01:49:00,A,B. Pashanski,G. Garcia-Lopez,SRB,ESP,,,256,/en/stats/leaderboard?page=serve,1,5,67,56,84,63,35,56,50,14,28,57,4,7,11,223,/en/stats/leaderboard?page=serve,4,2,53,37,70,70,26,37,39,13,33,43,3,7,11,58,49,84,44,31,70,52,80,154,56,39,70,42,35,84,48,74,154,,,,,8.0,6.0,P642,G476
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS030,R32,01:14:00,,F,2,D487,"7-6(7),6-4",L. Dlouhy,P. Chekhov,,,CZE,RUS,7-6(7),6-4,,,,01:14:00,A,L. Dlouhy,P. Chekhov,CZE,RUS,,,309,/en/stats/leaderboard?page=serve,4,4,71,53,75,79,42,53,59,13,22,100,2,2,11,291,/en/stats/leaderboard?page=serve,3,14,63,44,70,89,39,44,38,10,26,67,2,3,11,73,55,75,30,21,70,52,76,145,70,49,70,27,20,75,48,69,145,,,,,7.0,5.0,D487,CA93
568,2007,St. Petersburg,WS,2007-10-22T00:00:00,2007-10-28T00:00:00,Carpet,32,975000,$,MS031,R32,00:52:00,,F,2,MC10,"6-2,6-2",A. Murray,M. Mirnyi,,,GBR,BLR,6-2,6-2,,,,00:52:00,A,A. Murray,M. Mirnyi,GBR,BLR,,,321,/en/stats/leaderboard?page=serve,0,3,54,21,39,86,18,21,78,14,18,0,0,0,8,212,/en/stats/leaderboard?page=serve,4,4,57,25,44,68,17,25,37,7,19,33,2,6,8,82,32,39,45,20,44,63,52,83,55,24,44,18,7,39,37,31,83,,,,,,,MC10,M595
