event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,player_id_winner,player_id_loser
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS019,R32,01:22:00,,F,2,T786,"7-6(7),6-2",J. Tsonga,D. Goffin,,,FRA,BEL,7-6(7),6-2,,,,01:22:00,A,J. Tsonga,D. Goffin,FRA,BEL,,,318,/en/stats/leaderboard?page=serve,2,9,61,39,64,82,32,39,68,17,25,100,3,3,10,283,/en/stats/leaderboard?page=serve,2,4,71,46,65,72,33,46,58,11,19,67,4,6,10,77,49,64,32,21,65,54,70,129,68,44,65,23,15,64,46,59,129,7,5,,,,,01:22:00,01:22:00,T786,GB88
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS020,R32,01:08:00,,F,2,D875,"7-5,6-3",G. Dimitrov,J. Ward,,,BUL,GBR,7-5,6-3,,,,01:08:00,A,G. Dimitrov,J. Ward,BUL,GBR,,,304,/en/stats/leaderboard?page=serve,5,8,68,39,57,82,32,39,61,11,18,50,1,2,11,258,/en/stats/leaderboard?page=serve,2,1,83,50,60,66,33,50,40,4,10,50,3,6,10,75,43,57,38,23,60,56,66,117,62,37,60,25,14,57,44,51,117,,,,,,,01:08:00,01:08:00,D875,W503
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS021,R32,01:59:00,,F,3,R613,"6-3,1-6,7-6(7)",E. Roger-Vasselin,N. Mahut,,,FRA,FRA,6-3,1-6,7-6(7),,,01:59:00,A,E. Roger-Vasselin,N. Mahut,FRA,FRA,,,282,/en/stats/leaderboard?page=serve,1,7,68,69,102,68,47,69,55,18,33,75,6,8,14,308,/en/stats/leaderboard?page=serve,3,18,70,61,87,77,47,61,54,14,26,67,2,3,14,64,65,102,30,26,87,48,91,189,70,61,87,36,37,102,52,98,189,,,,,7,5,01:59:00,01:59:00,R613,M873
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS022,R32,01:40:00,,F,2,N289,"7-6(7),7-6(7)",J. Nieminen,D. Tursunov,,,FIN,RUS,7-6(7),7-6(7),,,,01:40:00,A,J. Nieminen,D. Tursunov,FIN,RUS,,,302,/en/stats/leaderboard?page=serve,1,1,83,58,70,78,45,58,58,7,12,50,2,4,12,252,/en/stats/leaderboard?page=serve,5,9,64,62,97,81,50,62,20,7,35,60,3,5,12,74,52,70,41,40,97,55,92,167,59,57,97,26,18,70,45,75,167,7,3,7,3,,,01:40:00,01:40:00,N289,T315
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS023,R32,01:51:00,,F,2,D801,"7-6(7),7-6(9)",A. Dolgopolov,D. Istomin,,,UKR,UZB,7-6(7),7-6(9),,,,01:51:00,A,A. Dolgopolov,D. Istomin,UKR,UZB,,,292,/en/stats/leaderboard?page=serve,4,11,67,65,97,74,48,65,53,17,32,86,6,7,12,302,/en/stats/leaderboard?page=serve,1,7,81,83,102,61,51,83,63,12,19,88,7,8,12,67,65,97,38,39,102,52,104,199,62,63,102,33,32,97,48,95,199,7,3,9,7,,,01:51:00,01:51:00,D801,I165
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS024,R32,01:05:00,,F,2,A678,"6-2,6-3",K. Anderson,D. Evans,,,RSA,GBR,6-2,6-3,,,,01:05:00,A,K. Anderson,D. Evans,RSA,GBR,,,294,/en/stats/leaderboard?page=serve,5,10,60,34,57,94,32,34,35,8,23,100,1,1,9,241,/en/stats/leaderboard?page=serve,2,2,61,30,49,60,18,30,58,11,19,57,4,7,8,70,40,57,41,20,49,57,60,106,59,29,49,30,17,57,43,46,106,,,,,,,01:05:00,01:05:00,A678,E687
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS025,R32,01:05:00,,F,2,SC77,"6-4,6-4",S. Stakhovsky,V. Pospisil,,,UKR,CAN,6-4,6-4,,,,01:05:00,A,S. Stakhovsky,V. Pospisil,UKR,CAN,,,287,/en/stats/leaderboard?page=serve,2,2,60,35,58,80,28,35,57,13,23,67,2,3,10,246,/en/stats/leaderboard?page=serve,4,4,67,37,55,76,28,37,33,6,18,40,2,5,10,71,41,58,38,21,55,55,62,113,62,34,55,29,17,58,45,51,113,,,,,,,01:05:00,01:05:00,SC77,PD07
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS026,R32,01:44:00,,F,2,S694,"7-6(7),7-6(7)",R. Stepanek,B. Tomic,,,CZE,AUS,7-6(7),7-6(7),,,,01:44:00,A,R. Stepanek,B. Tomic,CZE,AUS,,,295,/en/stats/leaderboard?page=serve,2,8,72,59,82,78,46,59,48,11,23,67,2,3,12,279,/en/stats/leaderboard?page=serve,0,2,63,56,89,68,38,56,55,18,33,83,5,6,12,70,57,82,37,33,89,53,90,171,63,56,89,30,25,82,47,81,171,7,4,7,5,,,01:44:00,01:44:00,S694,TA46
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS027,R32,01:27:00,,F,2,MC10,"6-4,6-4",A. Murray,P. Mathieu,,,GBR,FRA,6-4,6-4,,,,01:27:00,A,A. Murray,P. Mathieu,GBR,FRA,,,307,/en/stats/leaderboard?page=serve,2,10,68,38,56,92,35,38,39,7,18,100,3,3,10,248,/en/stats/leaderboard?page=serve,6,5,56,45,81,71,32,45,42,15,36,71,5,7,10,75,42,56,42,34,81,55,76,137,58,47,81,25,14,56,45,61,137,,,,,,,01:27:00,01:27:00,MC10,M850
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS028,R32,01:18:00,,F,2,D750,"7-6(7),7-5",K. De Schepper,E. Gulbis,,,FRA,LAT,7-6(7),7-5,,,,01:18:00,A,K. De Schepper,E. Gulbis,FRA,LAT,,,323,/en/stats/leaderboard?page=serve,4,10,81,58,72,86,50,58,50,7,14,100,6,6,12,300,/en/stats/leaderboard?page=serve,2,9,69,46,67,85,39,46,48,10,21,50,1,2,12,79,57,72,27,18,67,54,75,139,73,49,67,21,15,72,46,64,139,7,3,,,,,01:18:00,01:18:00,D750,G858
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS029,R32,01:07:00,,F,2,L397,"6-3,6-4",F. Lopez,L. Hewitt,,,ESP,AUS,6-3,6-4,,,,01:07:00,A,F. Lopez,L. Hewitt,ESP,AUS,,,313,/en/stats/leaderboard?page=serve,4,10,54,28,52,86,24,28,67,16,24,0,0,0,10,258,/en/stats/leaderboard?page=serve,4,6,53,25,47,76,19,25,50,11,22,33,1,3,9,77,40,52,36,17,47,58,57,99,64,30,47,23,12,52,42,42,99,,,,,,,01:07:00,01:07:00,L397,H432
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS030,R32,00:56:00,,F,2,ME82,"6-1,6-2",A. Mannarino,V. Estrella Burgos,,,FRA,DOM,6-1,6-2,,,,00:56:00,A,A. Mannarino,V. Estrella Burgos,FRA,DOM,,,317,/en/stats/leaderboard?page=serve,0,6,72,36,50,75,27,36,64,9,14,100,3,3,8,193,/en/stats/leaderboard?page=serve,1,3,64,27,42,52,14,27,33,5,15,33,2,6,7,72,36,50,55,23,42,64,59,92,45,19,42,28,14,50,36,33,92,,,,,,,00:56:00,00:56:00,ME82,E224
311,2014,London / Queen's Club,250,2014-06-09T00:00:00,2014-06-15T00:00:00,Grass,56,711010,€,MS031,R32,02:07:00,,F,3,BA47,"7-6(7),5-7,6-4",T. Berdych,J. Duckworth,,,CZE,AUS,7-6(7),5-7,6-4,,,02:07:00,A,T. Berdych,J. Duckworth,CZE,AUS,,,292,/en/stats/leaderboard?page=serve,8,19,58,56,97,86,48,56,49,20,41,0,0,2,17,277,/en/stats/leaderboard?page=serve,4,8,64,75,117,73,55,75,48,20,42,71,5,7,17,70,68,97,36,42,117,51,110,214,64,75,117,30,29,97,49,104,214,7,3,,,,,02:07:00,02:07:00,BA47,D994
