event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS018,R32,00:54:00,,F,2,J129,"6-2,6-3",T. Johansson,P. Haarhuis,,,SWE,NED,6-2,6-3,,,,00:54:00,,,284,/en/stats/leaderboard?page=serve,3,9,59,29,49,72,21,29,60,12,20,80,4,5,8,205,/en/stats/leaderboard?page=serve,2,0,65,33,51,48,16,33,50,9,18,38,3,8,9,67,33,49,51,26,51,59,59,100,49,25,51,33,16,49,41,41,100,A,,,,,,,T. Johansson,P. Haarhuis,J129,H223,SWE,NED,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS019,R32,00:51:00,,F,2,D228,"6-1,6-1",F. Dewulf,M. Ondruska,,,BEL,RSA,6-1,6-1,,,,00:51:00,,,241,/en/stats/leaderboard?page=serve,2,2,58,25,43,80,20,25,61,11,18,,0,,7,159,/en/stats/leaderboard?page=serve,,2,50,19,38,53,10,19,26,5,19,0,0,5,7,72,31,43,61,23,38,67,54,81,39,15,38,28,12,43,33,27,81,A,,,,,False,,F. Dewulf,M. Ondruska,D228,O098,BEL,RSA,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS020,R32,00:51:00,,F,2,E113,"6-3,6-1",T. Enqvist,R. Fromberg,,,SWE,AUS,6-3,6-1,,,,00:51:00,,,197,/en/stats/leaderboard?page=serve,1,3,43,19,44,84,16,19,68,17,25,0,0,,8,206,/en/stats/leaderboard?page=serve,2,5,60,30,50,73,22,30,20,4,20,43,3,7,8,75,33,44,48,24,50,61,57,94,52,26,50,25,11,44,39,37,94,A,,,,,,,T. Enqvist,R. Fromberg,E113,F164,SWE,AUS,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS021,R32,01:09:00,,F,2,W212,"6-3,6-4",C. Woodruff,J. Tarango,,,USA,USA,6-3,6-4,,,,01:09:00,,,300,/en/stats/leaderboard?page=serve,3,4,58,31,53,87,27,31,64,14,22,,0,,10,246,/en/stats/leaderboard?page=serve,7,2,53,35,66,69,24,35,52,16,31,75,6,8,9,77,41,53,39,26,66,56,67,119,61,40,66,23,12,53,44,52,119,A,,,,,,,C. Woodruff,J. Tarango,W212,T136,USA,USA,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS022,R32,01:11:00,,F,2,F278,"6-4,6-4",P. Fredriksson,G. Raoux,,,SWE,FRA,6-4,6-4,,,,01:11:00,,,220,/en/stats/leaderboard?page=serve,1,6,63,32,51,84,27,32,68,13,19,0,0,,10,277,/en/stats/leaderboard?page=serve,,9,56,36,64,78,28,36,54,15,28,75,6,8,10,78,40,51,33,21,64,53,61,115,67,43,64,22,11,51,47,54,115,A,,,,,False,,P. Fredriksson,G. Raoux,F278,R186,SWE,FRA,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS023,R32,01:19:00,,F,2,K181,"7-6(7),6-3",N. Kulti,S. Edberg,,,SWE,SWE,7-6(7),6-3,,,,01:19:00,,,299,/en/stats/leaderboard?page=serve,1,13,70,49,70,78,38,49,67,14,21,,0,,11,301,/en/stats/leaderboard?page=serve,1,8,73,44,60,75,33,44,56,9,16,0,0,1,10,74,52,70,30,18,60,54,70,130,70,42,60,26,18,70,46,60,130,A,7,5,,,,,N. Kulti,S. Edberg,K181,E004,SWE,SWE,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS024,R32,01:46:00,,F,3,S381,"3-6,6-4,7-6(8)",J. Siemerink,M. Tillstrom,,,NED,SWE,3-6,6-4,7-6(8),,,01:46:00,8,6,292,/en/stats/leaderboard?page=serve,3,11,62,54,87,81,44,54,55,18,33,33,1,3,15,293,/en/stats/leaderboard?page=serve,3,7,63,61,97,72,44,61,67,24,36,75,6,8,16,71,62,87,30,29,97,49,91,184,70,68,97,29,25,87,51,93,184,A,,,,,,,J. Siemerink,M. Tillstrom,S381,T166,NED,SWE,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS025,R32,01:19:00,,F,2,S544,"6-3,7-5",V. Spadea,K. Carlsen,,,USA,DEN,6-3,7-5,,,,01:19:00,,,267,/en/stats/leaderboard?page=serve,4,1,55,40,73,73,29,40,52,17,33,80,4,5,11,260,/en/stats/leaderboard?page=serve,2,7,63,32,51,69,22,32,53,10,19,25,1,4,10,63,46,73,37,19,51,52,65,124,63,32,51,37,27,73,48,59,124,A,,,,,,,V. Spadea,K. Carlsen,S544,C328,USA,DEN,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS026,R32,01:19:00,,F,2,N250,"7-6(7),6-1",M. Norman,G. Schaller,,,SWE,AUT,7-6(7),6-1,,,,01:19:00,,,301,/en/stats/leaderboard?page=serve,3,11,60,39,65,85,33,39,58,15,26,,0,,10,251,/en/stats/leaderboard?page=serve,1,3,57,34,60,65,22,34,50,13,26,0,0,2,9,74,48,65,42,25,60,58,73,125,58,35,60,26,17,65,42,52,125,A,7,3,,,,,M. Norman,G. Schaller,N250,S315,SWE,AUT,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS027,R32,00:59:00,,F,2,R284,"7-5,6-4",A. Radulescu,A. Costa,,,GER,ESP,7-5,6-4,,,,00:59:00,,,245,/en/stats/leaderboard?page=serve,,9,64,32,50,94,30,32,78,14,18,0,0,,11,264,/en/stats/leaderboard?page=serve,2,2,66,48,73,69,33,48,48,12,25,75,6,8,11,88,44,50,38,28,73,59,72,123,62,45,73,12,6,50,41,51,123,A,,,,,,False,A. Radulescu,A. Costa,R284,C378,GER,ESP,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS028,R32,01:28:00,,F,2,R016,"7-6(8),6-4",R. Reneberg,J. Stark,,,USA,USA,7-6(8),6-4,,,,01:28:00,,,267,/en/stats/leaderboard?page=serve,1,5,60,45,75,80,36,45,60,18,30,,0,,11,286,/en/stats/leaderboard?page=serve,2,9,57,42,74,79,33,42,53,17,32,75,3,4,11,72,54,75,32,24,74,52,78,149,68,50,74,28,21,75,48,71,149,A,8,6,,,,,R. Reneberg,J. Stark,R016,S403,USA,USA,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS029,R32,01:08:00,,F,2,B053,"6-1,6-4",A. Boetsch,M. Larsson,,,FRA,SWE,6-1,6-4,,,,01:08:00,,,262,/en/stats/leaderboard?page=serve,,3,55,28,51,75,21,28,52,12,23,0,0,2,9,189,/en/stats/leaderboard?page=serve,2,7,52,33,63,55,18,33,40,12,30,58,7,12,8,65,33,51,52,33,63,58,66,114,48,30,63,35,18,51,42,48,114,A,,,,,,False,A. Boetsch,M. Larsson,B053,L206,FRA,SWE,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS030,R32,01:56:00,,F,3,S331,"6-1,6-7(5),6-1",J. Stoltenberg,C. Ruud,,,AUS,NOR,6-1,6-7(5),6-1,,,01:56:00,,,280,/en/stats/leaderboard?page=serve,4,8,50,51,101,76,39,51,58,29,50,89,8,9,14,235,/en/stats/leaderboard?page=serve,2,1,57,47,82,55,26,47,66,23,35,29,2,7,12,67,68,101,40,33,82,55,101,183,60,49,82,33,33,101,45,82,183,A,,,5,7,,,J. Stoltenberg,C. Ruud,S331,R219,AUS,NOR,,
429,1996,Stockholm,GP,1996-11-04T00:00:00,1996-11-10T00:00:00,Hard,32,800000,$,MS031,R32,01:57:00,,F,3,M442,"6-2,3-6,7-6(7)",T. Martin,J. Grabb,,,USA,USA,6-2,3-6,7-6(7),,,01:57:00,7,1,275,/en/stats/leaderboard?page=serve,4,10,64,53,83,85,45,53,47,14,30,60,6,10,15,243,/en/stats/leaderboard?page=serve,7,12,64,62,97,74,46,62,29,10,35,56,5,9,14,71,59,83,42,41,97,56,100,180,58,56,97,29,24,83,44,80,180,A,,,,,,,T. Martin,J. Grabb,M442,G039,USA,USA,,
