event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser,player_a_id,player_b_id
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS012,R16,01:46:00,,F,2,G628,"6-3,7-6(7)",R. Gasquet,A. Roddick,,,FRA,USA,6-3,7-6(7),,,,01:46:00,A,R. Gasquet,A. Roddick,FRA,USA,,,297,/en/stats/leaderboard?page=serve,2,8,64,44,69,77,34,44,60,15,25,80,4,5,11,271,/en/stats/leaderboard?page=serve,1,7,64,49,77,67,33,49,54,15,28,71,5,7,10,71,49,69,38,29,77,53,78,146,62,48,77,29,20,69,47,68,146,,,,,7,5,G628,R485,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS013,R16,01:06:00,,F,2,D643,"6-0,6-1",N. Djokovic,V. Troicki,,,SRB,SRB,6-0,6-1,,,,01:06:00,A,N. Djokovic,V. Troicki,SRB,SRB,,,287,/en/stats/leaderboard?page=serve,4,1,67,40,60,73,29,40,50,10,20,100,4,4,7,144,/en/stats/leaderboard?page=serve,5,3,60,26,43,46,12,26,24,4,17,44,4,9,6,65,39,60,63,27,43,64,66,103,37,16,43,35,21,60,36,37,103,,,,,,,D643,T840,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS014,R16,02:38:00,,F,3,W367,"3-6,6-4,6-4",S. Wawrinka,T. Berdych,,,SUI,CZE,3-6,6-4,6-4,,,02:38:00,A,S. Wawrinka,T. Berdych,SUI,CZE,,,252,/en/stats/leaderboard?page=serve,3,8,54,51,94,76,39,51,44,19,43,56,5,9,15,229,/en/stats/leaderboard?page=serve,0,0,46,42,92,64,27,42,48,24,50,60,6,10,14,62,58,94,45,41,92,53,99,186,55,51,92,38,36,94,47,87,186,,,,,,,W367,BA47,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS015,R16,01:25:00,,F,2,F324,"7-6(7),6-3",R. Federer,R. Harrison,,,SUI,USA,7-6(7),6-3,,,,01:25:00,A,R. Federer,R. Harrison,SUI,USA,,,283,/en/stats/leaderboard?page=serve,3,10,62,42,68,79,33,42,54,14,26,75,6,8,11,236,/en/stats/leaderboard?page=serve,3,4,55,36,65,69,25,36,41,12,29,57,4,7,10,69,47,68,43,28,65,56,75,133,57,37,65,31,21,68,44,58,133,,,7,4,,,F324,H940,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS016,R32,01:09:00,,F,2,N409,"6-3,6-1",R. Nadal,R. Sweeting,,,ESP,USA,6-3,6-1,,,,01:09:00,A,R. Nadal,R. Sweeting,ESP,USA,,,330,/en/stats/leaderboard?page=serve,0,3,57,21,37,95,20,21,75,12,16,0,0,0,8,202,/en/stats/leaderboard?page=serve,4,3,54,31,57,61,19,31,38,10,26,43,3,7,8,86,32,37,49,28,57,64,60,94,51,29,57,14,5,37,36,34,94,,,,,,,N409,SG87,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS017,R32,02:01:00,,F,3,D616,"6-1,3-6,7-6(7)",S. Devvarman,X. Malisse,,,IND,BEL,6-1,3-6,7-6(7),,,02:01:00,A,S. Devvarman,X. Malisse,IND,BEL,,,294,/en/stats/leaderboard?page=serve,0,5,58,49,84,76,37,49,63,22,35,50,1,2,14,276,/en/stats/leaderboard?page=serve,2,6,51,44,87,73,32,44,63,27,43,50,2,4,14,70,59,84,32,28,87,51,87,171,68,59,87,30,25,84,49,84,171,7,5,,,,,D616,M680,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS018,R32,01:52:00,,F,3,M824,"4-6,6-2,6-4",A. Montanes,N. Almagro,,,ESP,ESP,4-6,6-2,6-4,,,01:52:00,A,A. Montanes,N. Almagro,ESP,ESP,,,274,/en/stats/leaderboard?page=serve,4,3,61,59,97,80,47,59,42,16,38,89,8,9,14,255,/en/stats/leaderboard?page=serve,9,12,49,42,86,86,36,42,39,17,44,40,2,5,14,65,63,97,38,33,86,52,96,183,62,53,86,35,34,97,48,87,183,,,,,,,M824,A479,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS019,R32,01:03:00,,F,2,K336,"6-3,6-3",I. Karlovic,G. Simon,,,CRO,FRA,6-3,6-3,,,,01:03:00,A,I. Karlovic,G. Simon,CRO,FRA,,,317,/en/stats/leaderboard?page=serve,2,11,64,32,50,94,30,32,50,9,18,100,2,2,9,249,/en/stats/leaderboard?page=serve,2,2,58,26,45,62,16,26,63,12,19,25,1,4,9,78,39,50,38,17,45,59,56,95,62,28,45,22,11,50,41,39,95,,,,,,,K336,SD32,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS020,R32,01:38:00,,F,2,K435,"7-6(10),6-4",P. Kohlschreiber,R. Soderling,,,GER,SWE,7-6(10),6-4,,,,01:38:00,A,P. Kohlschreiber,R. Soderling,GER,SWE,,,279,/en/stats/leaderboard?page=serve,3,14,51,35,69,77,27,35,59,20,34,33,1,3,11,253,/en/stats/leaderboard?page=serve,4,6,71,55,77,67,37,55,41,9,22,63,5,8,11,68,47,69,40,31,77,53,78,146,60,46,77,32,22,69,47,68,146,,,10,8,,,K435,SA49,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS021,R32,01:38:00,,F,2,D683,"7-6(7),6-3",J. del Potro,A. Dolgopolov,,,ARG,UKR,7-6(7),6-3,,,,01:38:00,A,J. del Potro,A. Dolgopolov,ARG,UKR,,,253,/en/stats/leaderboard?page=serve,2,5,47,31,66,77,24,31,46,16,35,33,1,3,10,224,/en/stats/leaderboard?page=serve,7,8,51,41,80,73,30,41,36,14,39,33,2,6,11,61,40,66,45,36,80,52,76,146,55,44,80,39,26,66,48,70,146,,,7,3,,,D683,D801,,
