event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS015,R16,01:56:00,,F,3,R237,"6-7(4),7-6(7),6-1",G. Rusedski,J. Fleurian,,,GBR,FRA,6-7(4),7-6(7),6-1,,,01:56:00,4,7,230,/en/stats/leaderboard?page=serve,6,20,62,56,91,88,49,56,66,23,35,0,0,,16,276,/en/stats/leaderboard?page=serve,,10,64,69,107,78,54,69,42,16,38,67,4,6.0,15,79,72,91,35,37,107,55,109,198,65,70,107,21,19,91,45,89,198,A,,4,7,3,,,G. Rusedski,J. Fleurian,R237,F031,GBR,FRA,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS016,R32,01:02:00,,F,2,C274,"6-1,6-4",M. Chang,N. Pereira,,,USA,VEN,6-1,6-4,,,,01:02:00,,,269,/en/stats/leaderboard?page=serve,2,5,57,34,60,79,27,34,42,11,26,67,2,3,9,205,/en/stats/leaderboard?page=serve,,4,61,28,46,64,18,28,28,5,18,56,5,9.0,8,63,38,60,50,23,46,58,61,106,50,23,46,37,22,60,42,45,106,A,,2,,,,,M. Chang,N. Pereira,C274,P218,USA,VEN,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS017,R32,01:07:00,,F,2,D214,"6-4,6-3",M. Damm,M. Wilander,,,CZE,SWE,6-4,6-3,,,,01:07:00,,,295,/en/stats/leaderboard?page=serve,1,15,66,40,61,83,33,40,52,11,21,,0,,10,264,/en/stats/leaderboard?page=serve,,4,58,29,50,69,20,29,57,12,21,50,2,4.0,9,72,44,61,36,18,50,56,62,111,64,32,50,28,17,61,44,49,111,A,,1,,,,,M. Damm,M. Wilander,D214,W023,CZE,SWE,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS018,R32,01:00:00,,F,2,D270,"6-4,6-2",S. Draper,L. Paes,,,AUS,IND,6-4,6-2,,,,01:00:00,,,280,/en/stats/leaderboard?page=serve,,6,60,29,48,79,23,29,47,9,19,0,0,1,9,216,/en/stats/leaderboard?page=serve,,3,63,44,70,64,28,44,35,9,26,64,7,11.0,9,67,32,48,47,33,70,55,65,118,53,37,70,33,16,48,45,53,118,A,False,4,,,,,S. Draper,L. Paes,D270,P269,AUS,IND,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS019,R32,01:58:00,,F,3,M448,"4-6,6-4,7-6(7)",B. MacPhie,K. Carlsen,,,USA,DEN,4-6,6-4,7-6(7),,,01:58:00,,,296,/en/stats/leaderboard?page=serve,6,13,57,55,97,82,45,55,57,24,42,67,2,3,16,302,/en/stats/leaderboard?page=serve,,21,64,65,102,77,50,65,54,20,37,86,6,7.0,16,71,69,97,31,32,102,51,101,199,69,70,102,29,28,97,49,98,199,A,,7,,,7,2,B. MacPhie,K. Carlsen,M448,C328,USA,DEN,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS020,R32,02:18:00,,F,3,D249,"7-6(7),4-6,7-6(7)",H. Dreekmann,J. Stark,,,GER,USA,7-6(7),4-6,7-6(7),,,02:18:00,7,5,282,/en/stats/leaderboard?page=serve,7,11,51,63,123,81,51,63,52,31,60,80,4,5,17,217,/en/stats/leaderboard?page=serve,,16,66,65,98,82,53,65,58,19,33,0,0,,17,67,82,123,27,26,98,49,108,221,73,72,98,33,41,123,51,113,221,A,,5,,,7,0,H. Dreekmann,J. Stark,D249,S403,GER,USA,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS021,R32,01:16:00,,F,2,L226,"6-2,7-5",S. Lareau,G. Stafford,,,CAN,RSA,6-2,7-5,,,,01:16:00,,,298,/en/stats/leaderboard?page=serve,3,10,63,38,60,79,30,38,59,13,22,,0,,10,239,/en/stats/leaderboard?page=serve,,4,58,39,67,69,27,39,43,12,28,57,4,7.0,10,72,43,60,42,28,67,56,71,127,58,39,67,28,17,60,44,56,127,A,,5,,,,,S. Lareau,G. Stafford,L226,S406,CAN,RSA,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS022,R32,01:10:00,,F,2,J129,"6-3,7-5",T. Johansson,J. Frana,,,SWE,ARG,6-3,7-5,,,,01:10:00,,,286,/en/stats/leaderboard?page=serve,4,3,48,28,58,89,25,28,60,18,30,0,0,1,11,250,/en/stats/leaderboard?page=serve,False,8,64,43,67,70,30,43,38,9,24,63,5,8.0,10,74,43,58,42,28,67,57,71,125,58,39,67,26,15,58,43,54,125,A,,,,,,,T. Johansson,J. Frana,J129,F041,SWE,ARG,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS023,R32,01:24:00,,F,2,O127,"7-5,7-5",O. Ogorodov,P. Rafter,,,UZB,AUS,7-5,7-5,,,,01:24:00,,,294,/en/stats/leaderboard?page=serve,3,8,60,42,70,81,34,42,57,16,28,75,3,4,12,261,/en/stats/leaderboard?page=serve,,9,57,42,74,71,30,42,53,17,32,50,3,6.0,12,71,50,70,36,27,74,53,77,144,64,47,74,29,20,70,47,67,144,A,,4,,,,,O. Ogorodov,P. Rafter,O127,R255,UZB,AUS,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS024,R32,01:12:00,,F,2,S572,"6-2,7-5",S. Schalken,J. Xia,,,NED,CHN,6-2,7-5,,,,01:12:00,,,273,/en/stats/leaderboard?page=serve,2,0,59,42,71,71,30,42,55,16,29,80,4,5,10,243,/en/stats/leaderboard?page=serve,,0,71,42,59,48,20,42,65,11,17,20,1,5.0,10,65,46,71,47,28,59,57,74,130,53,31,59,35,25,71,43,56,130,A,,1,,,,,S. Schalken,J. Xia,S572,X002,NED,CHN,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS025,R32,01:54:00,,F,3,K030,"5-7,6-3,6-3",P. Kuhnen,N. Godwin,,,GER,RSA,5-7,6-3,6-3,,,01:54:00,,,270,/en/stats/leaderboard?page=serve,9,16,50,53,105,87,46,53,40,21,52,78,7,9,15,264,/en/stats/leaderboard?page=serve,,13,57,49,86,73,36,49,49,18,37,50,4,8.0,15,64,67,105,37,32,86,52,99,191,63,54,86,36,38,105,48,92,191,A,,1,,,,,P. Kuhnen,N. Godwin,K030,G288,GER,RSA,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS026,R32,01:55:00,,F,3,S559,"6-4,6-7(2),6-4",D. van Scheppingen,G. Canas,,,NED,ARG,6-4,6-7(2),6-4,,,01:55:00,,,271,/en/stats/leaderboard?page=serve,7,5,66,77,117,62,48,77,58,23,40,80,8,10,16,252,/en/stats/leaderboard?page=serve,,15,46,46,101,80,37,46,45,25,55,67,8,12.0,16,61,71,117,39,39,101,50,110,218,61,62,101,39,46,117,50,108,218,A,,9,2,7,,,D. van Scheppingen,G. Canas,S559,C433,NED,ARG,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS027,R32,02:35:00,,F,3,B397,"7-6(11),4-6,7-6(7)",B. Black,M. Joyce,,,ZIM,USA,7-6(11),4-6,7-6(7),,,02:35:00,11,9,255,/en/stats/leaderboard?page=serve,1,11,60,75,126,76,57,75,39,20,51,62,8,13,17,241,/en/stats/leaderboard?page=serve,,8,54,82,152,68,56,82,44,31,70,79,15,19.0,17,61,77,126,43,65,152,51,142,278,57,87,152,39,49,126,49,136,278,A,,9,,,7,3,B. Black,M. Joyce,B397,J100,ZIM,USA,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS028,R32,00:52:00,,F,2,S544,"6-2,6-2",V. Spadea,J. Eagle,,,USA,AUS,6-2,6-2,,,,00:52:00,,,317,/en/stats/leaderboard?page=serve,,2,65,24,37,71,17,24,92,12,13,0,0,1,8,190,/en/stats/leaderboard?page=serve,,0,70,38,54,53,20,38,31,5,16,17,1,6.0,8,78,29,37,54,29,54,64,58,91,46,25,54,22,8,37,36,33,91,A,False,1,,,,,V. Spadea,J. Eagle,S544,E122,USA,AUS,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS029,R32,01:49:00,,F,3,K293,"5-7,7-6(7),6-4",G. Kuerten,P. Fredriksson,,,BRA,SWE,5-7,7-6(7),6-4,,,01:49:00,,,285,/en/stats/leaderboard?page=serve,7,12,51,49,97,78,38,49,63,30,48,33,1,3,17,281,/en/stats/leaderboard?page=serve,,10,54,56,103,71,40,56,66,31,47,67,4,6.0,17,70,68,97,31,32,103,50,100,200,69,71,103,30,29,97,50,100,200,A,,8,7,4,,,G. Kuerten,P. Fredriksson,K293,F278,BRA,SWE,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS030,R32,00:42:00,,F,2,R237,"6-3,6-0",G. Rusedski,A. Olhovskiy,,,GBR,RUS,6-3,6-0,,,,00:42:00,,,225,/en/stats/leaderboard?page=serve,1,9,58,23,40,83,19,23,76,13,17,0,0,,8,185,/en/stats/leaderboard?page=serve,,3,55,23,42,57,13,23,32,6,19,43,3,7.0,7,80,32,40,55,23,42,67,55,82,45,19,42,20,8,40,33,27,82,A,,4,,,,,G. Rusedski,A. Olhovskiy,R237,O009,GBR,RUS,,
7307,1996,Beijing,GP,1996-10-07T00:00:00,1996-10-13T00:00:00,Carpet,32,303000,$,MS031,R32,01:05:00,,F,2,F031,"6-2,6-3",J. Fleurian,T. Woodbridge,,,FRA,AUS,6-2,6-3,,,,01:05:00,,,213,/en/stats/leaderboard?page=serve,1,3,71,32,45,78,25,32,62,8,13,0,0,,8,207,/en/stats/leaderboard?page=serve,,2,59,42,71,69,29,42,28,8,29,60,6,10.0,9,73,33,45,48,34,71,58,67,116,52,37,71,27,12,45,42,49,116,A,,6,,,,,J. Fleurian,T. Woodbridge,F031,W136,FRA,AUS,,
