event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set4_winner,tiebreak_set4_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS001,F,03:44:00,,F,4,K293,"6-2,6-3,2-6,7-6(8)",G. Kuerten,M. Norman,,,BRA,SWE,6-2,6-3,2-6,7-6(8),,03:44:00,8,6,242,/en/stats/leaderboard?page=serve,3,9,49,71,144,73,52,71,41,30,73,69,11,16,19,226,/en/stats/leaderboard?page=serve,8,9,55,95,172,61,58,95,48,37,77,78,25,32,18,57,82,144,45,77,172,50,159,316,55,95,172,43,62,144,50,157,316,A,,,,,,,G. Kuerten,M. Norman,K293,N250,BRA,SWE,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS002,SF,01:57:00,,F,3,N250,"6-1,6-4,6-3",M. Norman,F. Squillari,,,SWE,ARG,6-1,6-4,6-3,,,01:57:00,,,290,/en/stats/leaderboard?page=serve,2,2,49,34,70,85,29,34,64,23,36,0,0,1,13,211,/en/stats/leaderboard?page=serve,3,1,59,56,95,55,31,56,46,18,39,65,11,17,13,74,52,70,48,46,95,59,98,165,52,49,95,26,18,70,41,67,165,A,,,,,,,M. Norman,F. Squillari,N250,S568,SWE,ARG,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS003,SF,03:38:00,,F,5,K293,"7-5,4-6,2-6,6-4,6-3",G. Kuerten,J. Ferrero,,,BRA,ESP,7-5,4-6,2-6,6-4,6-3,03:38:00,,,267,/en/stats/leaderboard?page=serve,6,17,50,90,179,68,61,90,55,49,89,83,20,24,24,272,/en/stats/leaderboard?page=serve,6,5,64,98,153,70,69,98,55,30,55,76,13,17,25,61,110,179,35,54,153,49,164,332,65,99,153,39,69,179,51,168,332,A,,,,,,,G. Kuerten,J. Ferrero,K293,F316,BRA,ESP,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS004,QF,03:04:00,,F,4,S568,"6-4,6-4,2-6,6-4",F. Squillari,A. Costa,,,ARG,ESP,6-4,6-4,2-6,6-4,,03:04:00,,,245,/en/stats/leaderboard?page=serve,3,3,55,69,126,70,48,69,47,27,57,64,9,14,19,252,/en/stats/leaderboard?page=serve,1,2,71,95,134,58,55,95,54,21,39,70,14,20,19,60,75,126,43,58,134,51,133,260,57,76,134,40,51,126,49,127,260,A,,,,,,,F. Squillari,A. Costa,S568,C378,ARG,ESP,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS005,QF,03:02:00,,F,4,N250,"6-4,6-3,4-6,7-5",M. Norman,M. Safin,,,SWE,RUS,6-4,6-3,4-6,7-5,,03:02:00,,,297,/en/stats/leaderboard?page=serve,1,6,63,71,113,75,53,71,64,27,42,60,3,5,21,256,/en/stats/leaderboard?page=serve,3,12,58,92,158,75,69,92,39,26,66,74,14,19,20,71,80,113,40,63,158,53,143,271,60,95,158,29,33,113,47,128,271,A,,,,,,,M. Norman,M. Safin,N250,S741,SWE,RUS,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS006,QF,03:00:00,,F,5,K293,"6-3,3-6,4-6,6-4,6-2",G. Kuerten,Y. Kafelnikov,,,BRA,RUS,6-3,3-6,4-6,6-4,6-2,03:00:00,,,260,/en/stats/leaderboard?page=serve,3,14,50,72,145,74,53,72,52,38,73,65,11,17,23,228,/en/stats/leaderboard?page=serve,4,6,55,84,154,63,53,84,43,30,70,60,12,20,23,63,91,145,46,71,154,54,162,299,54,83,154,37,54,145,46,137,299,A,,,,,,,G. Kuerten,Y. Kafelnikov,K293,K267,BRA,RUS,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS007,QF,02:23:00,,F,3,F316,"6-4,6-4,6-2",J. Ferrero,A. Corretja,,,ESP,ESP,6-4,6-4,6-2,,,02:23:00,,,274,/en/stats/leaderboard?page=serve,3,2,52,52,100,81,42,52,50,24,48,83,5,6,14,230,/en/stats/leaderboard?page=serve,3,8,51,45,88,73,33,45,37,16,43,29,2,7,14,66,66,100,44,39,88,56,105,188,56,49,88,34,34,100,44,83,188,A,,,,,,,J. Ferrero,A. Corretja,F316,C344,ESP,ESP,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS008,R16,01:36:00,,F,3,S568,"6-4,6-1,6-3",F. Squillari,Y. El Aynaoui,,,ARG,MAR,6-4,6-1,6-3,,,01:36:00,,,258,/en/stats/leaderboard?page=serve,4,2,66,50,76,72,36,50,46,12,26,63,5,8,13,184,/en/stats/leaderboard?page=serve,3,4,55,51,93,59,30,51,31,13,42,65,15,23,13,63,48,76,54,50,93,58,98,169,46,43,93,37,28,76,42,71,169,A,,,,,,,F. Squillari,Y. El Aynaoui,S568,E121,ARG,MAR,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS009,R16,03:02:00,,F,4,C378,"6-3,4-6,6-2,6-4",A. Costa,L. Hewitt,,,ESP,AUS,6-3,4-6,6-2,6-4,,03:02:00,,,276,/en/stats/leaderboard?page=serve,2,3,64,78,121,65,51,78,63,27,43,73,8,11,18,228,/en/stats/leaderboard?page=serve,11,7,52,65,126,74,48,65,38,23,61,60,9,15,19,64,78,121,44,55,126,54,133,247,56,71,126,36,43,121,46,114,247,A,,,,,,,A. Costa,L. Hewitt,C378,H432,ESP,AUS,,
520,2000,Roland Garros,GS,2000-05-29T00:00:00,2000-06-11T00:00:00,Clay,128,4564505,$,MS010,R16,01:33:00,,F,3,N250,"6-0,6-4,6-2",M. Norman,A. Medvedev,,,SWE,UKR,6-0,6-4,6-2,,,01:33:00,,,306,/en/stats/leaderboard?page=serve,4,8,65,50,77,78,39,50,59,16,27,100,3,3,12,210,/en/stats/leaderboard?page=serve,1,2,53,34,64,59,20,34,47,14,30,45,5,11,12,71,55,77,47,30,64,60,85,141,53,34,64,29,22,77,40,56,141,A,,,,,,,M. Norman,A. Medvedev,N250,M475,SWE,UKR,,
