event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,player_id_winner,player_id_loser
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS001,F,02:41:00,,F,2,C977,"7-6(7),7-6(7)",M. Cilic,S. Wawrinka,,,CRO,SUI,7-6(7),7-6(7),,,,02:41:00,A,M. Cilic,S. Wawrinka,CRO,SUI,,,7.0,2.0,7.0,3.0,274,/en/stats/leaderboard?page=serve,1,2,57,47,83,72,34,47,61,22,36,60,3,5,12,270,/en/stats/leaderboard?page=serve,0,5,59,52,88,62,32,52,61,22,36,75,6,8,12,67,56,83,39,34,88,53,90,171,61,54,88,33,27,83,47,81,171,C977,W367
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS002,SF,02:33:00,,F,3,W367,"6-4,2-6,7-5",S. Wawrinka,D. Sela,,,SUI,ISR,6-4,2-6,7-5,,,02:33:00,A,S. Wawrinka,D. Sela,SUI,ISR,,,,,,,251,/en/stats/leaderboard?page=serve,3,2,50,44,88,61,27,44,61,27,44,50,3,6,15,262,/en/stats/leaderboard?page=serve,4,0,66,69,105,70,48,69,50,18,36,63,5,8,15,61,54,88,37,39,105,48,93,193,63,66,105,39,34,88,52,100,193,W367,SC56
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS003,SF,01:24:00,,F,2,C977,"6-1,6-3",M. Cilic,J. Tipsarevic,,,CRO,SRB,6-1,6-3,,,,01:24:00,A,M. Cilic,J. Tipsarevic,CRO,SRB,,,,,,,275,/en/stats/leaderboard?page=serve,2,6,51,26,51,85,22,26,48,12,25,50,1,2,8,188,/en/stats/leaderboard?page=serve,2,2,59,35,59,46,16,35,46,11,24,44,4,9,8,67,34,51,54,32,59,60,66,110,46,27,59,33,17,51,40,44,110,C977,T742
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS004,QF,01:55:00,,F,2,SC56,"7-6(7),7-5",D. Sela,L. Lacko,,,ISR,SVK,7-6(7),7-5,,,,01:55:00,A,D. Sela,L. Lacko,ISR,SVK,,,7.0,3.0,,,249,/en/stats/leaderboard?page=serve,4,1,55,44,80,75,33,44,47,17,36,50,3,6,12,228,/en/stats/leaderboard?page=serve,2,1,54,44,81,68,30,44,41,15,37,60,6,10,12,63,50,80,44,36,81,53,86,161,56,45,81,38,30,80,47,75,161,SC56,L797
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS005,QF,01:50:00,,F,2,W367,"7-6(7),6-4",S. Wawrinka,M. Berrer,,,SUI,GER,7-6(7),6-4,,,,01:50:00,A,S. Wawrinka,M. Berrer,SUI,GER,,,7.0,5.0,,,287,/en/stats/leaderboard?page=serve,2,6,59,41,69,80,33,41,54,15,28,80,4,5,11,259,/en/stats/leaderboard?page=serve,2,2,67,47,70,72,34,47,39,9,23,50,2,4,11,70,48,69,39,27,70,54,75,139,61,43,70,30,21,69,46,64,139,W367,B678
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS006,QF,02:06:00,,F,2,T742,"7-5,7-5",J. Tipsarevic,T. de Bakker,,,SRB,NED,7-5,7-5,,,,02:06:00,A,J. Tipsarevic,T. de Bakker,SRB,NED,,,,,,,258,/en/stats/leaderboard?page=serve,3,3,61,43,71,65,28,43,57,16,28,57,4,7,12,230,/en/stats/leaderboard?page=serve,1,7,64,51,80,61,31,51,41,12,29,64,9,14,12,62,44,71,46,37,80,54,81,151,54,43,80,38,27,71,46,70,151,T742,D776
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS007,QF,01:39:00,,F,2,C977,"7-6(7),6-1",M. Cilic,S. Giraldo,,,CRO,COL,7-6(7),6-1,,,,01:39:00,A,M. Cilic,S. Giraldo,CRO,COL,,,7.0,3.0,,,244,/en/stats/leaderboard?page=serve,2,3,49,37,75,51,19,37,63,24,38,75,6,8,10,208,/en/stats/leaderboard?page=serve,0,3,55,30,55,63,19,30,32,8,25,0,0,4,9,57,43,75,51,28,55,55,71,130,49,27,55,43,32,75,45,59,130,C977,G725
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS008,R16,01:33:00,,F,2,L797,"7-6(7),6-4",L. Lacko,R. Ginepri,,,SVK,USA,7-6(7),6-4,,,,01:33:00,A,L. Lacko,R. Ginepri,SVK,USA,,,7.0,3.0,,,299,/en/stats/leaderboard?page=serve,1,11,67,50,75,76,38,50,56,14,25,75,3,4,11,272,/en/stats/leaderboard?page=serve,1,4,54,38,71,61,23,38,73,24,33,50,2,4,11,69,52,75,34,24,71,52,76,146,66,47,71,31,23,75,48,70,146,L797,G569
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS009,R16,01:38:00,,F,2,SC56,"7-6(7),6-2",D. Sela,K. Kim,,,ISR,USA,7-6(7),6-2,,,,01:38:00,A,D. Sela,K. Kim,ISR,USA,,,7.0,3.0,,,309,/en/stats/leaderboard?page=serve,2,3,72,49,68,73,36,49,63,12,19,100,3,3,10,246,/en/stats/leaderboard?page=serve,5,3,53,41,77,76,31,41,39,14,36,71,5,7,10,71,48,68,42,32,77,55,80,145,58,45,77,29,20,68,45,65,145,SC56,K358
891,2010,Chennai,250,2010-01-04T00:00:00,2010-01-10T00:00:00,Hard,32,398250,$,MS010,R16,01:31:00,,F,2,W367,"6-3,6-4",S. Wawrinka,M. Russell,,,SUI,USA,6-3,6-4,,,,01:31:00,A,S. Wawrinka,M. Russell,SUI,USA,,,,,,,273,/en/stats/leaderboard?page=serve,4,5,52,33,63,73,24,33,57,17,30,67,2,3,10,233,/en/stats/leaderboard?page=serve,3,0,53,29,55,55,16,29,62,16,26,50,3,6,9,65,41,63,42,23,55,54,64,118,58,32,55,35,22,63,46,54,118,W367,R368
