event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS001,F,01:24:00,,F,3,G182,"3-6,6-1,6-1",M. Gustafsson,D. Prinosil,,,SWE,GER,3-6,6-1,6-1,,,01:24:00,281,/en/stats/leaderboard?page=serve,7,5,56,35,63,91,32,35,46,13,28,67,2,3,11,220,/en/stats/leaderboard?page=serve,8,8,53,45,85,71,32,45,38,15,40,58,7,12,12,71,45,63,45,38,85,56,83,148,55,47,85,29,18,63,44,65,148,A,,,,,,,,,M. Gustafsson,D. Prinosil,G182,P273,SWE,GER,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS002,SF,01:17:00,,F,2,P273,"6-3,7-6(7)",D. Prinosil,J. Siemerink,,,GER,NED,6-3,7-6(7),,,,01:17:00,213,/en/stats/leaderboard?page=serve,4,11,45,30,66,97,29,30,64,23,36,0,0,,11,284,/en/stats/leaderboard?page=serve,3,6,57,38,67,79,30,38,55,16,29,67,2,3,10,79,52,66,31,21,67,55,73,133,69,46,67,21,14,66,45,60,133,A,7,5,,,,,,,D. Prinosil,J. Siemerink,P273,S381,GER,NED,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS003,SF,01:45:00,,F,3,G182,"6-4,5-7,6-2",M. Gustafsson,K. Carlsen,,,SWE,DEN,6-4,5-7,6-2,,,01:45:00,319,/en/stats/leaderboard?page=serve,1,8,69,53,77,83,44,53,67,16,24,50,1,2,15,259,/en/stats/leaderboard?page=serve,9,17,56,55,98,82,45,55,33,14,43,63,5,8,15,78,60,77,40,39,98,57,99,175,60,59,98,22,17,77,43,76,175,A,,,,,,,,,M. Gustafsson,K. Carlsen,G182,C328,SWE,DEN,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS004,QF,00:49:00,,F,2,P273,"6-3,6-3",D. Prinosil,O. Delaitre,,,GER,FRA,6-3,6-3,,,,00:49:00,232,/en/stats/leaderboard?page=serve,,5,64,27,42,96,26,27,67,10,15,0,0,,9,244,/en/stats/leaderboard?page=serve,1,2,65,35,54,54,19,35,58,11,19,63,5,8,9,86,36,42,44,24,54,63,60,96,56,30,54,14,6,42,38,36,96,A,,,False,,,,,,D. Prinosil,O. Delaitre,P273,D015,GER,FRA,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS005,QF,00:56:00,,F,2,S381,"6-3,6-3",J. Siemerink,B. Steven,,,NED,NZL,6-3,6-3,,,,00:56:00,235,/en/stats/leaderboard?page=serve,2,7,56,23,41,96,22,23,78,14,18,0,0,,9,247,/en/stats/leaderboard?page=serve,1,1,65,32,49,69,22,32,47,8,17,50,3,6,9,88,36,41,39,19,49,61,55,90,61,30,49,12,5,41,39,35,90,A,,,,,,,,,J. Siemerink,B. Steven,S381,S321,NED,NZL,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS006,QF,01:35:00,,F,3,C328,"6-3,3-6,6-1",K. Carlsen,G. Pozzi,,,DEN,ITA,6-3,3-6,6-1,,,01:35:00,287,/en/stats/leaderboard?page=serve,5,13,57,46,81,76,35,46,54,19,35,80,4,5,13,261,/en/stats/leaderboard?page=serve,1,5,56,37,66,81,30,37,45,13,29,25,1,4,12,67,54,81,35,23,66,52,77,147,65,43,66,33,27,81,48,70,147,A,,,,,,,,,K. Carlsen,G. Pozzi,C328,P045,DEN,ITA,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS007,QF,01:46:00,,F,3,G182,"6-3,4-6,6-3",M. Gustafsson,A. Pavel,,,SWE,ROU,6-3,4-6,6-3,,,01:46:00,287,/en/stats/leaderboard?page=serve,5,10,63,65,104,68,44,65,59,23,39,89,8,9,14,262,/en/stats/leaderboard?page=serve,4,12,59,53,90,79,42,53,38,14,37,50,3,6,14,64,67,104,38,34,90,52,101,194,62,56,90,36,37,104,48,93,194,A,,,,,,,,,M. Gustafsson,A. Pavel,G182,P280,SWE,ROU,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS008,R16,01:49:00,,F,3,P273,"3-6,6-4,6-4",D. Prinosil,T. Johansson,,,GER,SWE,3-6,6-4,6-4,,,01:49:00,274,/en/stats/leaderboard?page=serve,5,15,54,53,99,85,45,53,39,18,46,71,5,7,15,279,/en/stats/leaderboard?page=serve,4,12,44,36,81,86,31,36,56,25,45,50,2,4,14,64,63,99,31,25,81,49,88,180,69,56,81,36,36,99,51,92,180,A,,,,,,,,,D. Prinosil,T. Johansson,P273,J129,GER,SWE,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS009,R16,01:02:00,,F,3,D015,"0-6,6-0,6-2",O. Delaitre,M. Sinner,,,FRA,GER,0-6,6-0,6-2,,,01:02:00,232,/en/stats/leaderboard?page=serve,3,5,57,34,60,59,20,34,54,14,26,33,2,6,10,183,/en/stats/leaderboard?page=serve,7,2,58,33,57,61,20,33,29,7,24,25,2,8,10,57,34,60,53,30,57,55,64,117,47,27,57,43,26,60,45,53,117,A,,,,,,,,,O. Delaitre,M. Sinner,D015,S367,FRA,GER,,
481,1998,Copenhagen,WS,1998-03-09T00:00:00,1998-03-15T00:00:00,Carpet,32,210000,$,MS010,R16,01:54:00,,F,3,S381,"6-4,4-6,6-3",J. Siemerink,D. Nargiso,,,NED,ITA,6-4,4-6,6-3,,,01:54:00,288,/en/stats/leaderboard?page=serve,6,9,56,50,90,78,39,50,58,23,40,75,3,4,15,274,/en/stats/leaderboard?page=serve,3,8,44,32,73,81,26,32,59,24,41,0,0,2,14,69,62,90,32,23,73,52,85,163,68,50,73,31,28,90,48,78,163,A,,,,,,,,,J. Siemerink,D. Nargiso,S381,N109,NED,ITA,,
