event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS001,F,01:45:00,,F,3,K237,"6-4,5-7,6-2",K. Kucera,G. Ivanisevic,,,SVK,CRO,6-4,5-7,6-2,,,01:45:00,293,/en/stats/leaderboard?page=serve,2,8,59,48,81,81,39,48,61,20,33,50,2,4,15,255,/en/stats/leaderboard?page=serve,10,15,60,55,91,75,41,55,42,15,36,64,7,11,15,73,59,81,38,35,91,55,94,172,62,56,91,27,22,81,45,78,172,A,,,,,,,,,K. Kucera,G. Ivanisevic,K237,I034,SVK,CRO,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS002,SF,01:05:00,,F,2,I034,"6-3,6-4",G. Ivanisevic,Y. Kafelnikov,,,CRO,RUS,6-3,6-4,,,,01:05:00,293,/en/stats/leaderboard?page=serve,2,12,56,30,54,87,26,30,50,12,24,0,0,1,10,222,/en/stats/leaderboard?page=serve,7,4,42,28,67,71,20,28,46,18,39,63,5,8,9,70,38,54,43,29,67,55,67,121,57,38,67,30,16,54,45,54,121,A,,,,,,,,,G. Ivanisevic,Y. Kafelnikov,I034,K267,CRO,RUS,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS003,SF,01:26:00,,F,2,K237,"7-6(8),6-4",K. Kucera,R. Krajicek,,,SVK,NED,7-6(8),6-4,,,,01:26:00,282,/en/stats/leaderboard?page=serve,6,6,57,41,72,80,33,41,55,17,31,50,1,2,11,274,/en/stats/leaderboard?page=serve,4,8,61,43,70,84,36,43,44,12,27,60,3,5,11,69,50,72,31,22,70,51,72,142,69,48,70,31,22,72,49,70,142,A,8,6,,,,,,,K. Kucera,R. Krajicek,K237,K214,SVK,NED,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS004,QF,00:55:00,,F,2,I034,"6-2,6-4",G. Ivanisevic,L. Paes,,,CRO,IND,6-2,6-4,,,,00:55:00,214,/en/stats/leaderboard?page=serve,3,7,58,28,48,82,23,28,70,14,20,0,0,,9,238,/en/stats/leaderboard?page=serve,3,4,50,29,58,76,22,29,45,13,29,57,4,7,9,77,37,48,40,23,58,57,60,106,60,35,58,23,11,48,43,46,106,A,,,,,,,,,G. Ivanisevic,L. Paes,I034,P269,CRO,IND,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS005,QF,01:54:00,,F,3,K267,"4-6,6-3,6-3",Y. Kafelnikov,B. Ulihrach,,,RUS,CZE,4-6,6-3,6-3,,,01:54:00,239,/en/stats/leaderboard?page=serve,13,8,50,55,111,73,40,55,43,24,56,75,9,12,14,233,/en/stats/leaderboard?page=serve,4,7,56,59,105,56,33,59,54,25,46,72,13,18,14,58,64,111,45,47,105,51,111,216,55,58,105,42,47,111,49,105,216,A,,,,,,,,,Y. Kafelnikov,B. Ulihrach,K267,U032,RUS,CZE,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS006,QF,02:19:00,,F,3,K214,"5-7,6-2,7-6(18)",R. Krajicek,T. Henman,,,NED,GBR,5-7,6-2,7-6(18),,,02:19:00,295,/en/stats/leaderboard?page=serve,8,14,60,70,116,84,59,70,52,24,46,83,5,6,16,283,/en/stats/leaderboard?page=serve,5,7,56,60,107,78,47,60,60,28,47,60,3,5,16,72,83,116,30,32,107,52,115,223,70,75,107,28,33,116,48,108,223,A,,,18,16,,,,,R. Krajicek,T. Henman,K214,H336,NED,GBR,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS007,QF,01:55:00,,F,3,K237,"3-6,6-3,6-1",K. Kucera,G. Raoux,,,SVK,FRA,3-6,6-3,6-1,,,01:55:00,283,/en/stats/leaderboard?page=serve,2,10,45,33,73,79,26,33,60,24,40,75,3,4,12,244,/en/stats/leaderboard?page=serve,,1,64,64,100,63,40,64,47,17,36,67,8,12,13,68,50,73,43,43,100,54,93,173,57,57,100,32,23,73,46,80,173,A,,,,,False,,,,K. Kucera,G. Raoux,K237,R186,SVK,FRA,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS008,R16,01:14:00,,F,2,P269,"6-3,6-4",L. Paes,P. Sampras,,,IND,USA,6-3,6-4,,,,01:14:00,252,/en/stats/leaderboard?page=serve,2,7,63,41,65,76,31,41,58,14,24,,0,,10,242,/en/stats/leaderboard?page=serve,6,4,58,37,64,76,28,37,33,9,27,75,6,8,9,69,45,65,42,27,64,56,72,129,58,37,64,31,20,65,44,57,129,A,,,,,,,,,L. Paes,P. Sampras,P269,S402,IND,USA,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS009,R16,01:23:00,,F,2,I034,"6-3,7-5",G. Ivanisevic,N. Kiefer,,,CRO,GER,6-3,7-5,,,,01:23:00,231,/en/stats/leaderboard?page=serve,8,13,46,38,82,92,35,38,43,19,44,,0,,11,270,/en/stats/leaderboard?page=serve,3,6,60,33,55,82,27,33,45,10,22,60,3,5,10,66,54,82,33,18,55,53,72,137,67,37,55,34,28,82,47,65,137,A,,,,,,,,,G. Ivanisevic,N. Kiefer,I034,K316,CRO,GER,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS010,R16,01:22:00,,F,2,U032,"7-6(8),6-3",B. Ulihrach,P. Korda,,,CZE,CZE,7-6(8),6-3,,,,01:22:00,286,/en/stats/leaderboard?page=serve,3,2,57,40,70,70,28,40,70,21,30,75,3,4,11,251,/en/stats/leaderboard?page=serve,2,2,44,27,62,70,19,27,57,20,35,50,2,4,10,70,49,70,37,23,62,55,72,132,63,39,62,30,21,70,45,60,132,A,8,6,,,,,,,B. Ulihrach,P. Korda,U032,K148,CZE,CZE,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS011,R16,01:05:00,,F,2,K267,"6-4,6-4",Y. Kafelnikov,G. Kuerten,,,RUS,BRA,6-4,6-4,,,,01:05:00,308,/en/stats/leaderboard?page=serve,1,10,64,34,53,82,28,34,63,12,19,50,1,2,10,230,/en/stats/leaderboard?page=serve,3,6,42,29,69,72,21,29,43,17,40,63,5,8,10,75,40,53,45,31,69,58,71,122,55,38,69,25,13,53,42,51,122,A,,,,,,,,,Y. Kafelnikov,G. Kuerten,K267,K293,RUS,BRA,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS012,R16,01:48:00,,F,3,H336,"4-6,6-3,6-3",T. Henman,D. Sanguinetti,,,GBR,ITA,4-6,6-3,6-3,,,01:48:00,258,/en/stats/leaderboard?page=serve,8,2,45,40,88,78,31,40,56,27,48,78,7,9,14,242,/en/stats/leaderboard?page=serve,3,1,53,43,81,70,30,43,50,19,38,43,3,7,14,66,58,88,40,32,81,53,90,169,60,49,81,34,30,88,47,79,169,A,,,,,,,,,T. Henman,D. Sanguinetti,H336,S480,GBR,ITA,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS013,R16,00:54:00,,F,2,K214,"6-2,6-4",R. Krajicek,H. Levy,,,NED,ISR,6-2,6-4,,,,00:54:00,301,/en/stats/leaderboard?page=serve,2,10,60,28,47,82,23,28,63,12,19,83,5,6,9,219,/en/stats/leaderboard?page=serve,1,2,63,32,51,63,20,32,37,7,19,60,6,10,9,74,35,47,47,24,51,60,59,98,53,27,51,26,12,47,40,39,98,A,,,,,,,,,R. Krajicek,H. Levy,K214,L336,NED,ISR,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS014,R16,01:19:00,,F,2,K237,"6-4,7-5",K. Kucera,J. Siemerink,,,SVK,NED,6-4,7-5,,,,01:19:00,278,/en/stats/leaderboard?page=serve,4,2,48,29,61,83,24,29,59,19,32,50,1,2,11,246,/en/stats/leaderboard?page=serve,6,2,64,42,66,64,27,42,50,12,24,25,1,4,11,70,43,61,41,27,66,55,70,127,59,39,66,30,18,61,45,57,127,A,,,,,,,,,K. Kucera,J. Siemerink,K237,S381,SVK,NED,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS015,R16,01:44:00,,F,2,R186,"7-6(10),6-3",G. Raoux,P. Rafter,,,FRA,AUS,7-6(10),6-3,,,,01:44:00,285,/en/stats/leaderboard?page=serve,2,1,51,39,77,79,31,39,66,25,38,,0,,11,285,/en/stats/leaderboard?page=serve,1,5,72,50,69,82,41,50,37,7,19,75,3,4,10,73,56,77,30,21,69,53,77,146,70,48,69,27,21,77,47,69,146,A,10,8,,,,,,,G. Raoux,P. Rafter,R186,R255,FRA,AUS,,
420,1998,New Haven,CS,1998-08-17T00:00:00,1998-08-23T00:00:00,Hard,56,745000,$,MS016,R32,01:12:00,,F,2,S402,"6-1,7-6(7)",P. Sampras,L. Hewitt,,,USA,AUS,6-1,7-6(7),,,,01:12:00,284,/en/stats/leaderboard?page=serve,1,12,62,41,66,83,34,41,48,12,25,0,0,2,10,217,/en/stats/leaderboard?page=serve,4,4,53,32,60,66,21,32,43,12,28,50,4,8,9,70,46,66,45,27,60,58,73,126,55,33,60,30,20,66,42,53,126,A,,,,,,7,4,,P. Sampras,L. Hewitt,S402,H432,USA,AUS,,
