event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS028,R32,01:35:00,,F,3,K214,"4-6,6-3,6-2",R. Krajicek,A. Boetsch,,,NED,FRA,4-6,6-3,6-2,,,01:35:00,264,/en/stats/leaderboard?page=serve,2,11,50,38,76,74,28,38,55,21,38,25,1,4,13,215,/en/stats/leaderboard?page=serve,4,3,50,43,86,60,26,43,49,21,43,45,5,11,14,64,49,76,45,39,86,54,88,162,55,47,86,36,27,76,46,74,162,A,,,,,,,,,R. Krajicek,A. Boetsch,K214,B053,NED,FRA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS029,R32,02:07:00,,F,3,R286,"6-7(4),7-6(7),6-4",M. Rios,S. Lareau,,,CHI,CAN,6-7(4),7-6(7),6-4,,,02:07:00,294,/en/stats/leaderboard?page=serve,5,14,54,62,114,85,53,62,52,27,52,0,0,1,17,283,/en/stats/leaderboard?page=serve,7,12,63,71,112,83,59,71,44,18,41,71,5,7,17,70,80,114,31,35,112,51,115,226,69,77,112,30,34,114,49,111,226,A,,7,4,,4,7,,,M. Rios,S. Lareau,R286,L226,CHI,CAN,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS030,R32,01:36:00,,F,2,C243,"7-6(7),6-4",J. Courier,B. Ulihrach,,,USA,CZE,7-6(7),6-4,,,,01:36:00,295,/en/stats/leaderboard?page=serve,1,7,64,47,73,77,36,47,58,15,26,50,1,2,11,260,/en/stats/leaderboard?page=serve,2,9,47,35,74,69,24,35,56,22,39,50,2,4,11,70,51,73,38,28,74,54,79,147,62,46,74,30,22,73,46,68,147,A,,,,,7,5,,,J. Courier,B. Ulihrach,C243,U032,USA,CZE,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS031,R32,01:18:00,,F,2,C274,"6-3,6-2",M. Chang,T. Woodbridge,,,USA,AUS,6-3,6-2,,,,01:18:00,276,/en/stats/leaderboard?page=serve,2,3,53,25,47,76,19,25,59,13,22,0,0,1,8,197,/en/stats/leaderboard?page=serve,6,3,62,48,77,63,30,48,31,9,29,62,8,13,9,68,32,47,49,38,77,56,70,124,51,39,77,32,15,47,44,54,124,A,,,,,,,,,M. Chang,T. Woodbridge,C274,W136,USA,AUS,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS033,R64,01:30:00,,F,2,S545,"7-5,6-3",S. Sargsian,M. Philippoussis,,,ARM,AUS,7-5,6-3,,,,01:30:00,282,/en/stats/leaderboard?page=serve,4,3,58,36,62,81,29,36,54,14,26,50,1,2,10,230,/en/stats/leaderboard?page=serve,5,11,53,47,89,68,32,47,40,17,42,75,12,16,11,69,43,62,45,40,89,55,83,151,55,49,89,31,19,62,45,68,151,A,,,,,,,,,S. Sargsian,M. Philippoussis,S545,P338,ARM,AUS,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS034,R64,01:17:00,,F,2,R214,"7-6(7),6-3",M. Rosset,A. O'Brien,,,SUI,USA,7-6(7),6-3,,,,01:17:00,296,/en/stats/leaderboard?page=serve,2,14,55,35,64,89,31,35,59,17,29,,0,,11,290,/en/stats/leaderboard?page=serve,1,3,66,39,59,77,30,39,55,11,20,67,2,3,10,75,48,64,31,18,59,54,66,123,69,41,59,25,16,64,46,57,123,A,,,,,7,5,,,M. Rosset,A. O'Brien,R214,O099,SUI,USA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS037,R64,01:16:00,,F,2,B428,"7-5,7-5",A. Berasategui,C. Steeb,,,ESP,GER,7-5,7-5,,,,01:16:00,284,/en/stats/leaderboard?page=serve,1,4,70,52,74,73,38,52,55,12,22,60,3,5,12,243,/en/stats/leaderboard?page=serve,1,2,57,36,63,75,27,36,44,12,27,20,1,5,12,68,50,74,38,24,63,54,74,137,62,39,63,32,24,74,46,63,137,A,,,,,,,,,A. Berasategui,C. Steeb,B428,S080,ESP,GER,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS038,R64,01:13:00,,F,2,R016,"6-1,6-4",R. Reneberg,F. Clavet,,,USA,ESP,6-1,6-4,,,,01:13:00,272,/en/stats/leaderboard?page=serve,,3,48,27,56,78,21,27,66,19,29,,0,,9,254,/en/stats/leaderboard?page=serve,1,2,77,48,62,50,24,48,64,9,14,70,7,10,8,71,40,56,47,29,62,58,69,118,53,33,62,29,16,56,42,49,118,A,False,,,,,,,,R. Reneberg,F. Clavet,R016,C252,USA,ESP,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS041,R64,00:58:00,,F,2,S381,"6-1,7-5",J. Siemerink,H. Dreekmann,,,NED,GER,6-1,7-5,,,,00:58:00,290,/en/stats/leaderboard?page=serve,3,3,58,30,52,93,28,30,59,13,22,,0,,10,238,/en/stats/leaderboard?page=serve,4,1,60,30,50,70,21,30,45,9,20,50,3,6,9,79,41,52,40,20,50,60,61,102,60,30,50,21,11,52,40,41,102,A,,,,,,,,,J. Siemerink,H. Dreekmann,S381,D249,NED,GER,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS042,R64,01:19:00,,F,2,F192,"6-4,6-1",R. Furlan,F. Dewulf,,,ITA,BEL,6-4,6-1,,,,01:19:00,256,/en/stats/leaderboard?page=serve,1,7,62,36,58,75,27,36,36,8,22,67,4,6,9,179,/en/stats/leaderboard?page=serve,8,4,49,43,88,70,30,43,27,12,45,72,13,18,8,60,35,58,52,46,88,55,81,146,48,42,88,40,23,58,45,65,146,A,,,,,,,,,R. Furlan,F. Dewulf,F192,D228,ITA,BEL,,
