event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS001,F,01:52:00,,F,3,F339,"3-6,6-4,6-3",M. Fish,J. Melzer,,,USA,AUT,3-6,6-4,6-3,,,01:52:00,276,/en/stats/leaderboard?page=serve,6,6,57,46,81,85,39,46,49,17,35,67,4,6,14,261,/en/stats/leaderboard?page=serve,3,1,73,58,80,71,41,58,41,9,22,67,6,9,14,69,56,81,38,30,80,53,86,161,63,50,80,31,25,81,47,75,161,A,,,,,,,M. Fish,J. Melzer,F339,M762,USA,AUT,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS002,SF,00:18:00,,F,1,F339,4-1,M. Fish,T. Haas,,,USA,GER,4-1,,,,,00:18:00,339,/en/stats/leaderboard?page=serve,0,3,71,10,14,90,9,10,75,3,4,0,0,0,3,227,/en/stats/leaderboard?page=serve,0,2,75,12,16,50,6,12,50,2,4,75,3,4,2,86,12,14,50,8,16,67,20,30,50,8,16,14,2,14,33,10,30,A,,,,,,,M. Fish,T. Haas,F339,H355,USA,GER,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS003,SF,01:10:00,,F,2,M762,"6-3,6-4",J. Melzer,P. Goldstein,,,AUT,USA,6-3,6-4,,,,01:10:00,262,/en/stats/leaderboard?page=serve,2,5,66,37,56,70,26,37,53,10,19,40,2,5,10,195,/en/stats/leaderboard?page=serve,2,0,57,30,53,53,16,30,43,10,23,50,5,10,9,64,36,56,51,27,53,58,63,109,49,26,53,36,20,56,42,46,109,A,,,,,,,J. Melzer,P. Goldstein,M762,G333,AUT,USA,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS004,QF,02:11:00,,F,3,H355,"6-7(1),6-4,6-4",T. Haas,A. Roddick,,,GER,USA,6-7(1),6-4,6-4,,,02:11:00,271,/en/stats/leaderboard?page=serve,5,6,56,59,105,75,44,59,52,24,46,75,6,8,16,265,/en/stats/leaderboard?page=serve,3,11,64,59,92,73,43,59,45,15,33,56,5,9,16,65,68,105,37,34,92,52,102,197,63,58,92,35,37,105,48,95,197,A,1.0,7.0,,,,,T. Haas,A. Roddick,H355,R485,GER,USA,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS005,QF,02:21:00,,F,3,F339,"4-6,7-6(7),6-2",M. Fish,V. Spadea,,,USA,USA,4-6,7-6(7),6-2,,,02:21:00,238,/en/stats/leaderboard?page=serve,3,4,53,58,110,66,38,58,52,27,52,67,10,15,15,217,/en/stats/leaderboard?page=serve,5,1,51,53,103,66,35,53,44,22,50,54,7,13,15,59,65,110,45,46,103,52,111,213,55,57,103,41,45,110,48,102,213,A,,,7.0,1.0,,,M. Fish,V. Spadea,F339,S544,USA,USA,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS006,QF,01:18:00,,F,2,G333,"6-3,6-4",P. Goldstein,A. Montanes,,,USA,ESP,6-3,6-4,,,,01:18:00,267,/en/stats/leaderboard?page=serve,1,1,74,57,77,63,36,57,50,10,20,71,5,7,10,206,/en/stats/leaderboard?page=serve,6,3,54,27,50,70,19,27,30,7,23,0,0,4,9,60,46,77,48,24,50,55,70,127,52,26,50,40,31,77,45,57,127,A,,,,,,,P. Goldstein,A. Montanes,G333,M824,USA,ESP,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS007,QF,01:37:00,,F,2,M762,"7-5,6-4",J. Melzer,F. Vicente,,,AUT,ESP,7-5,6-4,,,,01:37:00,257,/en/stats/leaderboard?page=serve,2,1,77,61,79,59,36,61,50,9,18,73,8,11,11,208,/en/stats/leaderboard?page=serve,2,1,56,40,72,58,23,40,41,13,32,38,3,8,11,57,45,79,50,36,72,54,81,151,50,36,72,43,34,79,46,70,151,A,,,,,,,J. Melzer,F. Vicente,M762,V195,AUT,ESP,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS008,R16,01:20:00,,F,2,R485,"6-3,6-4",A. Roddick,O. Marach,,,USA,AUT,6-3,6-4,,,,01:20:00,311,/en/stats/leaderboard?page=serve,1,5,70,47,67,77,36,47,60,12,20,100,6,6,10,262,/en/stats/leaderboard?page=serve,4,5,53,27,51,89,24,27,42,10,24,33,1,3,9,72,48,67,33,17,51,55,65,118,67,34,51,28,19,67,45,53,118,A,,,,,,,A. Roddick,O. Marach,R485,M760,USA,AUT,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS009,R16,01:24:00,,F,2,H355,"6-1,7-6(9)",T. Haas,A. Waske,,,GER,GER,6-1,7-6(9),,,,01:24:00,269,/en/stats/leaderboard?page=serve,1,3,54,36,67,78,28,36,55,17,31,33,1,3,10,213,/en/stats/leaderboard?page=serve,4,2,59,38,64,66,25,38,35,9,26,43,3,7,9,67,45,67,47,30,64,57,75,131,53,34,64,33,22,67,43,56,131,A,,,9.0,7.0,,,T. Haas,A. Waske,H355,W300,GER,GER,,
717,2006,Houston,WS,2006-04-10T00:00:00,2006-04-16T00:00:00,Clay,32,355000,$,MS010,R16,00:47:00,,F,2,S544,"6-2,3-1",V. Spadea,M. Baghdatis,,,USA,CYP,6-2,3-1,,,,00:47:00,266,/en/stats/leaderboard?page=serve,0,2,55,17,31,76,13,17,50,7,14,0,0,1,6,174,/en/stats/leaderboard?page=serve,1,1,54,21,39,48,10,21,39,7,18,20,1,5,6,65,20,31,56,22,39,60,42,70,44,17,39,35,11,31,40,28,70,A,,,,,,,V. Spadea,M. Baghdatis,S544,B837,USA,CYP,,
