tournament_id,year,expected_matches,obtained_matches,total_fetches
9900,2026,17,1,161
8998,2026,27,24,55
8096,2026,3,0,30
8996,2026,27,24,57
8141,2026,31,0,310
8140,2026,31,0,310
8135,2026,31,0,310
8150,2026,31,0,310
9490,2026,31,0,310
8149,2026,31,0,310
8134,2026,31,0,310
8430,2026,31,0,310
8155,2026,31,0,310
8431,2026,31,0,310
8154,2026,31,0,310
8138,2026,31,0,310
8391,2026,31,0,310
9167,2026,27,24,55
